onset	duration	stimulus	product	pleasantness
19.198	2	warning_star	n/a	n/a
21.209	7.522	taste_and_swallow_fra	fra	5
28.731	22.5	judge_fra	fra	5
51.231	0.953	rate_fra	fra	5
55.033	29.14	rinse	n/a	n/a
84.165	2	warning_star	n/a	n/a
86.176	7.522	taste_and_swallow_lim	lim	4
93.698	22.5	judge_lim	lim	4
116.198	1.305	rate_lim	lim	4
120.352	29.14	rinse	n/a	n/a
149.484	2	warning_star	n/a	n/a
151.494	7.522	taste_and_swallow_kok	kok	3
159.016	22.5	judge_kok	kok	3
181.516	0.92	rate_kok	kok	3
185.269	29.14	rinse	n/a	n/a
214.384	2	warning_star	n/a	n/a
216.394	7.522	taste_and_swallow_ska	ska	5
223.916	22.5	judge_ska	ska	5
246.416	1.054	rate_ska	ska	5
250.319	25	rinse	n/a	n/a
294.462	2	warning_star	n/a	n/a
296.472	7.522	taste_and_swallow_lim	lim	4
303.995	22.5	judge_lim	lim	4
326.495	1.254	rate_lim	lim	4
330.598	29.14	rinse	n/a	n/a
359.763	2	warning_star	n/a	n/a
361.774	7.522	taste_and_swallow_ska	ska	5
369.312	22.5	judge_ska	ska	5
391.812	1.574	rate_ska	ska	5
396.218	29.14	rinse	n/a	n/a
425.384	2	warning_star	n/a	n/a
427.394	7.522	taste_and_swallow_fra	fra	5
434.917	22.5	judge_fra	fra	5
457.417	3.968	rate_fra	fra	5
464.251	29.14	rinse	n/a	n/a
493.4	2	warning_star	n/a	n/a
495.41	7.522	taste_and_swallow_kok	kok	3
502.932	22.5	judge_kok	kok	3
525.432	0.618	rate_kok	kok	3
528.883	25	rinse	n/a	n/a
573.042	2	warning_star	n/a	n/a
575.052	7.522	taste_and_swallow_ska	ska	5
582.574	22.5	judge_ska	ska	5
605.074	1.071	rate_ska	ska	5
608.994	29.14	rinse	n/a	n/a
638.143	2	warning_star	n/a	n/a
640.153	7.522	taste_and_swallow_kok	kok	4
647.675	22.5	judge_kok	kok	4
670.175	1.691	rate_kok	kok	4
674.73	29.14	rinse	n/a	n/a
703.863	2	warning_star	n/a	n/a
705.874	7.522	taste_and_swallow_lim	lim	4
713.396	22.5	judge_lim	lim	4
735.896	1.573	rate_lim	lim	4
740.301	29.14	rinse	n/a	n/a
769.467	2	warning_star	n/a	n/a
771.477	7.522	taste_and_swallow_fra	fra	5
778.999	22.5	judge_fra	fra	5
801.499	0.92	rate_fra	fra	5
805.268	25	rinse	n/a	n/a
