onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_appbos	appbos	5
28.714	22.5	judge_appbos	appbos	5
51.214	2.244	rate_appbos	appbos	5
56.307	29.14	rinse	n/a	n/a
85.456	2	warning_star	n/a	n/a
87.466	7.522	taste_and_swallow_appper	appper	6
94.988	22.5	judge_appper	appper	6
117.488	1.758	rate_appper	appper	6
122.078	29.14	rinse	n/a	n/a
151.227	2	warning_star	n/a	n/a
153.237	7.522	taste_and_swallow_sinman	sinman	5
160.759	22.5	judge_sinman	sinman	5
183.259	1.44	rate_sinman	sinman	5
187.531	29.14	rinse	n/a	n/a
216.663	2	warning_star	n/a	n/a
218.673	7.522	taste_and_swallow_anaman	anaman	4
226.195	22.5	judge_anaman	anaman	4
248.695	9.782	rate_anaman	anaman	4
261.326	25	rinse	n/a	n/a
305.485	2	warning_star	n/a	n/a
307.496	7.522	taste_and_swallow_appper	appper	6
315.018	22.5	judge_appper	appper	6
337.518	2.729	rate_appper	appper	6
343.096	29.14	rinse	n/a	n/a
372.245	2	warning_star	n/a	n/a
374.255	7.522	taste_and_swallow_anaman	anaman	3
381.777	22.5	judge_anaman	anaman	3
404.277	3.048	rate_anaman	anaman	3
410.174	29.14	rinse	n/a	n/a
439.306	2	warning_star	n/a	n/a
441.316	7.522	taste_and_swallow_appbos	appbos	5
448.838	22.5	judge_appbos	appbos	5
471.338	2.043	rate_appbos	appbos	5
476.33	29.14	rinse	n/a	n/a
505.445	2	warning_star	n/a	n/a
507.456	7.522	taste_and_swallow_sinman	sinman	6
514.978	22.5	judge_sinman	sinman	6
537.478	1.791	rate_sinman	sinman	6
542.118	25	rinse	n/a	n/a
586.277	2	warning_star	n/a	n/a
588.287	7.522	taste_and_swallow_anaman	anaman	6
595.809	22.5	judge_anaman	anaman	6
618.309	2.512	rate_anaman	anaman	6
623.669	29.14	rinse	n/a	n/a
652.802	2	warning_star	n/a	n/a
654.812	7.522	taste_and_swallow_sinman	sinman	5
662.334	22.5	judge_sinman	sinman	5
684.834	3.534	rate_sinman	sinman	5
691.25	29.14	rinse	n/a	n/a
720.415	2	warning_star	n/a	n/a
722.426	7.522	taste_and_swallow_appper	appper	7
729.948	22.5	judge_appper	appper	7
752.448	2.746	rate_appper	appper	7
758.043	29.14	rinse	n/a	n/a
787.192	2	warning_star	n/a	n/a
789.202	7.522	taste_and_swallow_appbos	appbos	5
796.724	22.5	judge_appbos	appbos	5
819.224	1.607	rate_appbos	appbos	5
823.68	25	rinse	n/a	n/a
