onset	duration	Scoring2	Has_Arousal
3.00000384449959	30	1	0
33.0000038444996	30	1	0
63.0000038444996	30	1	0
93.0000038444996	30	1	0
123.0000038445	30	1	0
153.0000038445	30	1	0
183.0000038445	30	1	0
213.0000038445	30	1	0
243.0000038445	30	1	0
273.0000038445	30	1	0
303.0000038445	30	1	0
333.0000038445	30	1	0
363.0000038445	30	1	0
393.0000038445	30	1	0
423.0000038445	30	1	0
453.0000038445	30	1	0
483.0000038445	30	1	0
513.0000038445	30	1	0
543.0000038445	30	1	0
573.0000038445	30	1	0
603.0000038445	30	1	0
633.0000038445	30	1	0
663.0000038445	30	1	0
693.0000038445	30	1	0
723.0000038445	30	1	0
753.0000038445	30	1	0
783.0000038445	30	1	0
813.0000038445	30	1	0
843.0000038445	30	1	0
873.0000038445	30	1	0
903.0000038445	30	1	0
933.0000038445	30	1	0
963.0000038445	30	1	0
993.0000038445	30	1	0
1023.0000038445	30	1	0
1053.0000038445	30	1	0
1083.0000038445	30	1	0
1113.0000038445	30	1	0
1143.0000038445	30	1	0
1173.0000038445	30	1	0
1203.0000038445	30	1	0
1233.0000038445	30	1	0
1263.0000038445	30	1	0
1293.0000038445	30	1	0
1323.0000038445	30	1	0
1353.0000038445	30	1	0
1383.0000038445	30	1	0
1413.0000038445	30	1	0
1443.0000038445	30	1	0
1473.0000038445	30	1	0
1503.0000038445	30	1	0
1533.0000038445	30	1	0
1563.0000038445	30	1	0
1593.0000038445	30	1	0
1623.0000038445	30	1	0
1653.0000038445	30	1	0
1683.0000038445	30	1	0
1713.0000038445	30	1	0
1743.0000038445	30	1	0
1773.0000038445	30	1	0
1803.0000038445	30	3	0
1833.0000038445	30	1	1
1863.0000038445	30	3	0
1893.0000038445	30	3	0
1923.0000038445	30	3	1
1953.0000038445	30	3	0
1983.0000038445	30	3	0
2013.0000038445	30	3	0
2043.0000038445	30	3	0
2073.0000038445	30	3	0
2103.0000038445	30	3	0
2133.0000038445	30	3	0
2163.0000038445	30	3	1
2193.0000038445	30	3	0
2223.0000038445	30	4	0
2253.0000038445	30	4	0
2283.0000038445	30	4	0
2313.0000038445	30	4	0
2343.0000038445	30	4	0
2373.0000038445	30	4	0
2403.0000038445	30	4	0
2433.0000038445	30	4	0
2463.0000038445	30	4	0
2493.0000038445	30	4	0
2523.0000038445	30	4	0
2553.0000038445	30	4	0
2583.0000038445	30	4	0
2613.0000038445	30	4	0
2643.0000038445	30	5	0
2673.0000038445	30	5	0
2703.0000038445	30	5	0
2733.0000038445	30	4	0
2763.0000038445	30	4	0
2793.0000038445	30	5	0
2823.0000038445	30	5	0
2853.0000038445	30	5	0
2883.0000038445	30	5	0
2913.0000038445	30	5	0
2943.0000038445	30	5	0
2973.0000038445	30	5	0
3003.0000038445	30	5	0
3033.0000038445	30	5	0
3063.0000038445	30	5	0
3093.0000038445	30	5	0
3123.0000038445	30	5	0
3153.0000038445	30	5	0
3183.0000038445	30	5	0
3213.0000038445	30	5	0
3243.0000038445	30	5	0
3273.0000038445	30	5	0
3303.0000038445	30	5	0
3333.0000038445	30	5	0
3363.0000038445	30	5	0
3393.0000038445	30	5	0
3423.0000038445	30	5	0
3453.0000038445	30	5	0
3483.0000038445	30	5	0
3513.0000038445	30	5	0
3543.0000038445	30	5	0
3573.0000038445	30	5	0
3603.0000038445	30	5	0
3633.0000038445	30	5	0
3663.0000038445	30	5	0
3693.0000038445	30	5	0
3723.0000038445	30	5	0
3753.0000038445	30	5	0
3783.0000038445	30	5	1
3813.0000038445	30	5	0
3843.0000038445	30	4	0
3873.0000038445	30	4	0
3903.0000038445	30	4	0
3933.0000038445	30	4	0
3963.0000038445	30	4	0
3993.0000038445	30	4	0
4023.0000038445	30	4	0
4053.0000038445	30	4	0
4083.0000038445	30	4	0
4113.0000038445	30	4	0
4143.0000038445	30	4	0
4173.0000038445	30	4	0
4203.0000038445	30	4	0
4233.0000038445	30	4	0
4263.0000038445	30	4	0
4293.0000038445	30	4	0
4323.0000038445	30	4	0
4353.0000038445	30	4	0
4383.0000038445	30	4	0
4413.0000038445	30	4	0
4443.0000038445	30	1	1
4473.0000038445	30	1	0
4503.0000038445	30	1	0
4533.0000038445	30	1	0
4563.0000038445	30	1	0
4593.0000038445	30	1	0
4623.0000038445	30	1	0
4653.0000038445	30	3	0
4683.0000038445	30	3	0
4713.0000038445	30	3	0
4743.0000038445	30	4	0
4773.0000038445	30	4	0
4803.0000038445	30	4	0
4833.0000038445	30	4	1
4863.0000038445	30	4	0
4893.0000038445	30	4	0
4923.0000038445	30	4	0
4953.0000038445	30	4	0
4983.0000038445	30	4	0
5013.0000038445	30	4	0
5043.0000038445	30	4	0
5073.0000038445	30	4	0
5103.0000038445	30	4	0
5133.0000038445	30	4	0
5163.0000038445	30	4	0
5193.0000038445	30	4	0
5223.0000038445	30	4	0
5253.0000038445	30	4	0
5283.0000038445	30	4	0
5313.0000038445	30	4	0
5343.0000038445	30	4	0
5373.0000038445	30	4	0
5403.0000038445	30	4	0
5433.0000038445	30	4	0
5463.0000038445	30	4	0
5493.0000038445	30	4	0
5523.0000038445	30	4	0
5553.0000038445	30	4	0
5583.0000038445	30	4	0
5613.0000038445	30	4	1
5643.0000038445	30	4	0
5673.0000038445	30	4	0
5703.0000038445	30	4	0
5733.0000038445	30	4	1
5763.0000038445	30	3	0
5793.0000038445	30	3	0
5823.0000038445	30	3	0
5853.0000038445	30	3	1
5883.0000038445	30	4	0
5913.0000038445	30	2	0
5943.0000038445	30	2	0
5973.0000038445	30	2	0
6003.0000038445	30	2	0
6033.0000038445	30	2	0
6063.0000038445	30	2	0
6093.0000038445	30	2	0
6123.0000038445	30	1	1
6153.0000038445	30	1	0
6183.0000038445	30	1	0
6213.0000038445	30	3	0
6243.0000038445	30	3	0
6273.0000038445	30	3	0
6303.0000038445	30	3	0
6333.0000038445	30	4	0
6363.0000038445	30	4	0
6393.0000038445	30	4	0
6423.0000038445	30	4	0
6453.0000038445	30	4	0
6483.0000038445	30	4	0
6513.0000038445	30	4	0
6543.0000038445	30	4	0
6573.0000038445	30	4	0
6603.0000038445	30	4	0
6633.0000038445	30	4	0
6663.0000038445	30	4	0
6693.0000038445	30	4	0
6723.0000038445	30	4	0
6753.0000038445	30	4	0
6783.0000038445	30	4	0
6813.0000038445	30	4	0
6843.0000038445	30	4	0
6873.0000038445	30	4	0
6903.0000038445	30	4	0
6933.0000038445	30	5	0
6963.0000038445	30	5	0
6993.0000038445	30	5	0
7023.0000038445	30	5	0
7053.0000038445	30	5	0
7083.0000038445	30	5	0
7113.0000038445	30	5	0
7143.0000038445	30	5	0
7173.0000038445	30	5	0
7203.0000038445	30	5	0
7233.0000038445	30	5	0
7263.0000038445	30	5	0
7293.0000038445	30	5	0
7323.0000038445	30	5	0
7353.0000038445	30	5	0
7383.0000038445	30	5	0
7413.0000038445	30	5	0
7443.0000038445	30	5	0
7473.0000038445	30	5	0
7503.0000038445	30	5	0
7533.0000038445	30	5	0
7563.0000038445	30	5	0
7593.0000038445	30	5	0
7623.0000038445	30	5	0
7653.0000038445	30	5	0
7683.0000038445	30	5	0
7713.0000038445	30	5	0
