onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
19	5	27.0	7.0	7.0	7.0	54.5	clip_1
60	6	34.0	78.5	67.0	36.5	16.5	clip_2
95	5	52.5	0.0	59.0	88.5	48.0	clip_3
131	5	21.5	51.0	49.0	21.5	11.5	clip_4
147	6	36.5	27.0	57.5	37.5	26.5	clip_5
176	6	22.0	65.5	65.5	25.0	10.5	clip_6
210	5	57.0	0.0	33.5	49.0	38.0	clip_7
233	5	27.0	0.0	55.0	88.0	54.5	clip_8
255	7	27.0	0.0	22.0	67.5	45.5	clip_9
286	6	54.0	0.0	35.5	85.0	55.0	clip_10
343	5	3.0	30.5	74.0	65.5	48.0	clip_11
385	8	52.5	0.0	49.5	68.5	46.5	clip_12
412	8	58.0	0.0	34.5	100.0	62.0	clip_13
465	7	54.5	1.5	58.5	92.5	55.0	clip_14
518	6	10.0	36.0	39.0	20.5	14.0	clip_15
555	5	54.0	49.0	73.0	25.0	12.0	clip_16
594	7	21.0	48.5	67.0	51.5	38.5	clip_17
611	7	54.0	90.5	64.0	3.5	6.0	clip_18
633	7	56.0	0.0	22.5	98.5	73.0	clip_19
666	4	67.5	0.0	93.0	100.0	86.0	clip_20
701	9	18.5	0.0	20.5	87.5	69.0	clip_21
740	8	5.0	0.0	73.5	85.0	55.5	clip_22
778	9	61.0	0.0	12.0	100.0	79.0	clip_23
799	7	78.5	4.5	68.0	77.5	84.0	clip_24
839	5	69.0	0.0	78.0	100.0	67.0	clip_25
894	6	73.0	0.0	77.0	100.0	82.0	clip_26
962	7	82.0	0.0	81.5	100.0	82.0	clip_27
1002	8	100.0	0.0	94.5	96.5	81.0	clip_28
1022	5	95.0	0.0	100.0	100.0	88.0	clip_29
