onset	duration	trial_type	participant	date	neg_pics	img_start	rating_start	rating	rating_rt	pt_code	baseline	cueing	cubricID
975.039632235076	1	Uncued	NUW7V3	2021_Dec_01_2114	6834	975.039632235076	980.041314317026	2	0.250920440945265	PT16	1	Uncued	1122021301
991.161718313196	1	Uncued	NUW7V3	2021_Dec_01_2114	1930	991.161718313196	996.163366753508	2	0.211642116822986	PT16	2	Uncued	1122021301
1016.71195867986	1	Cued	NUW7V3	2021_Dec_01_2114	1300	1016.71195867986	1021.70529421415	3	0.203298135055775	PT16	1	Cued	1122021301
1032.75067222358	1	Uncued	NUW7V3	2021_Dec_01_2114	9254	1032.75067222358	1037.75237882401	3	0.226975006542489	PT16	3	Uncued	1122021301
1047.78074870414	1	Uncued	NUW7V3	2021_Dec_01_2114	9253	1047.78074870414	1052.78240484211	4	0.502707581741561	PT16	4	Uncued	1122021301
1063.82777971546	1	Cued	NUW7V3	2021_Dec_01_2114	9405	1063.82777971546	1068.82943756403	1	0.204494694028654	PT16	5	Cued	1122021301
1088.42773016532	1	Cued	NUW7V3	2021_Dec_01_2114	9800	1088.42773016532	1093.42939628174	3	0.220162289547261	PT16	2	Cued	1122021301
1102.45741919683	1	Uncued	NUW7V3	2021_Dec_01_2114	3068	1102.45741919683	1107.45913577572	4	0.231864733241309	PT16	4	Uncued	1122021301
1116.52051722686	1	Cued	NUW7V3	2021_Dec_01_2114	9425	1116.52051722686	1121.522179637	2	0.302964911770687	PT16	1	Cued	1122021301
1132.56752371969	1	Uncued	NUW7V3	2021_Dec_01_2114	6021	1132.56752371969	1137.56921007812	3	0.277632472506411	PT16	3	Uncued	1122021301
1155.10844820334	1	Uncued	NUW7V3	2021_Dec_01_2114	6242	1155.10844820334	1160.11014282963	2	0.567390760181297	PT16	1	Uncued	1122021301
1168.20451732037	1	Cued	NUW7V3	2021_Dec_01_2114	3210	1168.20451732037	1173.20622306551	3	0.316142455805675	PT16	3	Cued	1122021301
