onset	duration	trial_type	response_time	accuracy
391.6483	2.412	Congruent1	0.429	1
394.0653	2.421	Congruent1	0.388	1
396.4983	2.413	Congruent1	0.347	1
398.9143	2.416	Congruent1	0.483	1
401.3473	2.42	Congruent1	0.37	1
403.7803	2.408	Congruent1	0.409	1
406.1963	2.416	Congruent1	0.433	1
408.6133	2.425	Congruent1	0.375	1
411.0463	2.413	Congruent1	0.43	1
413.4623	2.416	Congruent1	0.35	1
415.8953	2.414	Congruent1	0.365	1
418.3113	2.405	Congruent1	0.405	1
420.7283	2.428	Congruent1	0.428	1
423.1613	2.412	Congruent1	0.379	1
425.5773	2.419	Congruent1	0.403	1
428.0103	2.4	Congruent1	0.417	1
430.4263	2.425	Congruent1	0.409	1
432.8593	2.409	Congruent1	0.392	1
435.2763	2.416	Congruent1	0.399	1
437.7093	2.416	Congruent1	0.366	1
440.1423	2.413	Congruent1	0.413	1
442.5583	2.42	Congruent1	0.437	1
444.9913	2.419	Congruent1	0.436	1
447.4243	2.409	Congruent1	0.459	1
449.8413	2.417	Congruent1	0.433	1
452.2743	2.418	Congruent1	0.368	1
454.7073	2.417	Congruent1	0.367	1
457.1403	2.42	Congruent1	0.47	1
459.5733	2.406	Congruent1	0.373	1
461.9893	2.414	Congruent1	0.365	1
464.4053	2.422	Congruent1	0.389	1
466.8383	2.414	Congruent1	0.364	1
469.2553	2.409	Congruent1	0.426	1
471.6713	2.419	Congruent1	0.386	1
474.1043	2.41	Congruent1	0.361	1
476.5203	2.426	Congruent1	0.377	1
478.9533	2.416	Congruent1	0.4	1
481.3863	2.416	Congruent1	0.367	1
483.8193	2.409	Congruent1	0.342	1
486.2363	2.424	Congruent1	0.341	1
488.6693	2.405	Congruent1	0.355	0
491.0853	2.416	Congruent1	0.483	1
493.5183	2.418	Congruent1	0.602	1
495.9513	2.415	Congruent1	0.449	1
498.3843	2.415	Congruent1	0.416	1
500.8003	2.414	Congruent1	0.464	1
503.2173	2.416	Congruent1	0.399	1
505.6503	2.414	Congruent1	0.414	1
508.0663	2.421	Congruent1	0.438	1
510.4993	2.409	Congruent1	0.492	1
512.9163	2.417	Congruent1	0.467	1
515.3493	2.416	Congruent1	0.466	1
517.7823	2.415	Congruent1	0.465	1
520.2153	2.416	Congruent1	0.416	1
522.6483	2.418	Congruent1	0.351	1
525.0813	2.406	Congruent1	0.39	1
527.4973	2.416	Congruent1	0.55	1
529.9303	2.422	Congruent1	0.372	1
532.3633	2.402	Congruent1	0.403	1
534.7793	2.421	Congruent1	0.355	1
537.2123	2.426	Congruent1	0.41	1
539.6453	2.409	Congruent1	0.409	1
542.0623	1.948	Congruent1	0.432	1
555.0433	2.321	CongMix	0.522	1
557.3763	2.793	CongMix	0.477	1
560.1763	2.449	CongMix	0.349	1
562.6263	2.295	IncongMix	0.379	0
564.9253	2.323	IncongMix	0.624	1
567.2583	2.721	IncongMix	0.555	1
569.9913	2.738	IncongMix	0.605	1
572.7413	2.01	IncongMix	0.527	1
574.7573	2.087	CongMix	0.487	1
576.8573	2.447	CongMix	0.547	1
579.3073	2.809	CongMix	0.409	1
582.1233	2.902	IncongMix	0.569	1
585.0393	1.912	IncongMix	0.429	1
586.9563	2.802	IncongMix	0.536	1
589.7723	2.121	IncongMix	0.471	1
591.9053	2.559	IncongMix	0.61	1
594.4713	2.169	CongMix	0.42	1
596.6543	1.945	CongMix	0.429	1
598.6043	2.124	IncongMix	0.591	1
600.7373	2.905	IncongMix	0.506	1
603.6533	2.836	CongMix	0.47	1
606.5033	2.287	CongMix	0.404	1
608.8033	2.75	IncongMix	0.584	1
611.5693	2.739	IncongMix	0.489	1
614.3193	2.617	CongMix	0.467	1
616.9523	2.004	IncongMix	0.538	1
618.9683	2.247	IncongMix	0.514	1
621.2183	2.797	CongMix	0.464	1
624.0173	2.273	CongMix	0.457	1
626.3003	2.244	IncongMix	0.478	1
628.5503	2.562	CongMix	0.412	1
631.1173	2.877	IncongMix	0.444	1
633.9993	2.857	CongMix	0.474	1
636.8663	2.084	IncongMix	0.535	1
638.9653	2.08	IncongMix	0.58	1
641.0493	2.631	CongMix	0.664	1
643.6823	2.114	CongMix	0.447	1
645.7983	2.18	IncongMix	0.547	1
647.9813	2.684	CongMix	0.484	1
650.6813	2.864	IncongMix	0.464	1
653.5473	2.261	IncongMix	0.445	1
655.8133	2.892	IncongMix	0.475	1
658.7133	2.499	IncongMix	0.416	1
661.2293	1.968	CongMix	0.435	1
663.2123	2.445	CongMix	0.412	1
665.6623	1.906	IncongMix	0.49	1
667.5783	2.516	IncongMix	0.566	1
670.0953	2.706	CongMix	0.473	1
672.8113	2.6	CongMix	0.484	1
675.4273	2.151	CongMix	0.484	1
677.5943	1.928	IncongMix	0.461	1
679.5273	2.104	CongMix	0.488	1
681.6433	2.357	IncongMix	0.524	1
684.0093	2.628	CongMix	0.462	1
686.6423	2.211	CongMix	0.461	1
688.8593	2.161	CongMix	0.428	1
691.0253	2.897	CongMix	0.414	1
693.9253	2.015	CongMix	0.465	1
695.9583	2.701	IncongMix	0.568	1
698.6743	2.251	CongMix	0.484	1
700.9413	1.986	IncongMix	0.537	1
702.9403	2.202	CongMix	0.402	1
705.1573	2.184	IncongMix	0.601	1
707.3563	2.39	CongMix	0.49	1
709.7563	2.566	CongMix	0.466	1
712.3393	2.443	IncongMix	0.426	1
714.7893	2.524	CongMix	0.424	1
717.3223	2.593	IncongMix	0.427	1
719.9213	2.393	CongMix	0.46	1
722.3213	2.35	IncongMix	0.484	1
724.6873	2.22	IncongMix	0.654	1
726.9203	1.986	CongMix	0.509	1
739.8523	2.417	Control1	0.784	1
742.2853	2.403	Control1	0.487	1
744.7013	2.413	Control1	0.463	1
747.1183	2.425	Control1	0.358	1
749.5513	2.405	Control1	0.389	1
751.9673	2.422	Control1	0.389	1
754.4003	2.42	Control1	0.387	1
756.8333	2.402	Control1	0.418	1
759.2503	2.417	Control1	0.433	1
761.6833	2.425	Control1	0.408	1
764.1163	2.407	Control1	0.407	1
766.5323	2.422	Control1	0.439	1
768.9653	2.404	Control1	0.438	1
771.3813	2.423	Control1	0.39	1
773.8143	2.419	Control1	0.42	1
776.2473	2.418	Control1	0.419	1
778.6803	2.403	Control1	0.37	1
781.0973	2.424	Control1	0.441	1
783.5303	2.407	Control1	0.424	1
785.9463	2.424	Control1	0.424	1
788.3793	2.417	Control1	0.367	1
790.8123	2.409	Control1	0.31	1
793.2283	2.415	Control1	0.382	1
795.6453	2.411	Control1	0.428	1
798.0613	2.42	Control1	0.404	1
800.4943	2.411	Control1	0.395	1
802.9103	2.42	Control1	0.371	1
805.3433	2.419	Control1	0.37	1
807.7763	2.409	Control1	0.409	1
810.1933	2.418	Control1	0.368	1
812.6263	2.426	Control1	0.359	1
815.0593	2.408	Control1	0.325	1
817.4753	2.413	Control1	0.397	1
819.8913	2.412	Control1	0.445	1
822.3083	2.419	Control1	0.436	1
824.7413	2.413	Control1	0.363	1
827.1573	2.422	Control1	0.339	1
829.5903	2.412	Control1	0.362	1
832.0073	2.41	Control1	0.577	1
834.4233	2.418	Control1	0.568	1
836.8563	2.415	Control1	0.399	1
839.2893	2.415	Control1	0.382	1
841.7053	2.415	Control1	0.382	1
844.1223	2.426	Control1	0.493	1
846.5553	2.412	Control1	0.396	1
848.9713	2.419	Control1	0.436	1
851.4043	2.402	Control1	0.419	1
853.8203	2.417	Control1	0.418	1
856.2533	2.419	Control1	0.353	1
858.6863	2.409	Control1	0.392	1
861.1033	2.418	Control1	0.335	1
863.5363	2.425	Control1	0.342	1
865.9693	2.407	Control1	0.341	1
868.3853	2.424	Control1	0.341	1
870.8183	2.413	Control1	0.364	1
873.2343	2.414	Control1	0.364	1
875.6513	2.417	Control1	0.45	1
878.0843	2.407	Control1	0.441	1
880.5003	2.418	Control1	0.385	1
882.9333	2.418	Control1	0.368	1
885.3663	2.417	Control1	0.367	1
887.7993	2.415	Control1	0.382	1
890.2153	2.416	Control1	0.366	1
892.6323	2.416	Control1	0.333	1
895.0653	2.404	Control1	0.371	1
897.4813	2.415	Control1	0.331	1
899.8983	2.42	Control1	0.37	1
902.3313	2.411	Control1	0.361	1
904.7473	2.419	Control1	0.369	1
907.1803	2.409	Control1	0.376	1
909.5963	2.418	Control1	0.352	1
912.0293	1.908	Control1	0.391	1
925.0113	2.878	CongMix	0.728	1
927.8943	2.855	CongMix	0.589	1
930.7603	2.031	CongMix	0.515	1
932.7933	1.957	CongMix	0.49	1
934.7603	2.557	CongMix	0.491	1
937.3263	2.595	CongMix	0.412	1
939.9263	2.326	CongMix	0.476	1
942.2593	2.449	CongMix	0.399	1
944.7253	2.573	IncongMix	0.557	1
947.3083	2.163	CongMix	0.414	1
949.4743	2.273	CongMix	0.424	1
951.7573	2.158	CongMix	0.341	1
953.9243	2.892	IncongMix	0.326	0
956.8233	2.884	IncongMix	0.418	1
959.7233	2.438	CongMix	0.438	1
962.1733	2.562	CongMix	0.396	1
964.7393	2.624	CongMix	0.374	1
967.3723	1.927	IncongMix	0.477	1
969.3053	2.522	IncongMix	0.456	1
971.8383	2.87	IncongMix	0.387	1
974.7213	2.8	CongMix	0.384	1
977.5373	2.088	IncongMix	0.655	1
979.6373	2.512	IncongMix	0.563	1
982.1533	1.93	CongMix	0.431	1
984.0863	2.705	IncongMix	0.522	1
986.8033	2.081	IncongMix	0.581	1
988.8863	2.358	IncongMix	0.442	1
991.2523	2.732	IncongMix	0.532	1
993.9853	2.252	IncongMix	0.519	1
996.2513	2.525	CongMix	0.509	1
998.7843	2.237	CongMix	0.487	1
1001.0343	2.451	CongMix	0.485	1
1003.5003	2.738	IncongMix	0.555	1
1006.2503	2.131	IncongMix	0.565	1
1008.3833	2.806	CongMix	0.44	1
1011.1993	2.009	IncongMix	0.576	1
1013.2163	2.362	IncongMix	0.679	1
1015.5823	2.207	CongMix	0.457	1
1017.7993	2.889	IncongMix	0.423	1
1020.6983	2.385	CongMix	0.468	1
1023.0983	2.86	IncongMix	0.444	1
1025.9643	2.626	CongMix	0.426	1
1028.5973	2.203	IncongMix	0.537	1
1030.8133	2.708	CongMix	0.441	1
1033.5303	2.263	IncongMix	0.58	1
1035.7963	2.781	IncongMix	0.498	1
1038.5793	2.401	CongMix	0.418	1
1040.9953	2.623	CongMix	0.474	1
1043.6283	2.125	CongMix	0.441	1
1045.7623	2.852	CongMix	0.435	1
1048.6283	2.73	IncongMix	0.513	1
1051.3613	2.235	IncongMix	0.436	1
1053.6103	2.589	IncongMix	0.523	1
1056.2103	2.142	CongMix	0.475	1
1058.3603	2.444	IncongMix	0.444	1
1060.8103	2.392	CongMix	0.426	1
1063.2093	2.678	CongMix	0.395	1
1065.8923	1.945	IncongMix	0.512	1
1067.8423	2.808	CongMix	0.442	1
1070.6583	1.914	IncongMix	0.53	1
1072.5753	2.311	IncongMix	0.461	1
1074.8913	2.098	CongMix	0.465	1
1076.9913	2.163	IncongMix	0.597	1
1079.1573	2.76	IncongMix	0.494	1
1081.9233	2.279	CongMix	0.496	1
1084.2063	2.08	CongMix	0.397	1
1086.2893	2.119	IncongMix	0.602	1
1088.4233	2.002	IncongMix	0.452	1
1090.4393	2.319	IncongMix	0.636	1
1092.7723	2.192	IncongMix	0.559	1
1094.9723	1.999	IncongMix	0.599	1
1096.9883	1.726	CongMix	0.439	1
