onset	duration	trial_type	rating
0.04	19.45	fixation_cross	n/a
19.5	3.01	instruction	n/a
22.5	20.05	watch_moving_bars	n/a
42.56	9.55	rating	2
52.12	19.72	fixation_cross	n/a
71.83	3.01	instruction	n/a
74.84	20.05	control_moving_bars	n/a
94.89	5.82	rating	3
100.7	17.39	fixation_cross	n/a
118.09	3.01	instruction	n/a
121.1	20.02	watch_static_bars	n/a
141.12	4.46	rating	3
145.58	19.75	fixation_cross	n/a
165.32	3.01	instruction	n/a
168.34	20.06	control_moving_bars	n/a
188.4	5.01	rating	3
193.4	18.91	fixation_cross	n/a
212.32	3.01	instruction	n/a
215.32	20.06	control_moving_bars	n/a
235.38	10.41	rating	4
245.79	17.3	fixation_cross	n/a
263.1	3	fixation_cross	n/a
266.1	20.07	watch_moving_bars	n/a
286.16	2.27	instruction	n/a
288.44	17.85	fixation_cross	n/a
306.29	3.01	fixation_cross	n/a
309.3	20.06	watch_moving_bars	n/a
329.36	3.06	instruction	n/a
332.42	18.64	fixation_cross	n/a
351.06	3.01	fixation_cross	n/a
354.07	20.03	watch_static_bars	n/a
374.1	2.31	instruction	n/a
376.41	19.88	fixation_cross	n/a
396.29	3.01	fixation_cross	n/a
399.3	20.06	watch_moving_bars	n/a
419.36	3.82	instruction	n/a
423.18	19.9	fixation_cross	n/a
443.07	3.01	fixation_cross	n/a
446.08	20.06	control_moving_bars	n/a
466.14	2.5	instruction	n/a
468.64	17.48	fixation_cross	n/a
486.11	3.01	fixation_cross	n/a
489.12	20.05	watch_static_bars	n/a
509.16	3.82	instruction	n/a
512.99	19.92	fixation_cross	n/a
532.91	3.01	fixation_cross	n/a
535.92	20.07	watch_moving_bars	n/a
555.98	3.09	instruction	n/a
559.07	19.88	fixation_cross	n/a
578.95	3	fixation_cross	n/a
581.96	20.04	watch_static_bars	n/a
601.99	2.48	instruction	n/a
604.46	18.46	fixation_cross	n/a
622.92	3.01	fixation_cross	n/a
625.93	20.06	control_moving_bars	n/a
646	2.63	instruction	n/a
648.64	19.41	fixation_cross	n/a
668.05	3	fixation_cross	n/a
671.05	20.03	watch_static_bars	n/a
691.08	1.98	instruction	n/a
