onset	duration	trial_type	item
9.07	0	faceRecog_guess_incorrect	foi_03389.png
12.12	0	ret_guess_incorrect	foi_03389.png
13.95	0	retFeedback_guess_incorrect	foi_03389.png
15.45	0	retRating_guess_incorrect	foi_03389.png
16.6	0	retRatingFeedback_guess_incorrect	foi_03389.png
19.85	0	faceRecog_unsure_correct	foc_02157.png
22.56	0	ret_unsure_correct	foc_02157.png
24.26	0	retFeedback_unsure_correct	foc_02157.png
26.8	0	retRating_unsure_correct	foc_02157.png
27.16	0	retRatingFeedback_unsure_correct	foc_02157.png
31.76	0	faceRecog_guess_correct	far_00736.png
34.33	0	ret_guess_correct	far_00736.png
35.33	0	retFeedback_guess_correct	far_00736.png
38.46	0	retRating_guess_correct	far_00736.png
38.89	0	retRatingFeedback_guess_correct	far_00736.png
42.66	0	faceRecog_guess_incorrect	mou_01862.png
45.77	0	ret_guess_incorrect	mou_01862.png
46.41	0	retFeedback_guess_incorrect	mou_01862.png
51.07	0	retRating_guess_incorrect	mou_01862.png
51.47	0	retRatingFeedback_guess_incorrect	mou_01862.png
55.99	0	faceRecog_guess_correct	mot_69374.png
58.35	0	ret_guess_correct	mot_69374.png
59.99	0	retFeedback_guess_correct	mot_69374.png
63.08	0	retRating_guess_correct	mot_69374.png
63.43	0	retRatingFeedback_guess_correct	mot_69374.png
67.82	0	faceRecog_sure_correct	mom_59361.png
70.73	0	ret_sure_correct	mom_59361.png
72.25	0	retFeedback_sure_correct	mom_59361.png
75.65	0	retRating_sure_correct	mom_59361.png
76.98	0	retRatingFeedback_sure_correct	mom_59361.png
79.3	0	faceRecog_guess_correct	fac_02146.png
82.36	0	ret_guess_correct	fac_02146.png
83.99	0	retFeedback_guess_correct	fac_02146.png
87.71	0	retRating_guess_correct	fac_02146.png
88.08	0	retRatingFeedback_guess_correct	fac_02146.png
92.87	0	faceRecog_unsure_incorrect	mac_59169.png
94.89	0	ret_unsure_incorrect	mac_59169.png
97.56	0	retFeedback_unsure_incorrect	mac_59169.png
99.76	0	retRating_unsure_incorrect	mac_59169.png
100.27	0	retRatingFeedback_unsure_incorrect	mac_59169.png
103.7	0	faceRecog_unsure_correct	moh_06446.png
106.67	0	ret_unsure_correct	moh_06446.png
108.1	0	retFeedback_unsure_correct	moh_06446.png
110.53	0	retRating_unsure_correct	moh_06446.png
110.95	0	retRatingFeedback_unsure_correct	moh_06446.png
114.87	0	faceRecog_unsure_correct	fok_09378.png
117.4	0	ret_unsure_correct	fok_09378.png
117.95	0	retFeedback_unsure_correct	fok_09378.png
120.75	0	retRating_unsure_correct	fok_09378.png
121.45	0	retRatingFeedback_unsure_correct	fok_09378.png
125.13	0	faceRecog_guess_incorrect	fop_00621.png
127.23	0	ret_guess_incorrect	fop_00621.png
128.5	0	retFeedback_guess_incorrect	fop_00621.png
130.74	0	retRating_guess_incorrect	fop_00621.png
131.89	0	retRatingFeedback_guess_incorrect	fop_00621.png
134.63	0	faceRecog_guess_incorrect	mog_03090.png
136.39	0	ret_guess_incorrect	mog_03090.png
138.39	0	retFeedback_guess_incorrect	mog_03090.png
139.84	0	retRating_guess_incorrect	mog_03090.png
140.84	0	retRatingFeedback_guess_incorrect	mog_03090.png
143.41	0	faceRecog_guess_incorrect	moj_11821.png
146.54	0	ret_guess_incorrect	moj_11821.png
147.22	0	retFeedback_guess_incorrect	moj_11821.png
150.29	0	retRating_guess_incorrect	moj_11821.png
150.64	0	retRatingFeedback_guess_incorrect	moj_11821.png
154.05	0	faceRecog_unsure_correct	fap_16329.png
156.37	0	ret_unsure_correct	fap_16329.png
158.29	0	retFeedback_unsure_correct	fap_16329.png
160.3	0	retRating_unsure_correct	fap_16329.png
161.3	0	retRatingFeedback_unsure_correct	fap_16329.png
163.68	0	faceRecog_sure_correct	mat_23275.png
166.85	0	ret_sure_correct	mat_23275.png
168.58	0	retFeedback_sure_correct	mat_23275.png
171.46	0	retRating_sure_correct	mat_23275.png
172.76	0	retRatingFeedback_sure_correct	mat_23275.png
176.35	0	faceRecog_guess_incorrect	fat_12032.png
179.18	0	ret_guess_incorrect	fat_12032.png
181.06	0	retFeedback_guess_incorrect	fat_12032.png
182.89	0	retRating_guess_incorrect	fat_12032.png
185.18	0	retRatingFeedback_guess_incorrect	fat_12032.png
187.39	0	faceRecog_guess_incorrect	fov_15046.png
190.69	0	ret_guess_incorrect	fov_15046.png
191.79	0	retFeedback_guess_incorrect	fov_15046.png
194.06	0	retRating_guess_incorrect	fov_15046.png
194.42	0	retRatingFeedback_guess_incorrect	fov_15046.png
198.95	0	faceRecog_unsure_incorrect	mak_00987.png
201.9	0	ret_unsure_incorrect	mak_00987.png
203.12	0	retFeedback_unsure_incorrect	mak_00987.png
205.88	0	retRating_unsure_incorrect	mak_00987.png
206.57	0	retRatingFeedback_unsure_incorrect	mak_00987.png
209.9	0	faceRecog_sure_correct	maj_01545.png
211.98	0	ret_sure_correct	maj_01545.png
213.02	0	retFeedback_sure_correct	maj_01545.png
