onset	duration	map	object_left	object_right	decision	chosen_object	unchosen_object	chosen_value	unchosen_value	response_time	trial_type	button	warning_onset
10.5564562115906	5.31546531431377	1	8	4	2	4	8	14.0261042959477	43.594028762536	5.30625317200611	choice	15.8719215259043	NaN
20.5707368241856	2.01615516898164	1	8	4	2	4	8	14.0261042959477	43.594028762536	5.30625317200611	feedback	15.8719215259043	NaN
24.6030494021397	4.44887497815944	1	12	3	2	3	12	11.0002740485006	17.884245506376	4.44135147260386	choice	29.0519243802992	NaN
32.4844086699304	2.01613564901345	1	12	3	2	3	12	11.0002740485006	17.884245506376	4.44135147260386	feedback	29.0519243802992	NaN
35.1837126072642	3.51578204969701	1	2	12	2	12	2	17.884245506376	4.89356064113839	3.50179775654397	choice	38.6994946569612	NaN
42.91511760297	2.01601916924119	1	2	12	2	12	2	17.884245506376	4.89356064113839	3.50179775654397	feedback	38.6994946569612	NaN
46.2807713009097	3.69920473752427	1	12	10	2	10	12	4.89356064113839	17.884245506376	3.6911778729409	choice	49.979976038434	NaN
52.8126102797833	2.01612028904492	1	12	10	2	10	12	4.89356064113839	17.884245506376	3.6911778729409	feedback	49.979976038434	NaN
57.1946831461973	2.56614931300282	1	9	4	1	9	4	70.8751717969681	14.0261042959477	2.54327991690661	choice	59.7608324592002	NaN
64.126425357259	2.01615324898739	1	9	4	1	9	4	70.8751717969681	14.0261042959477	2.54327991690661	feedback	59.7608324592002	NaN
66.7424340945145	1.56626483277068	1	2	8	2	8	2	43.594028762536	4.89356064113839	1.54730518917495	choice	68.3086989272851	NaN
72.957507921572	2.0161455690104	1	2	8	2	8	2	43.594028762536	4.89356064113839	1.54730518917495	feedback	68.3086989272851	NaN
76.7065832833468	2.94925033744948	1	8	1	1	8	1	43.594028762536	0.759511501145757	2.94348298851401	choice	79.6558336207963	NaN
83.4382119586226	2.0161631689698	1	8	1	1	8	1	43.594028762536	0.759511501145757	2.94348298851401	feedback	79.6558336207963	NaN
88.0037251128379	4.09897356996953	1	12	10	2	10	12	4.89356064113839	17.884245506376	4.08822927060828	choice	92.1026986828074	NaN
94.1355203798012	2.0160370891972	1	12	10	2	10	12	4.89356064113839	17.884245506376	4.08822927060828	feedback	92.1026986828074	NaN
97.5345663336193	2.61613833701995	1	10	2	2	2	10	4.89356064113839	4.89356064113839	2.61189354516682	choice	100.150704670639	NaN
102.516741087849	2.01623036884121	1	10	2	2	2	10	4.89356064113839	4.89356064113839	2.61189354516682	feedback	100.150704670639	NaN
106.632373185843	1.66624512081034	1	6	10	1	6	10	43.594028762536	4.89356064113839	1.65776417708548	choice	108.298618306653	NaN
111.114614499937	2.01611068905913	1	6	10	1	6	10	43.594028762536	4.89356064113839	1.65776417708548	feedback	108.298618306653	NaN
116.729825798728	2.66599232130102	2	1	10	1	1	10	44.4858066222941	50.2328997724974	2.64923331346654	choice	119.395818120029	114.229825798728
121.545290473034	2.01613628902123	2	1	10	1	1	10	44.4858066222941	50.2328997724974	2.64923331346654	feedback	119.395818120029	114.229825798728
126.743937771636	2.04950742494839	2	10	9	1	10	9	50.2328997724974	19.0043934374881	2.04123992081441	choice	128.793445196585	NaN
130.892915725592	2.0161631689698	2	10	9	1	10	9	50.2328997724974	19.0043934374881	2.04123992081441	feedback	128.793445196585	NaN
134.092103823161	3.6657318417856	2	5	7	1	5	7	2.61214098539182	1.88923160081495	3.64721123734489	choice	137.757835664946	NaN
141.306961970622	2.01613436902699	2	5	7	1	5	7	2.61214098539182	1.88923160081495	3.64721123734489	feedback	137.757835664946	NaN
145.222608212585	2.74934256126289	2	5	8	2	8	5	16.1621192465339	2.61214098539182	2.74048913826118	choice	147.971950773848	NaN
151.87096632774	2.01612700903206	2	5	8	2	8	5	16.1621192465339	2.61214098539182	2.74048913826118	feedback	147.971950773848	NaN
154.636922297097	2.1661337610276	2	11	4	1	11	4	100	1.67308660338568	2.14841443505429	choice	156.803056058125	NaN
159.285734491379	2.0161878089275	2	11	4	1	11	4	100	1.67308660338568	2.14841443505429	feedback	156.803056058125	NaN
163.951248413592	3.48245731368661	2	3	1	1	3	1	50.2328997724975	44.4858066222941	3.47218501340831	choice	167.433705727279	NaN
169.483192992266	2.01616444895626	2	3	1	1	3	1	50.2328997724975	44.4858066222941	3.47218501340831	feedback	167.433705727279	NaN
172.399001793907	2.38284822493733	2	4	3	2	3	4	50.2328997724975	1.67308660338568	2.37676183662552	choice	174.781850018844	NaN
179.130735748986	2.01615420897724	2	4	3	2	3	4	50.2328997724975	1.67308660338568	2.37676183662552	feedback	174.781850018844	NaN
182.446487782741	2.38286134490045	2	3	8	1	3	8	50.2328997724975	16.1621192465339	2.37906615219254	choice	184.829349127642	NaN
187.095415496791	2.01613276902935	2	3	8	1	3	8	50.2328997724975	16.1621192465339	2.37906615219254	feedback	184.829349127642	NaN
192.627330635514	3.66576896172774	2	8	7	2	7	8	1.88923160081495	16.1621192465339	3.65756225748919	choice	196.293099597242	NaN
199.308987886732	2.01614748900465	2	8	7	2	7	8	1.88923160081495	16.1621192465339	3.65756225748919	feedback	196.293099597242	NaN
202.9247348645	3.14923779346282	2	10	2	2	2	10	16.1621192465339	50.2328997724974	3.13322502421215	choice	206.073972657963	NaN
210.856100436285	2.01615900897013	2	10	2	2	2	10	16.1621192465339	50.2328997724974	3.13322502421215	feedback	206.073972657963	NaN
215.57146834278	4.69891353808634	1	3	12	2	12	3	17.884245506376	11.0002740485006	4.68805115894065	choice	220.270381880866	213.07146834278
222.353235481787	2.01600444926589	1	3	12	2	12	3	17.884245506376	11.0002740485006	4.68805115894065	feedback	220.270381880866	213.07146834278
225.469072379376	1.91618160092912	1	8	7	2	7	8	90.3707077873196	43.594028762536	1.90638865972869	choice	227.385253980305	NaN
229.418063517311	2.01615196898638	1	8	7	2	7	8	90.3707077873196	43.594028762536	1.90638865972869	feedback	227.385253980305	NaN
232.783864414974	2.11617481693975	1	7	4	1	7	4	90.3707077873196	14.0261042959477	2.10136140538089	choice	234.900039231914	NaN
239.732140034277	2.01616572897183	1	7	4	1	7	4	90.3707077873196	14.0261042959477	2.10136140538089	feedback	234.900039231914	NaN
243.647827236171	1.74955824084464	1	2	7	2	7	2	90.3707077873196	4.89356064113839	1.73190387473733	choice	245.397385477016	NaN
248.813194278657	2.01615452898841	1	2	7	2	7	2	90.3707077873196	4.89356064113839	1.73190387473733	feedback	245.397385477016	NaN
251.362557063883	3.23250963358441	1	4	10	1	4	10	14.0261042959477	4.89356064113839	3.22141269488202	choice	254.595066697468	NaN
259.427191819792	2.01612252903578	1	4	10	1	4	10	14.0261042959477	4.89356064113839	3.22141269488202	feedback	254.595066697468	NaN
262.476411245283	1.61626281678036	1	7	3	1	7	3	90.3707077873196	11.0002740485006	1.60204172407975	choice	264.092674062063	NaN
266.442084271184	2.01616156897217	1	7	3	1	7	3	90.3707077873196	11.0002740485006	1.60204172407975	feedback	264.092674062063	NaN
271.774046833816	2.01615292899078	1	8	6	2	6	8	43.594028762536	43.594028762536	2.00183135649422	choice	273.790199762807	NaN
278.105811956833	2.01612444904458	1	8	6	2	6	8	43.594028762536	43.594028762536	2.00183135649422	feedback	273.790199762807	NaN
281.50480127077	3.16599264129763	1	10	6	2	6	10	43.594028762536	4.89356064113839	3.14926755341003	choice	284.670793912068	NaN
289.119685850193	2.01608316911734	1	10	6	2	6	10	43.594028762536	4.89356064113839	3.14926755341003	feedback	284.670793912068	NaN
293.468589180309	1.53295673671528	1	10	9	2	9	10	70.8751717969681	4.89356064113839	1.51543165036128	choice	295.001545917024	NaN
299.900595938569	2.01587398179981	1	10	9	2	9	10	70.8751717969681	4.89356064113839	1.51543165036128	feedback	295.001545917024	NaN
304.815731873794	1.94949417696625	1	9	2	1	9	2	70.8751717969681	4.89356064113839	1.93595468296553	choice	306.76522605076	NaN
310.014429732284	2.01615484898502	1	9	2	1	9	2	70.8751717969681	4.89356064113839	1.93595468296553	feedback	306.76522605076	NaN
315.279768102831	2.18278012906376	2	7	1	2	1	7	44.4858066222941	1.88923160081495	2.16519520283327	choice	317.462548231895	312.779768102831
320.795052553498	2.01615132897859	2	7	1	2	1	7	44.4858066222941	1.88923160081495	2.16519520283327	feedback	317.462548231895	312.779768102831
323.777506987186	0.816594912132132	2	11	1	1	11	1	100	44.4858066222941	0.810875883107656	choice	324.594101899318	NaN
328.943041389357	2.01610972906929	2	11	1	1	11	1	100	44.4858066222941	0.810875883107656	feedback	324.594101899318	NaN
332.075532334973	3.58244432169886	2	7	9	2	9	7	19.0043934374881	1.88923160081495	3.56749907039921	choice	335.657976656672	NaN
338.07402641786	2.01603196922224	2	7	9	2	9	7	19.0043934374881	1.88923160081495	3.56749907039921	feedback	335.657976656672	NaN
341.389864531448	2.14944259307231	2	3	4	1	3	4	50.2328997724975	1.67308660338568	2.13515814050334	choice	343.53930712452	NaN
347.554978454427	2.0160262092395	2	3	4	1	3	4	50.2328997724975	1.67308660338568	2.13515814050334	feedback	343.53930712452	NaN
351.420636632378	3.86570809783007	2	2	9	1	2	9	16.1621192465339	19.0043934374881	3.857914832799	choice	355.286344730208	NaN
360.185119004571	2.01599772927875	2	2	9	1	2	9	16.1621192465339	19.0043934374881	3.857914832799	feedback	355.286344730208	NaN
364.067328830715	1.81634147262957	2	4	3	2	3	4	50.2328997724975	1.67308660338568	1.80813572838088	choice	365.883670303345	NaN
368.266419968466	2.0161394890165	2	4	3	2	3	4	50.2328997724975	1.67308660338568	1.80813572838088	feedback	365.883670303345	NaN
372.132099266368	1.31637795254937	2	1	11	2	11	1	100	44.4858066222941	1.30420101592608	choice	373.448477218917	NaN
376.04778614825	2.01611804903951	2	1	11	2	11	1	100	44.4858066222941	1.30420101592608	feedback	373.448477218917	NaN
379.196957381835	4.28234487897134	2	9	5	1	9	5	19.0043934374881	2.61214098539182	4.27610570988327	choice	383.479302260806	NaN
387.528228745796	2.0161484489945	2	9	5	1	9	5	19.0043934374881	2.61214098539182	4.27610570988327	feedback	383.479302260806	NaN
392.593624460234	1.59955756884301	2	2	1	2	1	2	44.4858066222941	16.1621192465339	1.58773167154868	choice	394.193182029077	NaN
397.342380782618	2.01618524892547	2	2	1	2	1	2	44.4858066222941	16.1621192465339	1.58773167154868	feedback	394.193182029077	NaN
400.55826356812	1.59959628878278	2	4	3	2	3	4	50.2328997724975	1.67308660338568	1.58969902778335	choice	402.157859856903	NaN
404.457282002011	2.01615356898401	2	4	3	2	3	4	50.2328997724975	1.67308660338568	1.58969902778335	feedback	402.157859856903	NaN
410.055886292685	2.89925139344996	1	3	9	2	9	3	70.8751717969681	11.0002740485006	2.89200084736513	choice	412.955137686135	407.555886292685
417.004225911878	2.01602332924085	1	3	9	2	9	3	70.8751717969681	11.0002740485006	2.89200084736513	feedback	412.955137686135	407.555886292685
421.20336412394	2.66569948745018	1	2	8	2	8	2	43.594028762536	4.89356064113839	2.64850656046474	choice	423.86906361139	NaN
426.218466460545	2.01616028897115	1	2	8	2	8	2	43.594028762536	4.89356064113839	2.64850656046474	feedback	423.86906361139	NaN
