onset	duration
7.024	3.475
15.923	2.624
20.89	2.785
33.872	3.483
48.838	3.229
62.804	2.383
69.77	2.809
83.753	2.466
93.719	2.676
105.684	5
112.684	3.959
121.65	2.297
134.633	2.362
147.598	2.093
158.564	2.703
167.547	2.48
174.513	2.426
184.479	1.916
193.446	2.541
207.428	3.135
219.394	5
229.393	2.314
242.359	2.076
254.325	3.558
268.307	2.728
279.273	2.346
291.239	2.804
299.222	2.901
304.188	1.903
315.154	2.537
322.121	2.186
331.103	3.3
341.069	2.79
353.035	2.744
364.001	3.546
376.984	3.059
387.95	2.541
399.916	1.951
406.882	2.337
413.865	3.09
420.831	2.372
426.797	2.734
432.764	2.487
443.746	2.745
451.712	2.515
460.679	2.58
467.645	2.558
478.611	2.544
490.593	1.698
502.559	2.3
508.525	2.526
514.492	3.079
522.475	3.408
532.441	3.186
539.407	3.332
547.373	1.846
559.356	2.391
565.322	2.097
573.288	1.771
586.271	2.1
