onset	duration
7.017	3.819
22.933	6.975
39.915	7.233
51.881	7.203
69.846	3.918
88.812	5.08
103.794	2.738
119.743	4.797
131.726	7.118
147.708	6.952
164.673	5.867
177.639	9.437
192.622	6.11
211.571	9.041
228.553	6.227
245.518	5.094
256.501	6.039
267.467	5.241
279.416	7.14
292.399	8.565
305.348	5.528
322.347	9.417
339.312	6.076
352.278	9.542
370.244	4.048
382.21	5.634
399.175	6.397
414.158	4.83
425.124	6.544
438.089	2.811
452.055	8.213
470.021	6.247
482.003	6.105
498.952	3.02
514.935	5.765
525.9	5.032
540.866	4.194
558.848	5.06
575.814	3.662
586.78	2.08
