onset	duration
50.344	4.252
65.343	2.253
76.309	3.655
89.275	1.617
96.241	3.211
107.224	2.036
171.453	2.543
184.452	2.848
197.418	2.226
209.384	3.004
225.35	3.278
233.333	2.231
297.545	2.955
306.545	6
313.544	5.148
324.51	2.214
335.476	1.672
344.442	2.466
408.705	3.339
417.704	3.38
427.67	2.99
434.636	3.176
444.602	3.45
455.568	3.468
519.798	1.966
529.797	2.103
543.763	2.721
559.729	3.067
575.694	2.926
586.677	1.863
