onset	duration	trial	value	instruction
5224	6	1	1	rest
11165	1	1	2	ready
12170	6	1	3	task
18118	8	1	4	interval
26200	6	2	1	rest
32163	1	2	2	ready
33200	6	2	3	task
39120	8	2	4	interval
47201	6	3	1	rest
53176	1	3	2	ready
54172	6	3	3	task
60121	8	3	4	interval
68199	6	4	1	rest
74166	1	4	2	ready
75206	6	4	3	task
81125	8	4	4	interval
89197	6	5	1	rest
95165	1	5	2	ready
96189	6	5	3	task
102127	8	5	4	interval
110200	6	6	1	rest
116167	1	6	2	ready
117190	6	6	3	task
123120	8	6	4	interval
131203	6	7	1	rest
137160	1	7	2	ready
138180	6	7	3	task
144125	8	7	4	interval
152211	6	8	1	rest
158171	1	8	2	ready
159180	6	8	3	task
165133	8	8	4	interval
173205	6	9	1	rest
179167	1	9	2	ready
180185	6	9	3	task
186133	8	9	4	interval
194206	6	10	1	rest
200188	1	10	2	ready
201174	6	10	3	task
207139	8	10	4	interval
215209	6	11	1	rest
221191	1	11	2	ready
222177	6	11	3	task
228132	8	11	4	interval
236202	6	12	1	rest
242172	1	12	2	ready
243199	6	12	3	task
249134	8	12	4	interval
257216	6	13	1	rest
263180	1	13	2	ready
264197	6	13	3	task
270142	8	13	4	interval
278217	6	14	1	rest
284181	1	14	2	ready
285188	6	14	3	task
291141	8	14	4	interval
299215	6	15	1	rest
305183	1	15	2	ready
306198	6	15	3	task
312139	8	15	4	interval
320221	6	16	1	rest
326189	1	16	2	ready
327194	6	16	3	task
333140	8	16	4	interval
341225	6	17	1	rest
347191	1	17	2	ready
348201	6	17	3	task
354156	8	17	4	interval
362223	6	18	1	rest
368190	1	18	2	ready
369219	6	18	3	task
375157	8	18	4	interval
383231	6	19	1	rest
389223	1	19	2	ready
390202	6	19	3	task
396155	8	19	4	interval
404239	6	20	1	rest
410198	1	20	2	ready
411214	6	20	3	task
417160	8	20	4	interval
