onset	duration	trial	value	instruction
4914	6	1	1	rest
10852	1	1	2	ready
11866	6	1	3	task
17818	8	1	4	interval
25895	6	2	1	rest
31854	1	2	2	ready
32867	6	2	3	task
38816	8	2	4	interval
46898	6	3	1	rest
52872	1	3	2	ready
53873	6	3	3	task
59828	8	3	4	interval
67899	6	4	1	rest
73876	1	4	2	ready
74882	6	4	3	task
80819	8	4	4	interval
88902	6	5	1	rest
94891	1	5	2	ready
95875	6	5	3	task
101825	8	5	4	interval
109904	6	6	1	rest
115862	1	6	2	ready
116879	6	6	3	task
122827	8	6	4	interval
130905	6	7	1	rest
136908	1	7	2	ready
137895	6	7	3	task
143827	8	7	4	interval
151904	6	8	1	rest
157890	1	8	2	ready
158882	6	8	3	task
164824	8	8	4	interval
172904	6	9	1	rest
178872	1	9	2	ready
179880	6	9	3	task
185824	8	9	4	interval
193915	6	10	1	rest
199885	1	10	2	ready
200898	6	10	3	task
206839	8	10	4	interval
214921	6	11	1	rest
220879	1	11	2	ready
221904	6	11	3	task
227839	8	11	4	interval
235914	6	12	1	rest
241876	1	12	2	ready
242886	6	12	3	task
248838	8	12	4	interval
256912	6	13	1	rest
262895	1	13	2	ready
263901	6	13	3	task
269841	8	13	4	interval
277914	6	14	1	rest
283908	1	14	2	ready
284920	6	14	3	task
290848	8	14	4	interval
298918	6	15	1	rest
304879	1	15	2	ready
305909	6	15	3	task
311845	8	15	4	interval
319917	6	16	1	rest
325883	1	16	2	ready
326923	6	16	3	task
332847	8	16	4	interval
340924	6	17	1	rest
346910	1	17	2	ready
347920	6	17	3	task
353846	8	17	4	interval
361920	6	18	1	rest
367891	1	18	2	ready
368896	6	18	3	task
374848	8	18	4	interval
382927	6	19	1	rest
388894	1	19	2	ready
389908	6	19	3	task
395855	8	19	4	interval
403938	6	20	1	rest
409904	1	20	2	ready
410911	6	20	3	task
416860	8	20	4	interval
