onset	duration	sample	trial_type	response_time	value	runlist	trial
2	0	2	Cue_SmallPun	0.302	1	1	1
4	0	4	Anticipation_SmallPun	0.302	1	1	1
6	0	6	Probe_SmallPun	0.302	1	1	1
6	0	6	Feedback_SmallPun	0.302	1	1	1
8	0	8	Cue_LgReward	0.225	1	1	2
10	0	10	Anticipation_LgReward	0.225	1	1	2
14	0	14	Probe_LgReward	0.225	1	1	2
14	0	14	Feedback_LgReward	0.225	1	1	2
16	0	16	Cue_SmallPun	0.249	1	1	3
18	0	18	Anticipation_SmallPun	0.249	1	1	3
21	0	21	Probe_SmallPun	0.249	1	1	3
21	0	21	Feedback_SmallPun	0.249	1	1	3
23	0	23	Cue_SmallReward	0.252	1	1	4
25	0	25	Anticipation_SmallReward	0.252	1	1	4
27	0	27	Probe_SmallReward	0.252	1	1	4
27	0	27	Feedback_SmallReward	0.252	1	1	4
29	0	29	Cue_LgPun	0.224	1	1	5
31	0	31	Anticipation_LgPun	0.224	1	1	5
33	0	33	Probe_LgPun	0.224	1	1	5
33	0	33	Feedback_LgPun	0.224	1	1	5
35	0	35	Cue_Triangle	0.226	1	1	6
37	0	37	Anticipation_Triangle	0.226	1	1	6
39	0	39	Probe_Triangle	0.226	1	1	6
40	0	40	Feedback_Triangle	0.226	1	1	6
41	0	41	Cue_SmallReward	0.22	1	1	7
43	0	43	Anticipation_SmallReward	0.22	1	1	7
46	0	46	Probe_SmallReward	0.22	1	1	7
46	0	46	Feedback_SmallReward	0.22	1	1	7
48	0	48	Cue_SmallReward	0	0	1	8
50	0	50	Anticipation_SmallReward	0	0	1	8
51	0	51	Probe_SmallReward	0	0	1	8
52	0	52	Feedback_SmallReward	0	0	1	8
53	0	53	Cue_LgReward	0	0	1	9
55	0	55	Anticipation_LgReward	0	0	1	9
57	0	57	Probe_LgReward	0	0	1	9
57	0	57	Feedback_LgReward	0	0	1	9
59	0	59	Cue_SmallPun	0	0	1	10
61	0	61	Anticipation_SmallPun	0	0	1	10
63	0	63	Probe_SmallPun	0	0	1	10
63	0	63	Feedback_SmallPun	0	0	1	10
65	0	65	Cue_LgReward	0	0	1	11
67	0	67	Anticipation_LgReward	0	0	1	11
69	0	69	Probe_LgReward	0	0	1	11
70	0	70	Feedback_LgReward	0	0	1	11
71	0	71	Cue_LgPun	0.167	1	1	12
73	0	73	Anticipation_LgPun	0.167	1	1	12
77	0	77	Probe_LgPun	0.167	1	1	12
77	0	77	Feedback_LgPun	0.167	1	1	12
79	0	79	Cue_SmallPun	0	0	1	13
81	0	81	Anticipation_SmallPun	0	0	1	13
84	0	84	Probe_SmallPun	0	0	1	13
85	0	85	Feedback_SmallPun	0	0	1	13
86	0	86	Cue_Triangle	0	0	1	14
88	0	88	Anticipation_Triangle	0	0	1	14
90	0	90	Probe_Triangle	0	0	1	14
90	0	90	Feedback_Triangle	0	0	1	14
92	0	92	Cue_LgPun	0.189	1	1	15
94	0	94	Anticipation_LgPun	0.189	1	1	15
98	0	98	Probe_LgPun	0.189	1	1	15
98	0	98	Feedback_LgPun	0.189	1	1	15
100	0	100	Cue_Triangle	0.24	1	1	16
102	0	102	Anticipation_Triangle	0.24	1	1	16
106	0	106	Probe_Triangle	0.24	1	1	16
106	0	106	Feedback_Triangle	0.24	1	1	16
108	0	108	Cue_LgPun	0.209	1	1	17
110	0	110	Anticipation_LgPun	0.209	1	1	17
113	0	113	Probe_LgPun	0.209	1	1	17
113	0	113	Feedback_LgPun	0.209	1	1	17
115	0	115	Cue_SmallPun	0	0	1	18
117	0	117	Anticipation_SmallPun	0	0	1	18
118	0	118	Probe_SmallPun	0	0	1	18
119	0	119	Feedback_SmallPun	0	0	1	18
120	0	120	Cue_LgReward	0	0	1	19
122	0	122	Anticipation_LgReward	0	0	1	19
124	0	124	Probe_LgReward	0	0	1	19
125	0	125	Feedback_LgReward	0	0	1	19
126	0	126	Cue_SmallPun	0.243	1	1	20
128	0	128	Anticipation_SmallPun	0.243	1	1	20
132	0	132	Probe_SmallPun	0.243	1	1	20
133	0	133	Feedback_SmallPun	0.243	1	1	20
134	0	134	Cue_SmallReward	0.267	1	1	21
136	0	136	Anticipation_SmallReward	0.267	1	1	21
138	0	138	Probe_SmallReward	0.267	1	1	21
138	0	138	Feedback_SmallReward	0.267	1	1	21
140	0	140	Cue_LgPun	0.24	1	1	22
142	0	142	Anticipation_LgPun	0.24	1	1	22
143	0	143	Probe_LgPun	0.24	1	1	22
144	0	144	Feedback_LgPun	0.24	1	1	22
145	0	145	Cue_LgReward	0	0	1	23
147	0	147	Anticipation_LgReward	0	0	1	23
151	0	151	Probe_LgReward	0	0	1	23
151	0	151	Feedback_LgReward	0	0	1	23
153	0	153	Cue_SmallReward	0.221	1	1	24
155	0	155	Anticipation_SmallReward	0.221	1	1	24
159	0	159	Probe_SmallReward	0.221	1	1	24
159	0	159	Feedback_SmallReward	0.221	1	1	24
161	0	161	Cue_Triangle	0	0	1	25
163	0	163	Anticipation_Triangle	0	0	1	25
165	0	165	Probe_Triangle	0	0	1	25
165	0	165	Feedback_Triangle	0	0	1	25
167	0	167	Cue_LgPun	0.226	1	1	26
169	0	169	Anticipation_LgPun	0.226	1	1	26
171	0	171	Probe_LgPun	0.226	1	1	26
171	0	171	Feedback_LgPun	0.226	1	1	26
173	0	173	Cue_SmallReward	0	0	1	27
175	0	175	Anticipation_SmallReward	0	0	1	27
177	0	177	Probe_SmallReward	0	0	1	27
177	0	177	Feedback_SmallReward	0	0	1	27
179	0	179	Cue_Triangle	0.22	1	1	28
181	0	181	Anticipation_Triangle	0.22	1	1	28
184	0	184	Probe_Triangle	0.22	1	1	28
184	0	184	Feedback_Triangle	0.22	1	1	28
186	0	186	Cue_SmallReward	0.25	1	1	29
188	0	188	Anticipation_SmallReward	0.25	1	1	29
191	0	191	Probe_SmallReward	0.25	1	1	29
192	0	192	Feedback_SmallReward	0.25	1	1	29
193	0	193	Cue_Triangle	0	0	1	30
195	0	195	Anticipation_Triangle	0	0	1	30
197	0	197	Probe_Triangle	0	0	1	30
197	0	197	Feedback_Triangle	0	0	1	30
199	0	199	Cue_SmallReward	0	0	1	31
201	0	201	Anticipation_SmallReward	0	0	1	31
202	0	202	Probe_SmallReward	0	0	1	31
203	0	203	Feedback_SmallReward	0	0	1	31
204	0	204	Cue_Triangle	0.233	1	1	32
206	0	206	Anticipation_Triangle	0.233	1	1	32
208	0	208	Probe_Triangle	0.233	1	1	32
209	0	209	Feedback_Triangle	0.233	1	1	32
210	0	210	Cue_LgPun	0	0	1	33
212	0	212	Anticipation_LgPun	0	0	1	33
214	0	214	Probe_LgPun	0	0	1	33
214	0	214	Feedback_LgPun	0	0	1	33
216	0	216	Cue_Triangle	0	0	1	34
218	0	218	Anticipation_Triangle	0	0	1	34
221	0	221	Probe_Triangle	0	0	1	34
222	0	222	Feedback_Triangle	0	0	1	34
223	0	223	Cue_LgPun	0	0	1	35
225	0	225	Anticipation_LgPun	0	0	1	35
227	0	227	Probe_LgPun	0	0	1	35
227	0	227	Feedback_LgPun	0	0	1	35
229	0	229	Cue_Triangle	0.24	1	1	36
231	0	231	Anticipation_Triangle	0.24	1	1	36
232	0	232	Probe_Triangle	0.24	1	1	36
233	0	233	Feedback_Triangle	0.24	1	1	36
234	0	234	Cue_SmallPun	0.212	1	1	37
236	0	236	Anticipation_SmallPun	0.212	1	1	37
238	0	238	Probe_SmallPun	0.212	1	1	37
238	0	238	Feedback_SmallPun	0.212	1	1	37
240	0	240	Cue_LgReward	0.24	1	1	38
242	0	242	Anticipation_LgReward	0.24	1	1	38
243	0	243	Probe_LgReward	0.24	1	1	38
244	0	244	Feedback_LgReward	0.24	1	1	38
245	0	245	Cue_Triangle	0.248	1	1	39
247	0	247	Anticipation_Triangle	0.248	1	1	39
249	0	249	Probe_Triangle	0.248	1	1	39
249	0	249	Feedback_Triangle	0.248	1	1	39
251	0	251	Cue_LgReward	0.222	1	1	40
253	0	253	Anticipation_LgReward	0.222	1	1	40
255	0	255	Probe_LgReward	0.222	1	1	40
255	0	255	Feedback_LgReward	0.222	1	1	40
257	0	257	Cue_LgPun	0.224	1	1	41
259	0	259	Anticipation_LgPun	0.224	1	1	41
261	0	261	Probe_LgPun	0.224	1	1	41
262	0	262	Feedback_LgPun	0.224	1	1	41
263	0	263	Cue_LgReward	0.202	1	1	42
265	0	265	Anticipation_LgReward	0.202	1	1	42
268	0	268	Probe_LgReward	0.202	1	1	42
269	0	269	Feedback_LgReward	0.202	1	1	42
270	0	270	Cue_LgPun	0.231	1	1	43
272	0	272	Anticipation_LgPun	0.231	1	1	43
274	0	274	Probe_LgPun	0.231	1	1	43
274	0	274	Feedback_LgPun	0.231	1	1	43
276	0	276	Cue_LgReward	0.24	1	1	44
278	0	278	Anticipation_LgReward	0.24	1	1	44
279	0	279	Probe_LgReward	0.24	1	1	44
280	0	280	Feedback_LgReward	0.24	1	1	44
281	0	281	Cue_SmallReward	0.21	1	1	45
283	0	283	Anticipation_SmallReward	0.21	1	1	45
286	0	286	Probe_SmallReward	0.21	1	1	45
287	0	287	Feedback_SmallReward	0.21	1	1	45
288	0	288	Cue_SmallPun	0.234	1	1	46
290	0	290	Anticipation_SmallPun	0.234	1	1	46
292	0	292	Probe_SmallPun	0.234	1	1	46
292	0	292	Feedback_SmallPun	0.234	1	1	46
294	0	294	Cue_LgReward	0	0	1	47
296	0	296	Anticipation_LgReward	0	0	1	47
297	0	297	Probe_LgReward	0	0	1	47
298	0	298	Feedback_LgReward	0	0	1	47
299	0	299	Cue_SmallPun	0	0	1	48
301	0	301	Anticipation_SmallPun	0	0	1	48
304	0	304	Probe_SmallPun	0	0	1	48
304	0	304	Feedback_SmallPun	0	0	1	48
306	0	306	Cue_SmallReward	0	0	1	49
308	0	308	Anticipation_SmallReward	0	0	1	49
309	0	309	Probe_SmallReward	0	0	1	49
310	0	310	Feedback_SmallReward	0	0	1	49
311	0	311	Cue_SmallPun	0	0	1	50
313	0	313	Anticipation_SmallPun	0	0	1	50
315	0	315	Probe_SmallPun	0	0	1	50
315	0	315	Feedback_SmallPun	0	0	1	50
