onset	duration	value	response	rt	good	a	bias	p	pv	ronda
2.8084	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
3.824	1	10	2	2474.4	1	0	0	0.1	0.1	1
6.3047	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
9.1017	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
13.1142	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
14.1298	1	10	2	2038.7	1	0	0	0.3	0.3	2
16.1776	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
20.5729	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
24.5854	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
25.601	1	10	1	2017.3	1	0	0	0.4	0.4	3
27.6322	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
30.8787	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
34.8912	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
35.9068	1	10	2	1126.9	1	0	0	0.2	0.2	4
37.0389	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
40.2688	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
44.2812	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
45.2968	1	10	1	1702.2	1	0.8	0.96368	0.1	0.35471	1
47.0117	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
50.0251	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
54.0376	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
59.049	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
60.0645	1	10	1	1928.6	1	0.7	0.37107	0.7	0.86582	2
61.9958	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
65.259	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
69.2715	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
71.286	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
72.3016	1	10	1	1626	1	0.8	0.68333	0.4	0.73331	3
73.9332	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
77.1298	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
81.1422	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
83.1568	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
84.1724	1	10	1	1260.2	1	0.4	0.17524	0.8	0.78349	4
85.4377	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
89.933	1	30	-99	-99	1	n/a	n/a	n/a	n/a	n/a
93.9454	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
95.9599	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
96.9755	1	10	2	987.2	1	0	0	0.1	0.1	1
97.9744	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
101.3209	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
105.3333	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
106.3489	1	10	1	878	1	0	0	0.8	0.8	2
107.2313	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
110.661	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
117.6703	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
118.6859	1	10	1	1183.6	1	0	0	0.8	0.8	3
119.8846	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
124.0302	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
128.0427	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
129.0583	1	10	1	947.6	1	0	0	0.9	0.9	4
130.0239	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
134.3693	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
138.3817	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
139.3973	1	10	2	1054.1	1	0.6	0.54786	0.5	0.57179	1
140.4629	1	20	-99	-99	1	n/a	n/a	n/a	n/a	n/a
144.0757	1	31	-99	-99	1	n/a	n/a	n/a	n/a	n/a
148.0881	1	40	-99	-99	1	n/a	n/a	n/a	n/a	n/a
150.1027	1	9	-99	-99	1	n/a	n/a	n/a	n/a	n/a
