onset	duration	concept	condition
2.572407	0.5	basket 	subHits
5.622164	0.5	bottle 	subMiss
15.164497	0.5	skirt 	subHits
21.203781	0.5	knife 	subMiss
31.749243	0.5	tractor 	subMiss
35.791947	0.5	aeroplane 	subHits
46.832186	0.5	stove 	subFA
56.870435	0.5	swan 	subCR
60.409278	0.5	gong 	subHits
69.449103	0.5	drill 	subHits
76.988616	0.5	kingfisher 	subCR
82.533889	0.5	trolley 	subMiss
89.576689	0.5	cigar 	subHits
99.622049	0.5	daffodil 	subCR
103.165984	0.5	leopard 	subCR
109.204237	0.5	banjo 	subHits
114.744366	0.5	van 	subHits
124.783877	0.5	rattle 	subHits
131.328791	0.5	donkey 	subHits
138.371824	0.5	deer 	n/a
141.910337	0.5	bone 	subHits
149.451621	0.5	screw 	subCR
157.496014	0.5	melon 	n/a
167.044974	0.5	aubergine 	subFA
175.594135	0.5	Kettle 	subCR
180.143658	0.5	broccoli 	subFA
188.186052	0.5	millipede 	subCR
191.227643	0.5	jacket 	subMiss
196.266943	0.5	sledge 	subFA
205.811184	0.5	soup 	subFA
216.854288	0.5	lizard 	subMiss
220.893738	0.5	brandy 	subHits
229.438456	0.5	coffee 	subMiss
235.98771	0.5	crab 	subMiss
239.531225	0.5	bucket 	subCR
246.571569	0.5	icecream 	subFA
254.615756	0.5	jam 	subCR
265.658596	0.5	broom 	subCR
270.697436	0.5	shark 	subCR
275.236698	0.5	pelican 	n/a
285.276129	0.5	train 	subFA
294.821486	0.5	lemon 	n/a
302.36513	0.5	hoe 	subHits
305.404202	0.5	accordion 	subCR
311.943541	0.5	cigarette 	subMiss
322.483598	0.5	gunieapig 	subHits
330.027902	0.5	frisbee 	n/a
334.070185	0.5	dagger 	subCR
345.110018	0.5	emu 	subHits
350.648708	0.5	blender 	subHits
355.195133	0.5	pie 	subHits
361.238775	0.5	chair 	subHits
369.283709	0.5	lettuce 	subHits
378.332724	0.5	wolf 	subHits
385.882049	0.5	sock 	n/a
395.426008	0.5	mushroom 	n/a
405.469844	0.5	coffeemachine 	subHits
413.519047	0.5	piano 	subCR
416.568824	0.5	motorcycle 	subHits
427.112511	0.5	tulip 	n/a
434.151035	0.5	crayfish 	subCR
445.190873	0.5	pram 	n/a
448.229172	0.5	llama 	subCR
453.274928	0.5	chandelier 	n/a
458.818032	0.5	lips 	n/a
465.35882	0.5	radio 	subMiss
475.897409	0.5	bouquet 	subCR
481.442038	0.5	foot 	subMiss
491.984735	0.5	razor 	subHits
497.024374	0.5	harp 	subHits
505.569477	0.5	axe 	subFA
510.112061	0.5	key 	subCR
519.152208	0.5	hair 	subMiss
527.691757	0.5	spider 	subCR
534.736469	0.5	cockerel 	subHits
543.785522	0.5	ambulance 	subFA
549.829549	0.5	cork 	n/a
558.868284	0.5	nail 	subHits
562.907644	0.5	ham 	subCR
567.453029	0.5	trumpet 	subCR
571.497024	0.5	rollsroyce 	subHits
578.036198	0.5	lobster 	n/a
