onset	duration	concept	condition
2.572094	0.5	hummingbird 	subHits
5.621745	0.5	sardine 	subCR
15.17063	0.5	landrover 	subFA
21.220011	0.5	balloon 	subCR
31.763327	0.5	starling 	n/a
35.808521	0.5	oak 	subFA
46.85734	0.5	guitar 	subCR
56.900186	0.5	butter 	subHits
60.440447	0.5	toad 	subHits
69.48499	0.5	skateboard 	subCR
77.028048	0.5	pig 	subCR
82.567422	0.5	harpoon 	subCR
89.612854	0.5	swing 	n/a
99.654995	0.5	lily 	subHits
103.195784	0.5	spinach 	subHits
109.235652	0.5	rhino 	subCR
114.775249	0.5	caravan 	n/a
124.819078	0.5	crane 	subFA
131.368472	0.5	rat 	subMiss
138.412277	0.5	brick 	subHits
141.952175	0.5	turkey 	subFA
149.490472	0.5	champagne 	subCR
157.530106	0.5	tent 	n/a
167.069262	0.5	jar 	n/a
175.613872	0.5	snail 	subCR
180.16332	0.5	ostrich 	subCR
188.205764	0.5	coach 	subFA
191.245911	0.5	yoghurt 	subHits
196.291648	0.5	asparagus 	subHits
205.840647	0.5	butterfly 	subCR
216.889565	0.5	candle 	subHits
220.933652	0.5	whisky 	subHits
229.473147	0.5	olive 	subHits
236.011656	0.5	napkin 	subHits
239.55026	0.5	spoon 	subFA
246.589979	0.5	jeep 	subCR
254.635469	0.5	hyacinth 	subFA
265.68445	0.5	lamb 	subHits
270.733891	0.5	elephant 	subHits
275.283332	0.5	doll 	subHits
285.327261	0.5	tongue 	subCR
294.865819	0.5	grapes 	n/a
302.404293	0.5	tarantula 	subHits
305.445053	0.5	bee 	subCR
311.984524	0.5	turnip 	subHits
322.523401	0.5	wine 	subHits
330.06763	0.5	fox 	subCR
334.111969	0.5	zebra 	n/a
345.150615	0.5	pistol 	n/a
350.689596	0.5	otter 	subMiss
355.229232	0.5	scallop 	subHits
361.274486	0.5	seagull 	subCR
369.318036	0.5	bicycle 	subMiss
378.362617	0.5	thumbs 	n/a
385.911752	0.5	wheel 	subFA
395.460793	0.5	kitchenscale 	subHits
405.509724	0.5	seahorse 	subMiss
413.552239	0.5	mug 	n/a
416.592772	0.5	desk 	subHits
427.137511	0.5	ant 	n/a
434.180847	0.5	coffeepot 	subCR
445.225509	0.5	willow 	subFA
448.269582	0.5	sugar 	subHits
453.314763	0.5	chestnut 	subFA
458.864221	0.5	bullet 	subHits
465.407184	0.5	trousers 	subFA
475.947243	0.5	flounder 	subFA
481.48625	0.5	bagpipes 	subHits
492.025439	0.5	raft 	subCR
497.070173	0.5	cauliflower 	subHits
505.619413	0.5	mosquito 	subCR
510.16225	0.5	limousine 	subFA
519.202171	0.5	trout 	subFA
527.741319	0.5	car 	subHits
534.786237	0.5	raspberry 	subCR
543.835223	0.5	porcupine 	n/a
549.884701	0.5	barrel 	n/a
558.93386	0.5	tomato 	subHits
562.977552	0.5	plate 	subCR
567.516783	0.5	raisin 	subFA
571.556032	0.5	rollerskate 	subMiss
578.101628	0.5	cherries 	subMiss
