onset	duration	concept	condition
2.580733	0.5	moose 	subHits
5.626789	0.5	beetle 	subMiss
15.168973	0.5	revolver 	subMiss
21.20805	0.5	bed 	subMiss
31.754095	0.5	beer 	subCR
35.797621	0.5	deckchair 	subMiss
46.842551	0.5	rice 	subHits
56.885817	0.5	lion 	subHits
60.424832	0.5	seal 	subFA
69.470014	0.5	shotgun 	subMiss
77.012724	0.5	platypus 	subHits
82.551202	0.5	flute 	subCR
89.591029	0.5	potato 	subCR
99.630167	0.5	armour 	subCR
103.16984	0.5	saw 	subCR
109.208823	0.5	ball 	subHits
114.749039	0.5	anchor 	subHits
124.794426	0.5	dice 	subHits
131.343689	0.5	walrus 	subCR
138.386325	0.5	dragonfly 	subCR
141.926021	0.5	wheelchair 	subCR
149.471762	0.5	nut 	n/a
157.515864	0.5	moth 	subMiss
167.055004	0.5	ship 	subHits
175.593621	0.5	gin 	subCR
180.1325	0.5	heart 	subHits
188.172088	0.5	kangaroo 	subCR
191.210182	0.5	stickinsect 	subHits
196.251912	0.5	buttercup 	subCR
205.795863	0.5	chisel 	subFA
216.838303	0.5	pillow 	subMiss
220.877665	0.5	worm 	subCR
229.416662	0.5	arm 	subMiss
235.956286	0.5	cart 	n/a
239.495419	0.5	goose 	subHits
246.534643	0.5	carrot 	subCR
254.581032	0.5	moped 	subCR
265.629543	0.5	gerbil 	subFA
270.674142	0.5	sunflower 	subHits
275.218669	0.5	chocolate 	subHits
285.261908	0.5	sweetpotato 	subCR
294.80045	0.5	lantern 	subCR
302.339761	0.5	clam 	n/a
305.385528	0.5	prawn 	subMiss
311.929084	0.5	buzzard 	subCR
322.46839	0.5	chicken 	subMiss
330.012817	0.5	recorder 	subCR
334.055792	0.5	apple 	subCR
345.094162	0.5	leotard 	subCR
350.635068	0.5	ear 	n/a
355.174137	0.5	doorknob 	subHits
361.214106	0.5	sword 	subHits
369.252315	0.5	bayonet 	n/a
378.292706	0.5	hornet 	subMiss
385.830676	0.5	crowbar 	subCR
395.376041	0.5	armchair 	subFA
405.418783	0.5	canary 	subHits
413.457992	0.5	sheep 	subCR
416.497396	0.5	peacock 	subCR
427.03701	0.5	buggy 	n/a
434.076342	0.5	spatula 	subHits
445.114763	0.5	dolphin 	subFA
448.153921	0.5	television 	subMiss
453.193799	0.5	onion 	subHits
458.733657	0.5	clock 	subFA
465.273328	0.5	dates 	subHits
475.811113	0.5	ladle 	subFA
481.351131	0.5	flea 	subCR
491.896063	0.5	crocodile 	subFA
496.938438	0.5	umbrella 	subCR
505.479401	0.5	dress 	subCR
510.018139	0.5	carnation 	subHits
519.063138	0.5	kiwi 	n/a
527.607049	0.5	ashtray 	subMiss
534.646102	0.5	yatch 	subCR
543.68425	0.5	eel 	subCR
549.723775	0.5	tuba 	n/a
558.763435	0.5	rake 	subCR
562.802035	0.5	alligator 	subMiss
567.341782	0.5	orange 	subFA
571.382248	0.5	geranium 	subHits
577.921221	0.5	eye 	subCR
