onset	duration	concept	condition
2.678768	0.5	peas 	subCR
5.738355	0.5	buckle 	subHits
15.287424	0.5	screwdriver 	subFA
21.4168	0.5	pickle 	subFA
31.96945	0.5	iguana 	subFA
36.015193	0.5	dog 	subCR
47.057147	0.5	jellyfish 	subCR
57.096101	0.5	tortoise 	subCR
60.64263	0.5	sweater 	subHits
69.685881	0.5	milk 	subMiss
77.223648	0.5	tights 	subHits
82.763444	0.5	penknife 	subHits
89.80315	0.5	drum 	subHits
99.842408	0.5	penguin 	subHits
103.381505	0.5	sofa 	subCR
109.420459	0.5	pumpkin 	subFA
114.959604	0.5	bath 	subCR
124.998538	0.5	dandelion 	subCR
131.538971	0.5	rock 	subHits
138.584423	0.5	skunk 	subCR
142.13405	0.5	wheelbarrow 	subHits
149.677548	0.5	chipmunk 	subHits
157.715876	0.5	gun 	subCR
167.261491	0.5	pear 	subMiss
175.803478	0.5	washingmachine 	subHits
180.350172	0.5	squid 	subCR
188.391531	0.5	mackerel 	subHits
191.431782	0.5	ketchup 	subHits
196.47209	0.5	woodpecker 	subHits
206.010655	0.5	gorilla 	subCR
217.050998	0.5	pineapple 	subHits
221.095882	0.5	courgette 	subMiss
229.644871	0.5	camel 	subMiss
236.18738	0.5	calf 	subMiss
239.726682	0.5	fork 	subCR
246.766201	0.5	ox 	subFA
254.805918	0.5	kite 	subCR
265.854887	0.5	biscuit 	subFA
270.893956	0.5	pansy 	subFA
275.432795	0.5	hamster 	subHits
285.472262	0.5	helicopter 	subFA
295.011076	0.5	bowl 	subCR
302.587253	0.5	mouse 	subCR
305.630208	0.5	apricot 	subFA
312.168997	0.5	bat 	subHits
322.715072	0.5	dishwasher 	subCR
330.257411	0.5	grapefruit 	subHits
334.297136	0.5	cod 	subHits
345.337434	0.5	bear 	n/a
350.874875	0.5	bean 	subHits
355.415314	0.5	rabbit 	subFA
361.455328	0.5	stone 	subHits
369.500303	0.5	cap 	subCR
378.542574	0.5	strawberry 	subHits
386.083326	0.5	toaster 	subHits
395.627611	0.5	owl 	subFA
405.671001	0.5	typewriter 	subHits
413.709036	0.5	salmon 	subFA
416.748601	0.5	housefly 	subMiss
427.287762	0.5	whale 	subHits
434.326432	0.5	porsche 	subCR
445.367146	0.5	rattleske 	subCR
448.41216	0.5	pliers 	subCR
453.454871	0.5	rose 	subCR
458.994656	0.5	frog 	subHits
465.534845	0.5	ladybird 	subHits
476.073827	0.5	pony 	subMiss
481.618724	0.5	apron 	subHits
492.167372	0.5	bookcase 	subHits
497.211208	0.5	scorpion 	subFA
505.756149	0.5	hawk 	subHits
510.300451	0.5	jelly 	subCR
519.338712	0.5	scissors 	subCR
527.883789	0.5	birch 	subFA
534.933055	0.5	cushion 	subCR
543.982041	0.5	pigeon 	subCR
550.02485	0.5	gloves 	subHits
559.064414	0.5	tuna 	subHits
563.103523	0.5	parakeet 	subCR
567.642907	0.5	rhubarb 	n/a
571.682901	0.5	cat 	subCR
578.228498	0.5	coin 	subFA
