onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.54	12	2	1
6	2.5	0	3	2.7	12	2	2
11	2.5	0	3	2.72	5	1	1
16	2.5	0	3	2.97	5	1	2
21	2.5	0	3	2.7	5	1	1
26	2.5	0	3	2.57	5	1	2
31	2.5	1	0	2.58	8	2	1
36	2.5	0	3	2.91	8	2	2
51	2.5	0	3	2.6	4	1	1
56	2.5	0	3	2.83	4	1	2
61	2.5	0	3	2.82	3	1	1
66	2.5	0	3	2.99	3	1	2
81	2.5	0	3	2.49	12	2	1
86	2.5	0	3	2.58	12	2	2
91	2.5	0	3	2.55	5	1	1
96	2.5	1	0	2.71	5	1	2
101	2.5	1	0	2.49	4	1	1
106	2.5	0	3	2.49	4	1	2
121	2.5	0	3	2.46	6	1	1
126	2.5	0	3	2.56	6	1	2
131	2.5	0	3	2.82	1	1	1
136	2.5	0	3	2.66	1	1	2
141.001	2.5	0	3	2.6	11	2	1
146	2.5	0	3	2.83	11	2	2
151	2.5	0	3	2.46	2	1	1
156.001	2.5	0	3	2.37	2	1	2
161	2.5	0	3	2.45	3	1	1
166	2.5	0	3	2.67	3	1	2
171	2.5	0	3	2.37	1	1	1
176	2.5	0	3	2.92	1	1	2
181	2.5	0	3	2.57	9	2	1
186	2.5	1	0	2.65	9	2	2
201	2.5	0	3	2.61	3	1	1
206	2.5	0	3	2.53	3	1	2
211	2.5	0	3	2.52	11	2	1
216	2.5	0	3	2.54	11	2	2
221	2.5	0	3	2.51	12	2	1
226	2.5	0	3	2.39	12	2	2
231	2.5	0	3	2.5	7	2	1
236.002	2.5	0	3	2.53	7	2	2
241	2.5	0	3	2.5	2	1	1
246	2.5	0	3	2.44	2	1	2
251.001	2.5	0	3	2.5	9	2	1
256	2.5	0	3	2.66	9	2	2
261.001	2.5	0	3	2.84	7	2	1
266	2.5	0	3	2.93	7	2	2
281	2.5	0	3	2.53	6	1	1
286	2.5	0	3	2.73	6	1	2
291	2.5	0	3	2.72	6	1	1
296	2.5	0	3	2.71	6	1	2
301	2.5	0	3	2.64	7	2	1
306	2.5	0	3	2.7	7	2	2
311	2.5	0	3	2.65	10	2	1
316	2.5	0	3	2.44	10	2	2
321	2.5	1	0	2.62	9	2	1
326	2.5	0	3	2.46	9	2	2
331	2.5	0	3	2.59	10	2	1
336.001	2.5	0	3	2.63	10	2	2
341	2.5	0	3	2.58	10	2	1
346	2.5	0	3	2.47	10	2	2
351	2.5	0	3	2.53	11	2	1
356	2.5	0	3	2.69	11	2	2
361	2.5	0	3	2.37	1	1	1
366	2.5	0	3	2.55	1	1	2
371	2.5	0	3	2.42	2	1	1
376	2.5	0	3	2.72	2	1	2
381	2.5	0	3	2.9	8	2	1
386.002	2.5	0	3	2.8	8	2	2
391	2.5	0	3	2.67	8	2	1
396	2.5	0	3	2.74	8	2	2
401	2.5	0	3	2.61	4	1	1
406.002	2.5	0	3	2.54	4	1	2
