onset	duration	weight	memtype	resolution	memcond	phase	trial	run	eye
27.9998100000084	0.231	1	3	2	4	1	1	7	1
27.9998100000084	5	1	3	2	4	1	1	7	0
28.2408100000084	0.08	1	3	2	4	1	1	7	1
28.3728100000084	0.07	1	3	2	4	1	1	7	1
28.4768100000084	0.5	1	3	2	4	1	1	7	1
28.9928100000084	0.032	1	3	2	4	1	1	7	1
29.0388100000084	0.104	1	3	2	4	1	1	7	1
29.1968100000084	0.066	1	3	2	4	1	1	7	1
29.6948100000084	0.062	1	3	2	4	1	1	7	1
29.7668100000084	0.03	1	3	2	4	1	1	7	1
30.7048100000084	0.064	1	3	2	4	1	1	7	1
30.8248100000084	0.18	1	3	2	4	1	1	7	1
31.2928100000084	0.022	1	3	2	4	1	1	7	1
31.3248100000084	0.108	1	3	2	4	1	1	7	1
31.4528100000084	0.02	1	3	2	4	1	1	7	1
31.5008100000084	0.026	1	3	2	4	1	1	7	1
31.6408100000084	0.034	1	3	2	4	1	1	7	1
32.1728100000084	0.156	1	3	2	4	1	1	7	1
32.4288100000084	0.02	1	3	2	4	1	1	7	1
32.4668100000084	0.062	1	3	2	4	1	1	7	1
32.5548100000084	0.03	1	3	2	4	1	1	7	1
32.6228100000084	0.052	1	3	2	4	1	1	7	1
32.6848100000084	0.064	1	3	2	4	1	1	7	1
32.7728100000084	0.092	1	3	2	4	1	1	7	1
32.8908100000084	0.046	1	3	2	4	1	1	7	1
41.7489737000142	0.001	1	3	2	4	2	1	7	1
41.7489737000142	5	1	3	2	4	2	1	7	0
41.8819737000142	0.032	1	3	2	4	2	1	7	1
41.9799737000142	0.028	1	3	2	4	2	1	7	1
42.0259737000142	0.03	1	3	2	4	2	1	7	1
42.1299737000142	0.202	1	3	2	4	2	1	7	1
42.4059737000142	0.122	1	3	2	4	2	1	7	1
42.6399737000142	0.158	1	3	2	4	2	1	7	1
42.8159737000142	0.03	1	3	2	4	2	1	7	1
42.8679737000142	0.022	1	3	2	4	2	1	7	1
43.0199737000142	0.068	1	3	2	4	2	1	7	1
43.5579737000142	0.158	1	3	2	4	2	1	7	1
43.7239737000142	0.168	1	3	2	4	2	1	7	1
44.0019737000142	0.034	1	3	2	4	2	1	7	1
44.1959737000142	0.024	1	3	2	4	2	1	7	1
44.3079737000142	0.02	1	3	2	4	2	1	7	1
44.3479737000142	0.058	1	3	2	4	2	1	7	1
44.4679737000142	0.422	1	3	2	4	2	1	7	1
44.9339737000142	0.262	1	3	2	4	2	1	7	1
45.5839737000142	0.046	1	3	2	4	2	1	7	1
45.6719737000142	0.222	1	3	2	4	2	1	7	1
45.9379737000142	0.076	1	3	2	4	2	1	7	1
46.0519737000142	0.026	1	3	2	4	2	1	7	1
48.2486370000115	3	1	3	2	4	3	1	7	0
55.9982354000094	5	1	4	1	2	1	2	7	0
56.0712354000094	0.036	1	4	1	2	1	2	7	1
56.1252354000094	0.03	1	4	1	2	1	2	7	1
56.2112354000094	0.044	1	4	1	2	1	2	7	1
56.4152354000094	0.562	1	4	1	2	1	2	7	1
57.0132354000094	0.154	1	4	1	2	1	2	7	1
57.1952354000094	0.34	1	4	1	2	1	2	7	1
57.8132354000094	0.04	1	4	1	2	1	2	7	1
57.8612354000094	0.034	1	4	1	2	1	2	7	1
57.9252354000094	0.03	1	4	1	2	1	2	7	1
58.0912354000094	0.042	1	4	1	2	1	2	7	1
58.2252354000094	0.096	1	4	1	2	1	2	7	1
58.3492354000094	0.074	1	4	1	2	1	2	7	1
58.4492354000094	0.102	1	4	1	2	1	2	7	1
58.5632354000094	0.022	1	4	1	2	1	2	7	1
58.6252354000094	0.24	1	4	1	2	1	2	7	1
58.9212354000094	0.056	1	4	1	2	1	2	7	1
58.9992354000094	0.13	1	4	1	2	1	2	7	1
59.1792354000094	0.344	1	4	1	2	1	2	7	1
59.5832354000094	0.136	1	4	1	2	1	2	7	1
59.7452354000094	0.046	1	4	1	2	1	2	7	1
59.8772354000094	0.038	1	4	1	2	1	2	7	1
59.9572354000094	0.036	1	4	1	2	1	2	7	1
60.0152354000094	0.162	1	4	1	2	1	2	7	1
60.2012354000094	0.034	1	4	1	2	1	2	7	1
60.3572354000094	0.032	1	4	1	2	1	2	7	1
60.4032354000094	0.04	1	4	1	2	1	2	7	1
60.5492354000094	0.032	1	4	1	2	1	2	7	1
60.6692354000094	0.032	1	4	1	2	1	2	7	1
60.7212354000094	0.02	1	4	1	2	1	2	7	1
60.7992354000094	0.036	1	4	1	2	1	2	7	1
60.9092354000094	0.022	1	4	1	2	1	2	7	1
60.9652354000094	0.108	1	4	1	2	1	2	7	1
69.7477772000129	5	1	4	1	2	2	2	7	0
69.7827772000129	0.034	1	4	1	2	2	2	7	1
70.0087772000129	0.13	1	4	1	2	2	2	7	1
70.1627772000129	0.07	1	4	1	2	2	2	7	1
70.2667772000129	0.03	1	4	1	2	2	2	7	1
70.3567772000129	0.322	1	4	1	2	2	2	7	1
70.6887772000129	0.254	1	4	1	2	2	2	7	1
70.9607772000129	0.072	1	4	1	2	2	2	7	1
71.3427772000129	0.022	1	4	1	2	2	2	7	1
71.3767772000129	0.082	1	4	1	2	2	2	7	1
71.4667772000129	0.098	1	4	1	2	2	2	7	1
71.5887772000129	0.04	1	4	1	2	2	2	7	1
71.6607772000129	0.028	1	4	1	2	2	2	7	1
71.7347772000129	0.156	1	4	1	2	2	2	7	1
71.9167772000129	0.294	1	4	1	2	2	2	7	1
72.2307772000129	0.244	1	4	1	2	2	2	7	1
72.5147772000129	0.38	1	4	1	2	2	2	7	1
72.9207772000129	0.486	1	4	1	2	2	2	7	1
73.8147772000129	0.038	1	4	1	2	2	2	7	1
74.1367772000129	0.02	1	4	1	2	2	2	7	1
74.1707772000129	0.022	1	4	1	2	2	2	7	1
77.997156700003	3	1	4	1	2	3	2	7	0
83.7468699000019	5	1	3	1	3	1	3	7	0
83.8758699000019	0.038	1	3	1	3	1	3	7	1
83.9598699000019	0.21	1	3	1	3	1	3	7	1
84.1778699000019	0.724	1	3	1	3	1	3	7	1
84.9478699000019	0.058	1	3	1	3	1	3	7	1
85.3318699000019	0.056	1	3	1	3	1	3	7	1
85.4538699000019	0.098	1	3	1	3	1	3	7	1
85.6818699000019	0.038	1	3	1	3	1	3	7	1
86.6058699000019	0.072	1	3	1	3	1	3	7	1
86.6898699000019	0.054	1	3	1	3	1	3	7	1
86.7758699000019	0.078	1	3	1	3	1	3	7	1
86.8878699000019	0.038	1	3	1	3	1	3	7	1
87.4218699000019	0.038	1	3	1	3	1	3	7	1
87.4758699000019	0.02	1	3	1	3	1	3	7	1
87.6798699000019	0.232	1	3	1	3	1	3	7	1
87.9318699000019	0.022	1	3	1	3	1	3	7	1
87.9638699000019	0.05	1	3	1	3	1	3	7	1
88.0918699000019	0.026	1	3	1	3	1	3	7	1
88.1298699000019	0.024	1	3	1	3	1	3	7	1
88.1998699000019	0.02	1	3	1	3	1	3	7	1
88.2358699000019	0.03	1	3	1	3	1	3	7	1
88.2918699000019	0.03	1	3	1	3	1	3	7	1
97.7461974000034	0.029	1	3	1	3	2	3	7	1
97.7461974000034	5	1	3	1	3	2	3	7	0
97.8051974000034	0.024	1	3	1	3	2	3	7	1
97.8531974000034	0.058	1	3	1	3	2	3	7	1
97.9211974000034	0.038	1	3	1	3	2	3	7	1
97.9731974000034	0.072	1	3	1	3	2	3	7	1
98.0631974000034	0.126	1	3	1	3	2	3	7	1
98.6691974000034	0.05	1	3	1	3	2	3	7	1
