onset	duration	trial_type	value	sample	tms rmt	working amplitude
0.0	0.0002	New Segment/	1	0	63.0	70.0
5.7988	0.0002	Stimulus/S128	2	28994	63.0	70.0
13.8762	0.0002	Stimulus/S128	2	69381	63.0	70.0
19.9534	0.0002	Stimulus/S128	2	99767	63.0	70.0
26.0166	0.0002	Stimulus/S128	2	130083	63.0	70.0
33.08	0.0002	Stimulus/S128	2	165400	63.0	70.0
39.1642	0.0002	Stimulus/S128	2	195821	63.0	70.0
45.2274	0.0002	Stimulus/S128	2	226137	63.0	70.0
53.291	0.0002	Stimulus/S128	2	266455	63.0	70.0
60.3822	0.0002	Stimulus/S128	2	301911	63.0	70.0
68.4596	0.0002	Stimulus/S128	2	342298	63.0	70.0
74.5228	0.0002	Stimulus/S128	2	372614	63.0	70.0
82.5864	0.0002	Stimulus/S128	2	412932	63.0	70.0
90.6498	0.0002	Stimulus/S128	2	453249	63.0	70.0
96.7132	0.0002	Stimulus/S128	2	483566	63.0	70.0
104.7766	0.0002	Stimulus/S128	2	523883	63.0	70.0
112.861	0.0002	Stimulus/S128	2	564305	63.0	70.0
119.9522	0.0002	Stimulus/S128	2	599761	63.0	70.0
127.0366	0.0002	Stimulus/S128	2	635183	63.0	70.0
133.1068	0.0002	Stimulus/S128	2	665534	63.0	70.0
140.1702	0.0002	Stimulus/S128	2	700851	63.0	70.0
147.2336	0.0002	Stimulus/S128	2	736168	63.0	70.0
153.2968	0.0002	Stimulus/S128	2	766484	63.0	70.0
159.3794	0.0002	Stimulus/S128	2	796897	63.0	70.0
166.4444	0.0002	Stimulus/S128	2	832222	63.0	70.0
172.5076	0.0002	Stimulus/S128	2	862538	63.0	70.0
180.5712	0.0002	Stimulus/S128	2	902856	63.0	70.0
187.6416	0.0002	Stimulus/S128	2	938208	63.0	70.0
194.7118	0.0002	Stimulus/S128	2	973559	63.0	70.0
200.789	0.0002	Stimulus/S128	2	1003945	63.0	70.0
208.8734	0.0002	Stimulus/S128	2	1044367	63.0	70.0
216.9564	0.0002	Stimulus/S128	2	1084782	63.0	70.0
224.028	0.0002	Stimulus/S128	2	1120140	63.0	70.0
231.0914	0.0002	Stimulus/S128	2	1155457	63.0	70.0
237.1826	0.0002	Stimulus/S128	2	1185913	63.0	70.0
244.246	0.0002	Stimulus/S128	2	1221230	63.0	70.0
252.3096	0.0002	Stimulus/S128	2	1261548	63.0	70.0
260.38	0.0002	Stimulus/S128	2	1301900	63.0	70.0
268.4574	0.0002	Stimulus/S128	2	1342287	63.0	70.0
276.5212	0.0002	Stimulus/S128	2	1382606	63.0	70.0
284.5844	0.0002	Stimulus/S128	2	1422922	63.0	70.0
290.6478	0.0002	Stimulus/S128	2	1453239	63.0	70.0
298.7114	0.0002	Stimulus/S128	2	1493557	63.0	70.0
306.7818	0.0002	Stimulus/S128	2	1533909	63.0	70.0
312.845	0.0002	Stimulus/S128	2	1564225	63.0	70.0
319.9088	0.0002	Stimulus/S128	2	1599544	63.0	70.0
326.979	0.0002	Stimulus/S128	2	1634895	63.0	70.0
334.0492	0.0002	Stimulus/S128	2	1670246	63.0	70.0
340.1334	0.0002	Stimulus/S128	2	1700667	63.0	70.0
347.2038	0.0002	Stimulus/S128	2	1736019	63.0	70.0
354.267	0.0002	Stimulus/S128	2	1771335	63.0	70.0
361.3304	0.0002	Stimulus/S128	2	1806652	63.0	70.0
367.4006	0.0002	Stimulus/S128	2	1837003	63.0	70.0
373.471	0.0002	Stimulus/S128	2	1867355	63.0	70.0
379.5412	0.0002	Stimulus/S128	2	1897706	63.0	70.0
