onset	duration	trial_type	response
313.5122	0.2226	scrambled	other
314.9907	0.2226	scrambled	other
316.3692	0.2226	visage	other
317.8478	0.2226	scrambled	other
319.1264	0.2226	tool	other
320.3882	5.0453	Bfix	other
325.4336	0.2226	visage	other
326.7121	0.2226	scrambled	other
328.1908	0.2226	scrambled	other
329.5693	0.2226	tool	other
330.8479	0.2226	scene	other
332.2264	0.2226	scene	other
333.6049	0.2227	visage	other
334.9835	0.2226	scene	other
336.462	0.2226	tool	other
337.7405	0.2226	tool	other
339.0024	7.1914	Bfix	other
