onset	duration	trial_type	response
0.0229	5.0307	Bfix	other
5.0536	0.2227	characters	other
6.5322	0.2226	house	other
7.7941	0.2226	characters	other
9.2893	0.2226	animal	other
10.7846	0.2226	target_fruit	other
12.1465	0.2226	pseudoword	other
13.4084	0.2226	pseudoword	other
14.8703	0.2227	characters	other
16.2323	0.2226	characters	other
17.6943	0.2226	characters	other
18.9728	0.2226	animal	other
20.468	0.2226	house	other
21.7466	0.2227	animal	other
23.1252	0.2226	animal	other
24.4871	0.2226	characters	other
25.7657	0.2226	target_fruit	other
27.2276	0.2226	characters	other
28.6062	0.2227	house	other
29.8682	0.2226	characters	other
31.3468	0.2226	house	other
32.8086	0.2227	pseudoword	other
34.2039	0.2226	animal	other
35.4657	0.2226	pseudoword	other
36.8443	0.2226	house	other
38.1228	0.2226	animal	other
39.5847	5.0259	Bfix	other
44.6106	0.2226	pseudoword	other
45.9725	0.2226	characters	other
47.4677	0.2227	animal	other
48.963	0.2226	house	other
50.3248	0.2226	pseudoword	other
51.82	0.2226	house	other
53.1819	0.2226	pseudoword	other
54.5604	0.2226	house	other
55.8556	0.2226	house	other
57.2341	0.2227	house	other
58.6961	0.2226	pseudoword	other
60.1913	0.2226	animal	other
61.4865	0.2226	target_fruit	other
62.7817	0.2226	house	other
64.0435	0.2226	characters	other
65.3388	0.2226	house	other
66.7173	0.2226	house	other
68.0958	0.2226	house	other
69.4577	0.2226	pseudoword	other
70.8195	0.2226	characters	other
72.1814	5.0226	Bfix	other
77.254	0.2226	house	other
78.6326	0.2226	animal	other
79.9944	0.2226	pseudoword	other
81.2563	0.2226	pseudoword	other
82.7181	0.2226	characters	other
84.18	0.2226	characters	other
85.6752	0.2226	animal	other
87.0705	0.2226	house	other
88.5656	0.2227	animal	other
89.8609	0.2226	animal	other
91.1561	0.2226	animal	other
92.4513	0.2227	house	other
93.9466	0.2226	animal	other
95.4417	0.2226	house	other
96.8036	0.2226	pseudoword	other
98.2655	0.2226	pseudoword	other
99.6607	0.2226	animal	other
100.956	0.2226	animal	other
102.2178	0.2226	pseudoword	other
103.613	0.2226	animal	other
104.9748	0.2226	characters	other
106.3367	0.2226	pseudoword	other
107.7319	0.2226	target_fruit	other
108.9937	0.2226	pseudoword	other
110.3723	0.2226	house	other
111.6675	0.2226	animal	other
112.9293	0.2226	pseudoword	other
114.1912	0.2226	characters	other
115.5864	0.2226	animal	other
116.9816	0.2226	house	other
118.3435	5.0463	Bfix	other
123.3897	0.2226	house	other
124.7849	0.2226	animal	other
126.2468	0.2226	pseudoword	other
127.6086	0.2226	characters	other
128.9705	0.2226	characters	other
130.349	0.2226	animal	other
131.7109	0.2226	characters	other
133.0894	0.2226	house	other
134.3512	0.2226	pseudoword	other
135.7297	0.2227	animal	other
136.9917	0.2226	pseudoword	other
138.4536	0.2226	characters	other
139.8154	0.2226	pseudoword	other
141.094	0.2226	animal	other
142.3558	0.2226	pseudoword	other
143.8177	0.2226	characters	other
145.1795	0.2226	pseudoword	other
146.4414	0.2226	characters	other
147.9033	0.2226	characters	other
149.1652	0.2226	pseudoword	other
150.4271	5.0263	Bfix	other
155.4533	0.2226	pseudoword	other
156.9152	0.2226	characters	other
158.277	0.2226	characters	other
159.5722	0.2226	house	other
161.0675	0.2226	target_fruit	other
162.4627	0.2226	house	other
163.8579	0.2226	house	other
165.3531	0.2226	animal	other
166.7483	0.2226	animal	other
168.0268	0.2226	animal	other
169.4887	5.054	Bfix	other
174.5426	0.2226	scene	other
175.9379	0.2226	visage	other
177.3331	0.2226	tool	other
178.6283	0.2226	visage	other
180.1235	0.2226	scene	other
181.602	0.2226	target_fruit	other
182.8972	0.2226	scrambled	other
184.1924	0.2226	scene	other
