onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
24.412109375	0	stim-thr	10	24998	n/a	n/a	0.1	0.33451	n/a	n/a
28.947265625	0	stim-thr	10	29642	n/a	n/a	0.12	1.724	n/a	n/a
32.3427734375	0	stim-thr	10	33119	n/a	n/a	0.14	1.9797	n/a	n/a
34.5615234375	0	stim-thr	10	35391	n/a	n/a	0.16	1.0288	n/a	n/a
38.44140625	0	stim-thr	10	39364	n/a	n/a	0.18	1.7686	n/a	n/a
40.9833984375	0	stim-thr	10	41967	n/a	n/a	0.2	1.1761	n/a	n/a
43.2490234375	0	stim-thr	10	44287	n/a	n/a	0.22	0.3095	n/a	n/a
46.4990234375	0	stim-thr	10	47615	n/a	n/a	0.24	0.39973	n/a	n/a
50.0634765625	0	stim-thr	10	51265	n/a	n/a	0.26	0.81391	n/a	n/a
53.912109375	0	stim-thr	10	55206	n/a	n/a	0.28	1.4974	n/a	n/a
57.2333984375	0	stim-thr	10	58607	n/a	n/a	0.3	1.6512	n/a	n/a
60.3056640625	0	stim-thr	10	61753	n/a	n/a	0.32	1.5799	n/a	n/a
62.53515625	0	stim-thr	10	64036	n/a	n/a	0.34	0.63705	n/a	n/a
66.1083984375	0	stim-thr	10	67695	n/a	n/a	0.36	1.0681	n/a	n/a
68.3740234375	0	stim-thr	10	70015	n/a	n/a	0.38	0.1799	n/a	n/a
71.56640625	0	stim-thr	10	73284	n/a	n/a	0.4	0.22341	n/a	n/a
74.7626953125	0	stim-thr	10	76557	n/a	n/a	0.42	0.27259	n/a	n/a
79.0244140625	0	stim-thr	10	80921	n/a	n/a	0.44	1.3573	n/a	n/a
81.814453125	0	stim-thr	10	83778	n/a	n/a	0.46	0.99035	n/a	n/a
84.3359375	0	stim-thr	10	86360	n/a	n/a	0.48	0.37942	n/a	n/a
88.103515625	0	stim-thr	10	90218	n/a	n/a	0.5	0.99001	n/a	n/a
90.55078125	0	stim-thr	10	92724	n/a	n/a	0.52	0.29522	n/a	n/a
93.5009765625	0	stim-thr	10	95745	n/a	n/a	0.54	0.10995	n/a	n/a
98.2451171875	0	stim-thr	10	100603	n/a	n/a	0.56	1.7014	n/a	n/a
100.8115234375	0	stim-thr	10	103231	n/a	n/a	0.58	1.1211	n/a	n/a
104.70703125	0	stim-thr	10	107220	n/a	n/a	0.6	1.8592	n/a	n/a
107.3857421875	0	stim-thr	10	109963	n/a	n/a	0.62	1.3933	n/a	n/a
110.310546875	0	stim-thr	10	112958	n/a	n/a	0.64	1.1656	n/a	n/a
113.9296875	0	stim-thr	10	116664	n/a	n/a	0.66	1.6308	n/a	n/a
117.220703125	0	stim-thr	10	120034	n/a	n/a	0.68	1.758	n/a	n/a
120.5927734375	0	stim-thr	10	123487	n/a	n/a	0.7	1.9778	n/a	n/a
121.7763671875	0	stim-thr	10	124699	n/a	n/a	0.72	0.0010448	n/a	n/a
126.642578125	0	stim-thr	10	129682	n/a	n/a	0.74	1.7309	n/a	n/a
129.3046875	0	stim-thr	10	132408	n/a	n/a	0.76	1.2251	n/a	n/a
133.2109375	0	stim-thr	10	136408	n/a	n/a	0.78	1.9799	n/a	n/a
135.453125	0	stim-thr	10	138704	n/a	n/a	0.8	1.0554	n/a	n/a
138.4970703125	0	stim-thr	10	141821	n/a	n/a	0.82	0.95905	n/a	n/a
142.298828125	0	stim-thr	10	145714	n/a	n/a	0.84	1.6027	n/a	n/a
144.314453125	0	stim-thr	10	147778	n/a	n/a	0.86	0.45569	n/a	n/a
147.9931640625	0	stim-thr	10	151545	n/a	n/a	0.88	0.99619	n/a	n/a
151.9326171875	0	stim-thr	10	155579	n/a	n/a	0.9	1.8017	n/a	n/a
154.4482421875	0	stim-thr	10	158155	n/a	n/a	0.92	1.1493	n/a	n/a
158.154296875	0	stim-thr	10	161950	n/a	n/a	0.94	1.6904	n/a	n/a
161.099609375	0	stim-thr	10	164966	n/a	n/a	0.96	1.4773	n/a	n/a
163.9501953125	0	stim-thr	10	167885	n/a	n/a	0.98	1.172	n/a	n/a
166.4326171875	0	stim-thr	10	170427	n/a	n/a	1	0.49347	n/a	n/a
170.4462890625	0	stim-thr	10	174537	n/a	n/a	1.02	1.3328	n/a	n/a
172.4228515625	0	stim-thr	10	176561	n/a	n/a	1.04	0.16697	n/a	n/a
