onset	duration	session_number	session_type	trial_type	stimulus_direction	number_ErasedDot
12.05	8	1	mirror	start_session	n/a	n/a
26.074	1.41066835803678	1	mirror	erasing	rightward	7
35.584	3.50005380832448	1	mirror	erasing	downward	3
45.093	3.50187332142219	1	mirror	erasing	downward	4
54.62	3.50001246241848	1	mirror	erasing	leftward	5
64.129	3.50187889285634	1	mirror	erasing	upward	6
73.656	3.50184135898422	1	mirror	erasing	upward	2
83.182	1.04560688019335	1	mirror	erasing	rightward	7
92.693	2.30690391592647	1	mirror	erasing	rightward	7
102.202	2.14096842668271	1	mirror	erasing	leftward	7
111.712	1.54356025784597	1	mirror	erasing	leftward	7
121.222	1.37752682865465	1	mirror	erasing	rightward	7
130.732	3.50186276502066	1	mirror	erasing	upward	0
140.259	3.50183226874956	1	mirror	erasing	downward	2
149.785	3.50005322185773	1	mirror	erasing	upward	0
159.295	2.42318531792216	1	mirror	erasing	leftward	7
168.804	2.78820427692608	1	mirror	erasing	downward	7
178.314	1.99156631487459	1	mirror	erasing	rightward	7
197.848	4	1	mirror	score	n/a	n/a
201.848	8	1	mirror	end_session	n/a	n/a
219.889	8	2	mirror	start_session	n/a	n/a
233.896	1.74259563733248	2	mirror	erasing	downward	7
243.407	1.95838080048606	2	mirror	erasing	leftward	7
252.916	3.38567900973916	2	mirror	erasing	leftward	7
262.426	2.60563600413224	2	mirror	erasing	rightward	7
271.936	3.50185836652002	2	mirror	erasing	upward	4
281.462	3.50004559778996	2	mirror	erasing	upward	4
290.972	3.35244980357762	2	mirror	erasing	downward	7
300.482	1.7592413231511	2	mirror	erasing	downward	7
309.991	1.09536096002261	2	mirror	erasing	rightward	7
319.502	2.09113546707532	2	mirror	erasing	rightward	7
329.011	3.50189678009227	2	mirror	erasing	downward	2
338.538	3.50007521436093	2	mirror	erasing	upward	3
348.048	1.82564431436612	2	mirror	erasing	leftward	7
357.557	3.50001715415249	2	mirror	erasing	upward	4
367.068	1.14516430305904	2	mirror	erasing	rightward	7
376.577	2.35667265742454	2	mirror	erasing	leftward	7
386.087	1.34435187066766	2	mirror	erasing	downward	7
405.621	4	2	mirror	score	n/a	n/a
409.621	8	2	mirror	end_session	n/a	n/a
427.662	8	3	rotation-90	start_session	n/a	n/a
441.669	3.5000121691851	3	rotation-90	erasing	rightward	3
451.178	3.50002888348753	3	rotation-90	erasing	leftward	5
460.689	1.37750102411757	3	rotation-90	erasing	leftward	7
470.199	1.65968008825152	3	rotation-90	erasing	downward	7
479.708	3.50183696048358	3	rotation-90	erasing	upward	0
489.235	3.50180558451235	3	rotation-90	erasing	upward	2
498.761	3.50006671059303	3	rotation-90	erasing	rightward	0
508.272	3.50180793037936	3	rotation-90	erasing	rightward	2
517.797	3.50005292862436	3	rotation-90	erasing	downward	5
527.308	3.50000630451758	3	rotation-90	erasing	downward	0
536.817	3.50185074245225	3	rotation-90	erasing	rightward	4
546.344	3.50185191538575	3	rotation-90	erasing	upward	1
555.87	3.50005058275735	3	rotation-90	erasing	leftward	5
565.38	3.50000337218382	3	rotation-90	erasing	upward	1
574.89	3.50186804322143	3	rotation-90	erasing	downward	3
584.416	3.5018220055814	3	rotation-90	erasing	leftward	5
593.943	3.50003181582129	3	rotation-90	erasing	rightward	6
613.477	4	3	rotation-90	score	n/a	n/a
617.477	8	3	rotation-90	end_session	n/a	n/a
635.517	8	4	mirror	start_session	n/a	n/a
649.525	3.50185396801938	4	mirror	erasing	downward	4
659.051	3.50004647749009	4	mirror	erasing	leftward	3
668.561	3.15333231874585	4	mirror	erasing	leftward	7
678.071	1.26128090789745	4	mirror	erasing	rightward	7
687.581	3.50006964292679	4	mirror	erasing	upward	3
697.09	3.50006289855914	4	mirror	erasing	upward	3
706.6	2.45630573450122	4	mirror	erasing	downward	7
716.111	1.16175368806948	4	mirror	erasing	downward	7
725.62	3.50173256940174	4	mirror	erasing	rightward	6
735.147	2.62223887787798	4	mirror	erasing	rightward	7
744.656	3.50185778005327	4	mirror	erasing	downward	6
754.183	3.50006084592551	4	mirror	erasing	upward	5
763.693	3.5000511692241	4	mirror	erasing	leftward	2
773.203	3.5000280037874	4	mirror	erasing	upward	2
782.712	3.50181643414726	4	mirror	erasing	rightward	3
792.239	1.1617765602728	4	mirror	erasing	leftward	7
801.748	2.53939018600673	4	mirror	erasing	downward	7
821.283	4	4	mirror	score	n/a	n/a
825.283	8	4	mirror	end_session	n/a	n/a
843.323	8	5	rotation-90	start_session	n/a	n/a
857.331	3.50188681015749	5	rotation-90	erasing	rightward	3
866.857	3.50183168228281	5	rotation-90	erasing	leftward	2
876.384	3.50004882335709	5	rotation-90	erasing	leftward	4
885.893	3.50185660711977	5	rotation-90	erasing	downward	5
895.42	3.50004706395684	5	rotation-90	erasing	upward	5
904.929	3.50001304888523	5	rotation-90	erasing	upward	4
914.44	1.809036455653	5	rotation-90	erasing	rightward	7
923.949	3.501851328919	5	rotation-90	erasing	rightward	4
933.476	3.50188329135698	5	rotation-90	erasing	downward	1
943.003	3.50190176505966	5	rotation-90	erasing	downward	1
952.529	3.50000894361797	5	rotation-90	erasing	rightward	1
962.039	3.50185308831925	5	rotation-90	erasing	upward	1
971.565	3.50004031958919	5	rotation-90	erasing	leftward	1
981.075	3.50000395865058	5	rotation-90	erasing	upward	2
990.585	3.50007404142742	5	rotation-90	erasing	downward	3
1000.095	3.50188123872334	5	rotation-90	erasing	leftward	3
1009.621	2.19072514561236	5	rotation-90	erasing	rightward	7
1029.155	4	5	rotation-90	score	n/a	n/a
1033.155	8	5	rotation-90	end_session	n/a	n/a
1051.195	8	6	rotation+90	start_session	n/a	n/a
1065.204	3.5018378401837	6	rotation+90	erasing	upward	2
1074.729	3.50004559778996	6	rotation+90	erasing	rightward	3
1084.24	3.3192642891891	6	rotation+90	erasing	rightward	7
1093.749	3.50000454511733	6	rotation+90	erasing	leftward	6
1103.259	3.50182523114854	6	rotation+90	erasing	downward	0
1112.785	3.50183461461657	6	rotation+90	erasing	downward	0
1122.312	3.50185044921887	6	rotation+90	erasing	upward	2
1131.838	3.50003943988906	6	rotation+90	erasing	upward	3
1141.348	2.34012579125361	6	rotation+90	erasing	leftward	7
1150.858	3.50185015598549	6	rotation+90	erasing	leftward	3
1160.385	3.501773328841	6	rotation+90	erasing	upward	2
1169.911	3.50001627445236	6	rotation+90	erasing	downward	1
1179.421	3.50001040978485	6	rotation+90	erasing	rightward	3
1188.931	3.50183285521631	6	rotation+90	erasing	downward	2
1198.457	3.50003240228804	6	rotation+90	erasing	leftward	1
1207.967	3.50007873316144	6	rotation+90	erasing	rightward	1
1217.477	3.50004207898945	6	rotation+90	erasing	upward	2
1237.011	4	6	rotation+90	score	n/a	n/a
1241.011	8	6	rotation+90	end_session	n/a	n/a
1259.051	8	7	rotation+90	start_session	n/a	n/a
