onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.015	1.0175	S  4	stimulus
2.467	1.0175	S  4	stimulus
2.6148	n/a	S  1	response
5.0024	1.0175	S  4	stimulus
6.6035	n/a	S  2	response
7.738	1.0175	S  5	stimulus
9.0122	n/a	S  1	response
10.5403	1.0175	S  5	stimulus
11.6496	n/a	S  3	response
12.8588	1.0175	S  5	stimulus
15.1441	1.0175	S  5	stimulus
16.1145	n/a	S  1	response
17.4626	1.0175	S  5	stimulus
18.4332	n/a	S  3	response
22.8003	1.0175	S  4	stimulus
23.8143	n/a	S  1	response
25.1189	1.0175	S  4	stimulus
26.633	n/a	S  3	response
28.0546	1.0175	S  5	stimulus
28.7779	n/a	S  2	response
31.2572	1.0175	S  5	stimulus
32.3966	n/a	S  2	response
33.4423	1.0175	S  4	stimulus
34.309	n/a	S  1	response
36.7617	1.0175	S  4	stimulus
38.1052	n/a	S  1	response
39.3638	1.0175	S  4	stimulus
40.3664	n/a	S  2	response
41.6324	1.0175	S  4	stimulus
43.0138	n/a	S  2	response
43.9176	1.0175	S  4	stimulus
45.9087	n/a	S  3	response
46.7032	1.0175	S  4	stimulus
47.7774	n/a	S  3	response
49.1885	1.0175	S  4	stimulus
50.8486	n/a	S  2	response
54.0925	1.0175	S  5	stimulus
54.9935	n/a	S  1	response
56.6279	1.0175	S  5	stimulus
57.5522	n/a	S  3	response
58.6963	1.0175	S  5	stimulus
59.7521	n/a	S  2	response
60.7646	1.0175	S  5	stimulus
61.7183	n/a	S  3	response
63.5002	1.0175	S  5	stimulus
64.2895	n/a	S  1	response
66.0023	1.0175	S  5	stimulus
66.6857	n/a	S  3	response
68.1707	1.0175	S  5	stimulus
68.9381	n/a	S  3	response
70.4059	1.0175	S  5	stimulus
71.0468	n/a	S  1	response
72.4909	1.0175	S  5	stimulus
72.9768	n/a	S  2	response
77.3449	1.0175	S  4	stimulus
78.3329	n/a	S  3	response
79.6968	1.0175	S  4	stimulus
80.3179	n/a	S  1	response
81.7318	1.0175	S  4	stimulus
83.004	n/a	S  3	response
84.1504	1.0175	S  4	stimulus
85.519	n/a	S  2	response
86.3689	1.0175	S  4	stimulus
87.6165	n/a	S  3	response
88.4539	1.0175	S  4	stimulus
89.2214	n/a	S  1	response
90.6057	1.0175	S  4	stimulus
91.3301	n/a	S  1	response
92.9743	1.0175	S  4	stimulus
93.8238	n/a	S  2	response
95.3095	1.0175	S  4	stimulus
96.4537	n/a	S  3	response
97.7449	1.0175	S  5	stimulus
98.4749	n/a	S  1	response
100.3803	1.0175	S  5	stimulus
101.2523	n/a	S  3	response
102.4987	1.0175	S  5	stimulus
103.051	n/a	S  1	response
104.5504	1.0175	S  5	stimulus
105.1185	n/a	S  3	response
107.0358	n/a	S 10	stimulus
117.044	1.0175	S  5	stimulus
