onset	duration	event_type	trial_type
0	n/a	start_pulse	stimulus
0.0082	3.0191	S  4	stimulus
3.0273	2.0183	S 11	stimulus
5.0457	1.8182	S 12	stimulus
7.0208	n/a	S  1	response
7.6811	1.8181	S 12	stimulus
8.807	n/a	S  2	response
10.9171	1.8182	S 12	stimulus
12.2282	n/a	S  2	response
15.1706	3.0191	S  3	stimulus
18.1897	2.0183	S 11	stimulus
20.208	1.8181	S 12	stimulus
21.1867	n/a	S  1	response
23.2439	1.8182	S 12	stimulus
24.3566	n/a	S  2	response
26.0795	1.8181	S 12	stimulus
27.1691	n/a	S  1	response
29.8326	3.0191	S  4	stimulus
32.8517	2.0183	S 11	stimulus
34.87	1.8182	S 12	stimulus
36.0913	n/a	S  1	response
37.9058	1.8182	S 12	stimulus
39.2712	n/a	S  2	response
41.3587	1.8182	S 12	stimulus
42.8799	n/a	S  2	response
45.1117	3.0191	S  3	stimulus
48.1308	2.0183	S 11	stimulus
50.1492	1.8182	S 12	stimulus
51.4297	n/a	S  2	response
52.9848	1.8181	S 12	stimulus
53.6421	n/a	S  2	response
56.0206	1.8181	S 12	stimulus
56.9983	n/a	S  1	response
59.5735	3.0191	S  4	stimulus
62.5927	2.0183	S 11	stimulus
64.611	1.8182	S 12	stimulus
65.8606	n/a	S  2	response
68.2473	1.8182	S 12	stimulus
69.1092	n/a	S  1	response
71.4833	1.8182	S 12	stimulus
72.4266	n/a	S  1	response
75.3364	3.0191	S  4	stimulus
78.3555	2.0183	S 11	stimulus
80.3738	1.8182	S 12	stimulus
82.3164	n/a	S  1	response
83.4097	1.8181	S 12	stimulus
84.2901	n/a	S  2	response
86.0452	1.8181	S 12	stimulus
88.045	n/a	S  2	response
90.0985	3.0191	S  4	stimulus
93.1176	2.0183	S 11	stimulus
95.1359	1.8182	S 12	stimulus
96.8848	n/a	S  1	response
97.7714	1.8181	S 12	stimulus
99.2922	n/a	S  1	response
100.607	1.8182	S 12	stimulus
101.2022	n/a	S  2	response
104.9606	3.0191	S  4	stimulus
107.9797	2.0183	S 11	stimulus
109.9981	1.8181	S 12	stimulus
111.8744	n/a	S  1	response
113.4342	1.8182	S 12	stimulus
115.458	n/a	S  1	response
116.6702	1.8181	S 12	stimulus
117.4968	n/a	S  2	response
120.7235	3.0025	S  3	stimulus
123.7259	2.0183	S 11	stimulus
125.7442	1.8182	S 12	stimulus
127.0765	n/a	S  2	response
129.3972	1.8182	S 12	stimulus
130.1389	n/a	S  1	response
132.8334	1.8182	S 12	stimulus
134.3551	n/a	S  1	response
136.7866	3.0191	S  3	stimulus
139.8057	2.0183	S 11	stimulus
141.824	1.8182	S 12	stimulus
