onset	duration	trial_type	value	sample	stimulus	is_word	response	correct
52.707	0.0	1Suff PseudoStemNW	14	52707	herfal	0.0	1.0	False
53.749	0.0	1Suff w/o Lat.	12	53749	instinctive	1.0	0.0	False
54.832	0.0	1Suff w/o Lat.	12	54832	dangerous	1.0	0.0	False
55.866	0.0	0Suff NW	4	55866	orn	0.0	1.0	False
57.0	0.0	0Suff NW	4	57000	murpy	0.0	1.0	False
58.225	0.0	1Suff RealStemNW	15	58225	tireable	0.0	1.0	False
59.709	0.0	1Suff RealStemNW	15	59709	modulion	0.0	1.0	False
61.484	0.0	1Suff PseudoStemNW	14	61484	onnention	0.0	1.0	False
63.06	0.0	1Suff w/ Lat.	11	63060	objective	1.0	0.0	False
64.085	0.0	0Suff w/o Lat.	2	64085	create	1.0	0.0	False
65.11	0.0	0Suff w/o Lat.	2	65110	compute	1.0	0.0	False
66.086	0.0	0Suff NW	4	66086	lecer	0.0	1.0	False
67.278	0.0	0Suff w/o Lat.	2	67278	art	1.0	0.0	False
68.436	0.0	0Suff w/o Lat.	2	68436	joy	1.0	0.0	False
69.495	0.0	2Suff w/o Lat.	22	69495	carefully	1.0	0.0	False
70.52	0.0	2Suff w/o Lat.	22	70520	spiritually	1.0	0.0	False
71.487	0.0	0Suff NW	4	71487	podent	0.0	1.0	False
72.596	0.0	0Suff NW	4	72596	slex	0.0	1.0	False
73.83	0.0	0Suff w/o Lat.	2	73830	collect	1.0	0.0	False
74.938	0.0	2Suff PseudoStemNW	24	74938	selvuality	0.0	1.0	False
76.222	0.0	1Suff w/o Lat.	12	76222	measurable	1.0	0.0	False
77.364	0.0	2Suff RealStemNW	25	77364	loneionist	0.0	1.0	False
78.573	0.0	0Suff NW	4	78573	boofty	0.0	1.0	False
79.773	0.0	0Suff w/o Lat.	2	79773	fear	1.0	0.0	False
80.865	0.0	1Suff w/o Lat.	12	80865	abolition	1.0	0.0	False
82.291	0.0	1Suff w/o Lat.	12	82291	industrial	1.0	0.0	False
83.408	0.0	2Suff w/ Lat.	21	83408	perfectionism	1.0	0.0	False
84.767	0.0	1Suff PseudoStemNW	14	84767	allendive	0.0	1.0	False
85.95	0.0	0Suff w/o Lat.	2	85950	prefer	1.0	0.0	False
87.026	0.0	1Suff RealStemNW	15	87026	causic	0.0	1.0	False
88.134	0.0	0Suff NW	4	88134	obwert	0.0	1.0	False
89.176	0.0	2Suff PseudoStemNW	24	89176	pipsonally	0.0	1.0	False
90.352	0.0	2Suff w/o Lat.	22	90352	feverishly	1.0	0.0	False
91.61	0.0	2Suff PseudoStemNW	24	91610	jokfully	0.0	1.0	False
93.011	0.0	2Suff PseudoStemNW	24	93011	booftifully	0.0	1.0	False
94.253	0.0	2Suff PseudoStemNW	24	94253	mocondarily	0.0	1.0	False
95.745	0.0	0Suff NW	4	95745	faice	0.0	1.0	False
97.037	0.0	1Suff PseudoStemNW	14	97037	booftiful	0.0	1.0	False
98.362	0.0	2Suff PseudoStemNW	24	98362	flivitually	0.0	1.0	False
99.479	0.0	0Suff NW	4	99479	jany	0.0	1.0	False
100.605	0.0	2Suff PseudoStemNW	24	100605	mymbolically	0.0	1.0	False
101.747	0.0	2Suff w/o Lat.	22	101747	selectivity	1.0	0.0	False
102.88	0.0	0Suff NW	4	102880	pacic	0.0	1.0	False
104.014	0.0	0Suff NW	4	104014	loke	0.0	1.0	False
105.073	0.0	2Suff w/o Lat.	22	105073	classical	1.0	0.0	False
106.115	0.0	1Suff RealStemNW	15	106115	civilist	0.0	1.0	False
107.415	0.0	2Suff w/o Lat.	22	107415	personalize	1.0	0.0	False
108.949	0.0	0Suff w/o Lat.	2	108949	human	1.0	0.0	False
110.183	0.0	1Suff RealStemNW	15	110183	cyclal	0.0	1.0	False
111.25	0.0	2Suff RealStemNW	25	111250	regionical	0.0	1.0	False
112.7	0.0	2Suff w/o Lat.	22	112700	fruitlessly	1.0	0.0	False
114.501	0.0	2Suff w/ Lat.	21	114501	excessively	1.0	0.0	False
