onset	duration	task-type
 12.1243	6	clj1
 26.3372	6	cookie_l
 38.4544	6	cmj1
 54.6220	6	lli1
 64.2588	6	pipe_s
 80.3620	6	lsi1
 92.5444	6	socks_l
108.6497	6	kli1
120.8659	6	keys_l
130.9866	6	asj1
141.1730	6	ali1
153.3701	6	pipe_m
169.4687	6	kmj1
181.6550	6	csj1
191.8166	6	alj1
207.9993	6	socks_s
220.1175	6	llj1
232.2984	6	lsj1
250.4815	6	kmi1
262.6981	6	keys_m
278.8211	6	ksi1
288.9995	6	ami1
303.1822	6	csi1
321.3449	6	cmi1
335.5468	6	keys_s
349.6641	6	ksj1
361.8791	6	socks_m
372.0005	6	lmj1
390.1810	6	cli1
400.3355	6	cookie_s
416.4406	6	amj1
428.5917	6	lmi1
442.8074	6	cookie_m
456.9342	6	asi1
473.1478	6	klj1
485.3610	6	pipe_l
