onset	duration	task-type
12.0898 	3	rbh
22.2423 	3	spl2
34.3776 	3	csh2
48.5447 	3	ssl
60.7148 	3	ssl2
78.8785 	3	rbh2
93.0466 	3	rsl2
105.2123	3	sbl2
115.3631	3	cbh2
131.4889	3	sph2
141.6226	3	ssh
155.7582	3	csl
167.9270	3	sbl
178.0953	3	cbl
190.2618	3	rpl2
208.4275	3	ssh2
224.5894	3	cbl2
240.7200	3	rph
254.8552	3	spl
269.0050	3	cbh
281.1747	3	sbh2
293.3412	3	rbl2
303.5089	3	rsh
313.6762	3	rsh2
329.8437	3	rpl
345.9920	3	cph
362.1196	3	cph2
374.2519	3	rbl
386.4070	3	csl2
396.5741	3	rph2
406.7420	3	csh
422.9084	3	sbh
437.0736	3	sph
449.2234	3	cpl2
467.3477	3	rsl
479.4862	3	cpl
