onset	duration	task-type
12.0947 	3	csh
28.2640 	3	csh2
44.4313 	3	cbl
58.6003 	3	rbh2
76.7671 	3	sph
90.9139 	3	ssl
105.0386	3	sbl2
121.1773	3	cph
137.3265	3	sbl
149.4942	3	cph2
159.6633	3	cbh
175.8305	3	cpl2
189.9976	3	ssl2
204.1428	3	sbh2
216.2686	3	rbh
226.4047	3	spl2
238.5388	3	csl2
256.7088	3	csl
268.8771	3	rph2
279.0452	3	rph
295.2117	3	rsl2
311.3795	3	rbl2
327.5185	3	rsh
339.6538	3	spl
355.7905	3	ssh2
371.9583	3	rsl
386.1255	3	rbl
396.2915	3	sbh
412.4586	3	cpl
426.6070	3	rpl2
442.7310	3	cbl2
454.8693	3	rsh2
467.0024	3	ssh
481.1720	3	sph2
491.3394	3	cbh2
503.5079	3	rpl
