onset	duration	task-type
12.1069 	3	csh_cs
26.2926 	3	rsl
36.4610 	3	rpl_cs
50.6298 	3	cbl_cs
60.7921 	3	rsh
72.9270 	3	spl_cs
83.0711 	3	csl
95.2049 	3	cph_cs
105.3714	3	ssl
117.5395	3	rbh
127.7052	3	rbh_cs
145.8744	3	rsh_cs
158.0393	3	csl_cs
176.1920	3	sph
186.3352	3	csh
196.4684	3	cbh_cs
208.6178	3	sbh
218.7863	3	cbl
230.9568	3	cpl_cs
249.1258	3	rsl_cs
265.2879	3	cbh
279.4555	3	spl
291.6021	3	sph_cs
301.7528	3	ssh
313.8811	3	sbh_cs
326.0496	3	cpl
336.2176	3	rph_cs
348.3889	3	rbl
364.5535	3	sbl
374.7175	3	rpl
384.8878	3	ssh_cs
395.0392	3	sbl_cs
407.1861	3	rph
417.3281	3	rbl_cs
427.4644	3	ssl_cs
439.6336	3	cph
