onset	duration	task-type
12.0939 	3	rsh
28.2373 	3	rsh2
44.3693 	3	cph2
58.5339 	3	csh
76.7015 	3	rph
90.8669 	3	cpl2
105.0364	3	rpl2
121.2038	3	rpl
137.3526	3	ssh
149.4859	3	cbl2
159.6117	3	csl2
175.7804	3	sbl2
189.9494	3	sph2
204.1156	3	ssh2
216.2799	3	rbl2
226.4319	3	sbh2
238.6019	3	rph2
256.7508	3	ssl
268.8944	3	ssl2
279.0443	3	cpl
295.2125	3	cbh
311.3778	3	rsl
327.5486	3	rsl2
339.7142	3	cbh2
355.8628	3	rbh2
371.9895	3	sph
386.1262	3	sbl
396.2932	3	spl
412.4622	3	rbl
426.6293	3	cph
442.7942	3	cbl
454.9610	3	sbh
467.1094	3	rbh
481.2362	3	csh2
491.3747	3	csl
503.5059	3	spl2
