onset	duration	weight	trial_type
6.07	2	1	NonRewarded
11.67	1.1	1	ButtonPress
15.77	2	1	NonRewarded
23.77	1.1	1	ButtonPress
27.06	2	1	NonRewarded
31.06	1.1	1	ButtonPress
36.76	2	1	NonRewarded
41.83	1.1	1	ButtonPress
48.34	2	1	NonRewarded
53.94	1.1	1	ButtonPress
58.04	2	1	Rewarded
62.84	1.1	1	ButtonPress
68.09	2	1	Rewarded
73.29	1.1	1	ButtonPress
78.39	2	1	Rewarded
85.19	1.1	1	ButtonPress
89.42	2	1	Rewarded
94.35	1.1	1	ButtonPress
100.08	2	1	NonRewarded
107.28	1.1	1	ButtonPress
111.25	2	1	Rewarded
116.45	1	1	ButtonPress
120.28	2	1	Rewarded
124.58	1	1	ButtonPress
129.36	2	1	Rewarded
133.56	1	1	ButtonPress
136.86	2	1	Rewarded
142.66	1	1	ButtonPress
148.65	2	1	NonRewarded
153.58	1	1	ButtonPress
158.25	2	1	Rewarded
162.55	1	1	ButtonPress
166.52	2	1	Rewarded
170.62	1	1	ButtonPress
174.63	2	1	Rewarded
180.23	1	1	ButtonPress
185.42	2	1	NonRewarded
191.82	1	1	ButtonPress
195.42	2	1	Rewarded
203.02	1	1	ButtonPress
207.03	2	1	NonRewarded
211.56	1	1	ButtonPress
217.96	2	1	NonRewarded
225.56	1	1	ButtonPress
229.94	2	1	Rewarded
235.94	1	1	ButtonPress
242.3	2	1	NonRewarded
247.24	1	1	ButtonPress
253.62	2	1	Rewarded
259.42	1.1	1	ButtonPress
264.07	2	1	NonRewarded
270.47	1.1	1	ButtonPress
274.96	2	1	Rewarded
281.76	1.1	1	ButtonPress
285.85	2	1	Rewarded
290.25	1.1	1	ButtonPress
293.83	2	1	NonRewarded
299.83	1.1	1	ButtonPress
303.52	2	1	Rewarded
308.32	1.1	1	ButtonPress
315.22	2	1	NonRewarded
320.42	1.1	1	ButtonPress
324.26	2	1	NonRewarded
331.46	1.1	1	ButtonPress
334.85	2	1	Rewarded
339.91	1.1	1	ButtonPress
345.19	2	1	Rewarded
351.39	1	1	ButtonPress
354.97	2	1	Rewarded
360.57	1	1	ButtonPress
367.76	2	1	Rewarded
371.76	1	1	ButtonPress
375.14	2	1	Rewarded
379.34	1	1	ButtonPress
386.14	2	1	NonRewarded
390.67	1	1	ButtonPress
395.48	2	1	Rewarded
399.58	1.1	1	ButtonPress
405.66	2	1	Rewarded
410.33	1.1	1	ButtonPress
414.83	2	1	Rewarded
419.5	1.1	1	ButtonPress
423.67	2	1	NonRewarded
428.47	1.1	1	ButtonPress
433.98	2	1	Rewarded
440.78	1.1	1	ButtonPress
444.36	2	1	Rewarded
451.16	1.1	1	ButtonPress
455.57	2	1	NonRewarded
461.17	1.1	1	ButtonPress
466.66	2	1	NonRewarded
474.66	1.1	1	ButtonPress
479.78	2	1	Rewarded
484.18	1.1	1	ButtonPress
490.3	2	1	NonRewarded
496.5	1	1	ButtonPress
500.89	2	1	NonRewarded
506.89	1	1	ButtonPress
513.35	2	1	Rewarded
520.55	1	1	ButtonPress
525.2	2	1	Rewarded
529.74	1	1	ButtonPress
533.54	2	1	Rewarded
538.34	1	1	ButtonPress
543.38	2	1	NonRewarded
550.98	1.1	1	ButtonPress
555.48	2	1	Rewarded
560.81	1.1	1	ButtonPress
564.41	2	1	NonRewarded
571.61	1.1	1	ButtonPress
578.51	2	1	Rewarded
584.91	1.1	1	ButtonPress
588.41	2	1	NonRewarded
592.81	1.1	1	ButtonPress
597.32	2	1	Rewarded
602.52	1.1	1	ButtonPress
606.9	2	1	NonRewarded
612.36	1.1	1	ButtonPress
616.84	2	1	NonRewarded
622.04	1.1	1	ButtonPress
625.87	2	1	Rewarded
630.27	1.1	1	ButtonPress
635.13	2	1	Rewarded
640.33	1.1	1	ButtonPress
645.59	2	1	Rewarded
651.39	1	1	ButtonPress
656.18	2	1	NonRewarded
662.18	1	1	ButtonPress
669.39	2	1	Rewarded
674.06	1	1	ButtonPress
680.09	2	1	NonRewarded
684.75	1	1	ButtonPress
690.77	2	1	NonRewarded
695.07	1	1	ButtonPress
700.06	2	1	NonRewarded
705.66	1	1	ButtonPress
709.54	2	1	NonRewarded
713.94	1	1	ButtonPress
718.74	2	1	Rewarded
723.81	1.1	1	ButtonPress
727.79	2	1	NonRewarded
732.59	1.1	1	ButtonPress
736.42	2	1	NonRewarded
741.89	1	1	ButtonPress
745.89	2	1	NonRewarded
751.09	1	1	ButtonPress
755.36	2	1	NonRewarded
760.16	1	1	ButtonPress
764.69	2	1	NonRewarded
771.09	1	1	ButtonPress
775.36	2	1	Rewarded
782.56	1	1	ButtonPress
786.14	2	1	NonRewarded
791.48	1	1	ButtonPress
795.62	2	1	NonRewarded
802.42	1	1	ButtonPress
807.08	2	1	NonRewarded
811.48	1	1	ButtonPress
817.07	2	1	NonRewarded
821.87	1	1	ButtonPress
