onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
26.53	n/a	13265	seqLearning_start	91	n/a	n/a	8
32.788	n/a	16394	learningBlock_1	31	n/a	n/a	8
32.812	n/a	16406	dot_no1_ON	11	n/a	n/a	8
33.4	n/a	16700	dot_no1_OFF	21	n/a	n/a	8
34.72	n/a	17360	dot_no6_ON	16	n/a	n/a	8
35.3	n/a	17650	dot_no6_OFF	26	n/a	n/a	8
36.62	n/a	18310	dot_no4_ON	14	n/a	n/a	8
37.21	n/a	18605	dot_no4_OFF	24	n/a	n/a	8
38.53	n/a	19265	dot_no2_ON	12	n/a	n/a	8
39.12	n/a	19560	dot_no2_OFF	22	n/a	n/a	8
40.44	n/a	20220	dot_no7_ON	17	n/a	n/a	8
41.03	n/a	20515	dot_no7_OFF	27	n/a	n/a	8
42.35	n/a	21175	dot_no3_ON	13	n/a	n/a	8
42.94	n/a	21470	dot_no3_OFF	23	n/a	n/a	8
44.26	n/a	22130	dot_no8_ON	18	n/a	n/a	8
44.85	n/a	22425	dot_no8_OFF	28	n/a	n/a	8
46.17	n/a	23085	dot_no5_ON	15	n/a	n/a	8
46.75	n/a	23375	dot_no5_OFF	25	n/a	n/a	8
48.07	n/a	24035	dot_no2_ON	12	n/a	n/a	8
48.66	n/a	24330	dot_no2_OFF	22	n/a	n/a	8
49.98	n/a	24990	dot_no7_ON	17	n/a	n/a	8
50.56	n/a	25280	dot_no7_OFF	27	1-6-4-3-5-2-7-3-8-5	1-6-4-2-7-3-8-5-2-7	8
109.264	n/a	54632	learningBlock_2	32	n/a	n/a	8
109.272	n/a	54636	dot_no1_ON	11	n/a	n/a	8
109.862	n/a	54931	dot_no1_OFF	21	n/a	n/a	8
111.182	n/a	55591	dot_no6_ON	16	n/a	n/a	8
111.762	n/a	55881	dot_no6_OFF	26	n/a	n/a	8
113.082	n/a	56541	dot_no4_ON	14	n/a	n/a	8
113.662	n/a	56831	dot_no4_OFF	24	n/a	n/a	8
114.982	n/a	57491	dot_no2_ON	12	n/a	n/a	8
115.562	n/a	57781	dot_no2_OFF	22	n/a	n/a	8
116.884	n/a	58442	dot_no7_ON	17	n/a	n/a	8
117.472	n/a	58736	dot_no7_OFF	27	n/a	n/a	8
118.794	n/a	59397	dot_no3_ON	13	n/a	n/a	8
119.372	n/a	59686	dot_no3_OFF	23	n/a	n/a	8
120.694	n/a	60347	dot_no8_ON	18	n/a	n/a	8
121.272	n/a	60636	dot_no8_OFF	28	n/a	n/a	8
122.594	n/a	61297	dot_no5_ON	15	n/a	n/a	8
123.172	n/a	61586	dot_no5_OFF	25	n/a	n/a	8
124.494	n/a	62247	dot_no2_ON	12	n/a	n/a	8
125.072	n/a	62536	dot_no2_OFF	22	n/a	n/a	8
126.394	n/a	63197	dot_no7_ON	17	n/a	n/a	8
126.972	n/a	63486	dot_no7_OFF	27	1-6-4-7-2-3-8-7-3-5	1-6-4-2-7-3-8-5-2-7	8
166.176	n/a	83088	learningBlock_3	33	n/a	n/a	8
166.184	n/a	83092	dot_no1_ON	11	n/a	n/a	8
166.774	n/a	83387	dot_no1_OFF	21	n/a	n/a	8
168.094	n/a	84047	dot_no6_ON	16	n/a	n/a	8
168.684	n/a	84342	dot_no6_OFF	26	n/a	n/a	8
170.004	n/a	85002	dot_no4_ON	14	n/a	n/a	8
170.584	n/a	85292	dot_no4_OFF	24	n/a	n/a	8
171.904	n/a	85952	dot_no2_ON	12	n/a	n/a	8
172.484	n/a	86242	dot_no2_OFF	22	n/a	n/a	8
173.804	n/a	86902	dot_no7_ON	17	n/a	n/a	8
174.394	n/a	87197	dot_no7_OFF	27	n/a	n/a	8
175.714	n/a	87857	dot_no3_ON	13	n/a	n/a	8
176.294	n/a	88147	dot_no3_OFF	23	n/a	n/a	8
177.616	n/a	88808	dot_no8_ON	18	n/a	n/a	8
178.194	n/a	89097	dot_no8_OFF	28	n/a	n/a	8
179.516	n/a	89758	dot_no5_ON	15	n/a	n/a	8
180.104	n/a	90052	dot_no5_OFF	25	n/a	n/a	8
181.426	n/a	90713	dot_no2_ON	12	n/a	n/a	8
182.004	n/a	91002	dot_no2_OFF	22	n/a	n/a	8
183.326	n/a	91663	dot_no7_ON	17	n/a	n/a	8
183.914	n/a	91957	dot_no7_OFF	27	1-6-4-2-3-7-8-5-1-2	1-6-4-2-7-3-8-5-2-7	8
223.158	n/a	111579	learningBlock_4	34	n/a	n/a	8
223.166	n/a	111583	dot_no1_ON	11	n/a	n/a	8
223.746	n/a	111873	dot_no1_OFF	21	n/a	n/a	8
225.066	n/a	112533	dot_no6_ON	16	n/a	n/a	8
225.646	n/a	112823	dot_no6_OFF	26	n/a	n/a	8
226.966	n/a	113483	dot_no4_ON	14	n/a	n/a	8
227.546	n/a	113773	dot_no4_OFF	24	n/a	n/a	8
228.866	n/a	114433	dot_no2_ON	12	n/a	n/a	8
229.446	n/a	114723	dot_no2_OFF	22	n/a	n/a	8
230.766	n/a	115383	dot_no7_ON	17	n/a	n/a	8
231.346	n/a	115673	dot_no7_OFF	27	n/a	n/a	8
232.666	n/a	116333	dot_no3_ON	13	n/a	n/a	8
233.246	n/a	116623	dot_no3_OFF	23	n/a	n/a	8
234.566	n/a	117283	dot_no8_ON	18	n/a	n/a	8
235.146	n/a	117573	dot_no8_OFF	28	n/a	n/a	8
236.468	n/a	118234	dot_no5_ON	15	n/a	n/a	8
237.046	n/a	118523	dot_no5_OFF	25	n/a	n/a	8
238.366	n/a	119183	dot_no2_ON	12	n/a	n/a	8
238.946	n/a	119473	dot_no2_OFF	22	n/a	n/a	8
240.268	n/a	120134	dot_no7_ON	17	n/a	n/a	8
240.856	n/a	120428	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-4	1-6-4-2-7-3-8-5-2-7	8
281.01	n/a	140505	learningBlock_5	35	n/a	n/a	8
281.018	n/a	140509	dot_no1_ON	11	n/a	n/a	8
281.608	n/a	140804	dot_no1_OFF	21	n/a	n/a	8
282.928	n/a	141464	dot_no6_ON	16	n/a	n/a	8
283.518	n/a	141759	dot_no6_OFF	26	n/a	n/a	8
284.838	n/a	142419	dot_no4_ON	14	n/a	n/a	8
285.418	n/a	142709	dot_no4_OFF	24	n/a	n/a	8
286.738	n/a	143369	dot_no2_ON	12	n/a	n/a	8
287.318	n/a	143659	dot_no2_OFF	22	n/a	n/a	8
288.638	n/a	144319	dot_no7_ON	17	n/a	n/a	8
289.218	n/a	144609	dot_no7_OFF	27	n/a	n/a	8
290.538	n/a	145269	dot_no3_ON	13	n/a	n/a	8
291.118	n/a	145559	dot_no3_OFF	23	n/a	n/a	8
292.438	n/a	146219	dot_no8_ON	18	n/a	n/a	8
293.018	n/a	146509	dot_no8_OFF	28	n/a	n/a	8
294.34	n/a	147170	dot_no5_ON	15	n/a	n/a	8
294.928	n/a	147464	dot_no5_OFF	25	n/a	n/a	8
296.248	n/a	148124	dot_no2_ON	12	n/a	n/a	8
296.828	n/a	148414	dot_no2_OFF	22	n/a	n/a	8
298.15	n/a	149075	dot_no7_ON	17	n/a	n/a	8
298.738	n/a	149369	dot_no7_OFF	27	7-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
326.452	n/a	163226	seqLearning_stop	50	n/a	n/a	8
327.727	n/a	163863.5	boundary	boundary	n/a	n/a	8
