onset	duration	sample	trial_type	response_time	stim_file	value
1331.8160000000	n/a	n/a	STATUS	n/a	n/a	S 98
1333.0720000000	n/a	n/a	STATUS	n/a	n/a	S 98
1333.3180000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1333.4980000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1334.6660000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1334.7460000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1335.7880000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1336.2140000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1336.6200000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1337.3860000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1338.2620000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1338.4840000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
1338.6960000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1339.8280000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1340.7800000000	n/a	n/a	STATUS	n/a	n/a	S 98
1342.4620000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1342.5860000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1342.7180000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1346.3360000000	n/a	n/a	COLLECT_AMMO	n/a	n/a	S 94
1347.2560000000	n/a	n/a	STATUS	n/a	n/a	S 98
1349.2480000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1350.4260000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1350.4480000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1352.8020000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1352.9120000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1355.3100000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1355.3780000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1356.1160000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1356.9300000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1357.3140000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1357.3700000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1358.4280000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1359.0300000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1359.0540000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1360.3520000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1360.3740000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1361.6440000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1362.2860000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1362.7820000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1363.1740000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1363.5760000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1363.7680000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
1365.5320000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1366.5880000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1366.9460000000	n/a	n/a	PLAYER_CRASH_ENEMY	n/a	n/a	S 92
1367.9480000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1368.0160000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1368.0940000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1368.3740000000	n/a	n/a	COLLECT_AMMO	n/a	n/a	S 94
1369.8680000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1371.5120000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1373.6480000000	n/a	n/a	COLLECT_AMMO	n/a	n/a	S 94
1374.2640000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.2860000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
1374.3100000000	n/a	n/a	MISSILE_HIT_ENEMY	n/a	n/a	S 97
1374.4340000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.4560000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.4780000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.5000000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.5240000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1374.8940000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1375.4440000000	n/a	n/a	PLAYER_CRASH_WALL	n/a	n/a	S 91
1376.6660000000	n/a	n/a	COLLECT_STAR	n/a	n/a	S 93
1378.4840000000	n/a	n/a	SHOOT_BUTTON	n/a	n/a	S 90
