onset	duration	response_time	response
39.671	0	5.529999999999993	SDep
95.153	0	2.9229999999999947	SDep
156.659	0	3.7890000000000037	SInd
221.319	0	2.718000000000021	SInd
276.46	0	2.7869999999999586	SDep
343.388	0	3.1530000000000316	Sens
411.357	0	3.6599999999999757	SDep
472.859	0	4.439000000000022	SDep
536.95	0	3.2360000000000717	SDep
599.489	0	3.232999999999959	SInd
661.731	0	4.154000000000048	SDep
726.283	0	3.725000000000091	SDep
784.583	0	4.4759999999999875	SDep
858.47	0	4.0829999999999975	SDep
919.484	0	4.071000000000009	Sens
983.91	0	3.3070000000000075	SDep
1049.021	0	3.130000000000168	SDep
1110.399	0	3.5640000000000054	SDep
1170.462	0	3.3729999999999474	SDep
1227.204	0	5.542000000000062	Abs
1279.358	0	3.4839999999998463	SDep
1334.705	0	3.5989999999999736	Sens
1399.927	0	3.448000000000111	SDep
1469.042	0	2.773000000000029	SDep
1525.468	0	3.2630000000000474	Sens
1591.596	0	3.4520000000001074	Sens
1659.024	0	2.6120000000001755	SDep
1711.886	0	5.135999999999967	SInd
1768.391	0	3.5160000000000493	Sens
1834.494	0	2.8689999999999416	SDep
1891.923	0	3.237999999999838	SInd
1955.537	0	3.0739999999999874	SInd
2021.054	0	4.307000000000025	Abs
2074.062	0	3.961000000000108	SDep
2143.154	0	3.2119999999998616	Sens
2206.931	0	6.130999999999758	Sens
2276.863	0	3.3679999999997197	SDep
2331.781	0	5.060000000000036	SDep
2394.273	0	6.273000000000093	Abs
2444.892	0	6.3210000000000495	Sens
2501.484	0	5.647999999999965	Sens
2566.831	0	3.2730000000000383	SDep
2621.998	0	4.245000000000082	SInd
2692.095	0	2.6680000000003563	SDep
2749.081	0	6.051999999999598	Sens
2813.988	0	3.9960000000000764	SDep
2876.708	0	3.3739999999997146	SInd
2932.593	0	3.9530000000003476	Sens
2985.957	0	4.376999999999962	SDep
3048.733	0	3.9729999999998653	SDep
