onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
28.036400493539983	2.0	BASELINE	0.757228011279949	StimuliTable-1776-Mapping-Run6.xlsx	83	tananyag	iskolai	10	4	2	1192	8	3	3	5542	7	4	3	3.9	5.65	4.85	6.9	1.0
40.0490098265509	2.0	BASELINE	1.0961113602897967	StimuliTable-1776-Mapping-Run6.xlsx	18	csomagolás	ízléses	10	1	2	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
50.05253133121733	2.0	DISTANT	1.772491536270536	StimuliTable-1776-Mapping-Run6.xlsx	95	végállomás	belvárosi	8	3	2	893	10	4	4	2263	9	4	7	2.1	5.7	5.7	6.1	0.709046066
62.06614680842176	2.0	BASELINE	1.5671863797542755	StimuliTable-1776-Mapping-Run6.xlsx	96	ventilátor	masszív	10	2	2	1165	10	4	3	982	7	2	2	1.6	4.5	5.6	5.5	1.0
74.0657387667452	2.0	BASELINE	1.3434435284943902	StimuliTable-1776-Mapping-Run6.xlsx	17	csillagász	figyelmes	10	2	2	606	10	3	4	1273	9	3	8	1.9	4.4	4.85	5.8	1.0
82.06614424695726	2.0	CLOSE	1.3751583306730026	StimuliTable-1776-Mapping-Run6.xlsx	43	kolbász	méternyi	6	1	2	867	7	2	2	324	8	3	1	2.75	5.95	6.65	5.85	0.762132525
92.0656514207294	2.0	CLOSE	1.175428719121555	StimuliTable-1776-Mapping-Run6.xlsx	54	menetrend	változatlan	8	4	2	4833	9	3	2	3262	11	4	2	1.8	6.25	4.95	7.0	0.812076867
104.06625541461835	2.0	DISTANT	1.3351702466097777	StimuliTable-1776-Mapping-Run6.xlsx	65	olimpikon	bravúros	10	3	2	644	9	4	2	461	8	3	2	2.9	5.15	5.5	6.5	0.613806427
116.0658647909222	2.0	BASELINE	1.4234212334849872	StimuliTable-1776-Mapping-Run6.xlsx	16	csengőhang	többféle	10	1	2	2279	10	3	1	2956	8	3	1	2.25	4.55	3.55	5.8	1.0
128.06547263034008	2.0	BASELINE	0.9670579990342958	StimuliTable-1776-Mapping-Run6.xlsx	38	kerékpár	elektromos	10	4	2	3466	8	3	3	4185	10	4	2	1.75	6.55	6.7	6.95	1.0
136.08187780112348	2.0	CLOSE	0.9827695245912764	StimuliTable-1776-Mapping-Run6.xlsx	56	monitor	érintős	6	4	2	3644	7	3	3	784	7	3	3	1.5	6.55	6.45	6.45	0.8547784690000001
144.08229685710103	2.0	DISTANT	1.702562978149217	StimuliTable-1776-Mapping-Run6.xlsx	14	boríték	lakossági	6	2	2	1364	7	3	3	6638	9	4	7	1.5	3.15	3.85	3.5	0.602748156
152.08169388779788	2.0	BASELINE	1.3827761331704096	StimuliTable-1776-Mapping-Run6.xlsx	53	mellény	sportos	6	1	2	909	7	2	5	700	7	2	7	1.45	5.9	6.0	6.0	1.0
162.08221002337814	2.0	DISTANT	1.0545341421748162	StimuliTable-1776-Mapping-Run6.xlsx	45	kolostor	puritán	8	4	2	1099	8	3	4	301	7	3	1	3.35	5.3	4.6	5.05	0.734071612
174.0818196558248	2.0	DISTANT	1.5507586680687382	StimuliTable-1776-Mapping-Run6.xlsx	21	díszlet	kulturális	10	3	2	1420	7	2	3	24926	10	4	1	1.65	4.6	4.1	4.5	0.683287978
186.08242672347117	2.0	CLOSE	1.206546187211643	StimuliTable-1776-Mapping-Run6.xlsx	55	mikrofon	távközlési	10	4	2	1847	8	3	1	3781	10	4	8	1.75	3.85	3.55	4.2	0.7811700109999999
194.0818511618636	2.0	DISTANT	0.8227744118703413	StimuliTable-1776-Mapping-Run6.xlsx	63	napsütés	hosszas	6	4	2	3340	8	3	2	1776	7	2	7	2.9	5.35	6.4	6.35	0.72304523
204.08234373194864	2.0	CLOSE	1.0625394946182496	StimuliTable-1776-Mapping-Run6.xlsx	66	oroszlán	csendes	8	4	2	1351	8	3	3	2305	7	2	7	2.15	5.45	5.7	6.3	0.851599276
214.0818232418751	2.0	CLOSE	1.1107145391142694	StimuliTable-1776-Mapping-Run6.xlsx	26	fejfájás	borzalmas	8	4	2	1351	8	3	4	1061	9	3	6	5.8	5.95	6.0	6.75	0.831396163
224.0813639708649	2.0	BASELINE	1.57474245090998	StimuliTable-1776-Mapping-Run6.xlsx	95	végállomás	ideiglenes	8	4	2	893	10	4	4	4073	10	5	1	2.95	4.15	3.65	4.7	1.0
234.08186089544324	2.0	CLOSE	1.262787547071639	StimuliTable-1776-Mapping-Run6.xlsx	39	készpénz	szerény	8	4	2	3600	8	2	3	3344	7	2	5	3.2	3.75	4.05	2.25	0.885355115
244.0823539778139	2.0	CLOSE	1.3425098738152883	StimuliTable-1776-Mapping-Run6.xlsx	67	osztályzat	átlagos	8	3	2	1028	10	3	3	10804	7	3	7	3.35	5.85	5.35	6.5	0.816440403
254.08186038315037	2.0	BASELINE	1.1748021843159222	StimuliTable-1776-Mapping-Run6.xlsx	79	szerszám	trükkös	8	2	2	812	8	2	4	689	7	2	7	1.7	3.15	3.55	4.15	1.0
266.0814838475126	2.0	BASELINE	1.0625177221445483	StimuliTable-1776-Mapping-Run6.xlsx	57	műalkotás	korabeli	10	4	2	784	9	4	1	2056	8	4	3	2.0	5.45	4.75	6.2	1.0
274.0818798502951	2.0	DISTANT	1.4468076822449802	StimuliTable-1776-Mapping-Run6.xlsx	78	szemüveg	elsődleges	6	2	2	1594	8	3	4	6398	10	4	1	2.3	4.25	3.75	3.75	0.657139182
284.0813870240672	2.0	CLOSE	1.4144847878342262	StimuliTable-1776-Mapping-Run6.xlsx	93	útmutatás	szellemi	8	2	2	703	9	4	2	6915	8	3	7	3.0	2.9	2.85	5.0	0.7834023237000001
292.0817884059288	2.0	CLOSE	1.1507753688274531	StimuliTable-1776-Mapping-Run6.xlsx	59	műemlék	őshonos	6	2	2	1457	7	3	1	766	7	3	1	2.2	4.0	3.75	4.0	0.769399345
304.0814011121329	2.0	DISTANT	1.4305464659046263	StimuliTable-1776-Mapping-Run6.xlsx	41	királynő	példátlan	10	2	2	2060	8	3	2	2102	9	3	1	2.55	4.55	4.6	5.3	0.661574185
316.08100895155803	2.0	DISTANT	1.3107853380570305	StimuliTable-1776-Mapping-Run6.xlsx	28	gorilla	önzetlen	10	2	2	659	7	3	2	338	8	3	1	2.25	4.35	3.65	4.75	0.626140475
324.0814244214853	2.0	CLOSE	0.9425370765893604	StimuliTable-1776-Mapping-Run6.xlsx	14	boríték	szavazási	6	4	2	1364	7	3	3	407	9	4	7	3.5	6.65	6.65	6.85	0.75406909
332.084819901982	2.0	CLOSE	0.8830193444518954	StimuliTable-1776-Mapping-Run6.xlsx	29	hangszer	könnyűzenei	6	4	2	1828	8	2	3	420	11	5	1	2.1	6.1	6.2	6.25	0.7948508259999999
340.09722278076515	2.0	BASELINE	0.8061312808131333	StimuliTable-1776-Mapping-Run6.xlsx	15	csecsemő	egészséges	6	4	2	2039	8	3	2	7076	10	4	8	2.6	6.5	6.55	6.6	1.0
348.0976321031703	2.0	BASELINE	1.2058676546366769	StimuliTable-1776-Mapping-Run6.xlsx	31	helyezés	végleges	6	4	2	5834	8	3	4	7802	8	3	3	2.95	4.45	3.65	5.2	1.0
356.1140488005549	2.0	CLOSE	1.6934159799202462	StimuliTable-1776-Mapping-Run6.xlsx	92	útlezárás	félpályás	6	4	2	1291	9	4	3	1206	9	3	2	2.95	6.3	6.3	6.3	0.78665024
366.11454085833975	2.0	DISTANT	1.829208560528059	StimuliTable-1776-Mapping-Run6.xlsx	81	szőnyeg	templomi	8	3	2	1303	7	2	1	410	8	3	8	1.9	6.4	6.05	6.5	0.613664091
374.1139647844393	2.0	DISTANT	1.7654426355584292	StimuliTable-1776-Mapping-Run6.xlsx	26	fejfájás	sérüléses	6	1	2	1351	8	3	4	330	9	4	6	4.75	5.5	5.3	5.6	0.629661381
