onset	duration	trial_type	response_time	stim_list	itemno	noun	adjective	jitter	response	counterbalance	noun_freq	noun_char	noun_syll	noun_phon	adj_freq	adj_char	adj_syll	adj_phon	arousal	concreteness	imageability	meaningfulness	cosine
482.2634051167333	2.0	DISTANT	1.2785766850647633	StimuliTable-1776-Mapping-Run1.xlsx	38	kerékpár	hardveres	6	1	2	3466	8	3	3	1550	9	3	5	1.65	2.65	1.5	2.4	0.6436905860000001
494.2670488033691	2.0	DISTANT	1.315064268485003	StimuliTable-1776-Mapping-Run1.xlsx	14	boríték	lakossági	10	1	2	1364	7	3	3	6638	9	4	7	1.5	3.15	3.85	3.5	0.602748156
504.28154644976894	2.0	BASELINE	0.9166888020117768	StimuliTable-1776-Mapping-Run1.xlsx	88	törmelék	építkezési	8	4	2	730	8	3	1	395	10	5	7	1.9	6.55	6.8	6.4	1.0
512.296963150482	2.0	BASELINE	1.868922567628033	StimuliTable-1776-Mapping-Run1.xlsx	76	szakadék	iszonyatos	6	2	2	1478	8	3	4	452	10	4	6	5.1	4.75	5.85	5.65	1.0
522.3134572041599	2.0	CLOSE	1.4125967305953964	StimuliTable-1776-Mapping-Run1.xlsx	94	vacsora	meghívásos	8	1	2	2517	7	3	1	352	10	4	5	2.1	5.8	4.1	6.45	0.7889098529999999
532.3139766696477	2.0	BASELINE	1.2043095143380924	StimuliTable-1776-Mapping-Run1.xlsx	95	végállomás	ideiglenes	8	4	2	893	10	4	4	4073	10	5	1	2.95	4.15	3.65	4.7	1.0
542.3304753339689	2.0	CLOSE	1.3879264746283295	StimuliTable-1776-Mapping-Run1.xlsx	39	készpénz	szerény	8	4	2	3600	8	2	3	3344	7	2	5	3.2	3.75	4.05	2.25	0.885355115
550.3298943932823	2.0	CLOSE	1.2836424981214805	StimuliTable-1776-Mapping-Run1.xlsx	56	monitor	érintős	6	4	2	3644	7	3	3	784	7	3	3	1.5	6.55	6.45	6.45	0.8547784690000001
560.3303646786007	2.0	DISTANT	1.5879291385572287	StimuliTable-1776-Mapping-Run1.xlsx	68	ösztöndíj	partnerségi	8	2	2	2344	9	3	1	465	11	4	3	2.05	4.7	2.1	4.3	0.680144787
572.3299968519568	2.0	BASELINE	1.7475933097521192	StimuliTable-1776-Mapping-Run1.xlsx	40	kesztyű	férfias	10	1	2	891	7	2	1	506	7	3	6	1.7	5.45	4.85	5.4	1.0
584.3296011053244	2.0	DISTANT	1.8518921427821624	StimuliTable-1776-Mapping-Run1.xlsx	78	szemüveg	elsődleges	10	2	2	1594	8	3	4	6398	10	4	1	2.3	4.25	3.75	3.75	0.657139182
592.3300078662651	2.0	BASELINE	1.0116756783318124	StimuliTable-1776-Mapping-Run1.xlsx	51	magazin	tudományos	6	4	2	7307	7	3	2	11632	10	4	5	1.8	6.3	6.45	6.15	1.0
604.3296187794476	2.0	CLOSE	1.5239324254289386	StimuliTable-1776-Mapping-Run1.xlsx	13	bölcsőde	környékbeli	10	2	2	1219	8	3	1	1283	11	4	2	1.5	6.15	6.3	6.45	0.7846326231999999
612.3300247719453	2.0	DISTANT	1.8436137379612771	StimuliTable-1776-Mapping-Run1.xlsx	65	olimpikon	bravúros	6	3	2	644	9	4	2	461	8	3	2	2.9	5.15	5.5	6.5	0.613806427
624.3296333798062	2.0	DISTANT	1.7238772002092446	StimuliTable-1776-Mapping-Run1.xlsx	93	útmutatás	lelkiismereti	10	2	2	703	9	4	2	476	13	6	6	3.5	3.7	2.5	5.05	0.6710424423
634.330139525664	2.0	BASELINE	1.811609490032424	StimuliTable-1776-Mapping-Run1.xlsx	43	kolbász	tonnányi	8	3	2	867	7	2	2	533	8	3	1	2.6	6.05	5.95	6.15	1.0
646.3457644736336	2.0	BASELINE	1.7152576080043218	StimuliTable-1776-Mapping-Run1.xlsx	18	csomagolás	ízléses	10	2	2	1577	10	4	4	472	7	3	7	1.35	5.8	6.1	6.05	1.0
