onset	duration	trial	value	instruction
5763	8	1	1	rest
13698	7	1	2	task
20719	5	1	3	interval
25735	8	2	1	rest
33692	7	2	2	task
40699	5	2	3	interval
45740	8	3	1	rest
53703	7	3	2	task
60692	5	3	3	interval
65745	8	4	1	rest
73699	7	4	2	task
80693	5	4	3	interval
85741	8	5	1	rest
93695	7	5	2	task
100736	5	5	3	interval
105749	8	6	1	rest
113698	7	6	2	task
120704	5	6	3	interval
125751	8	7	1	rest
133705	7	7	2	task
140700	5	7	3	interval
145747	8	8	1	rest
153700	7	8	2	task
160705	5	8	3	interval
165754	8	9	1	rest
173708	7	9	2	task
180708	5	9	3	interval
185757	8	10	1	rest
193734	7	10	2	task
200716	5	10	3	interval
205760	8	11	1	rest
213740	7	11	2	task
220712	5	11	3	interval
225756	8	12	1	rest
233716	7	12	2	task
240716	5	12	3	interval
245756	8	13	1	rest
253745	7	13	2	task
260722	5	13	3	interval
265767	8	14	1	rest
273722	7	14	2	task
280746	5	14	3	interval
285770	8	15	1	rest
293725	7	15	2	task
300723	5	15	3	interval
305762	8	16	1	rest
313738	7	16	2	task
320720	5	16	3	interval
325773	8	17	1	rest
333728	7	17	2	task
340734	5	17	3	interval
345774	8	18	1	rest
353764	7	18	2	task
360729	5	18	3	interval
365794	8	19	1	rest
373754	7	19	2	task
380728	5	19	3	interval
385778	8	20	1	rest
393740	7	20	2	task
400734	5	20	3	interval
