onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	1	43	narrative	R
19	8	clip	1	43	narrative	R
32	11	instruction	0	145	control	control
43	8	clip	0	145	control	control
56	11	instruction	1	141	control	control
67	8	clip	1	141	control	control
80	7	instruction	1	39	narrative	X
87	8	clip	1	39	narrative	X
100	7	instruction	0	51	narrative	R
107	8	clip	0	51	narrative	R
120	11	instruction	1	66	narrative	R
131	8	clip	1	66	narrative	R
144	7	instruction	1	42	narrative	F
151	8	clip	1	42	narrative	F
164	7	instruction	1	40	narrative	R
171	8	clip	1	40	narrative	R
184	7	instruction	1	41	narrative	R
191	8	clip	1	41	narrative	R
204	9	instruction	1	56	narrative	R
213	8	clip	1	56	narrative	R
226	11	instruction	1	142	control	control
237	8	clip	1	142	control	control
250	9	instruction	1	58	narrative	R
259	8	clip	1	58	narrative	R
272	7	instruction	0	55	narrative	F
279	8	clip	0	55	narrative	F
292	7	instruction	0	52	narrative	R
299	8	clip	0	52	narrative	R
312	7	instruction	1	44	narrative	F
319	8	clip	1	44	narrative	F
332	9	instruction	0	64	narrative	F
341	8	clip	0	64	narrative	F
354	7	instruction	0	49	narrative	F
361	8	clip	0	49	narrative	F
374	11	instruction	1	68	narrative	F
385	8	clip	1	68	narrative	F
398	11	instruction	1	67	narrative	R
409	8	clip	1	67	narrative	R
422	7	instruction	1	37	narrative	X
429	8	clip	1	37	narrative	X
442	9	instruction	0	65	narrative	F
451	8	clip	0	65	narrative	F
464	7	instruction	1	45	narrative	R
471	8	clip	1	45	narrative	R
484	11	instruction	0	144	control	control
495	8	clip	0	144	control	control
508	9	instruction	0	63	narrative	F
517	8	clip	0	63	narrative	F
530	7	instruction	0	46	narrative	R
537	8	clip	0	46	narrative	R
550	11	instruction	0	69	narrative	F
561	8	clip	0	69	narrative	F
574	7	instruction	0	50	narrative	F
581	8	clip	0	50	narrative	F
594	11	instruction	0	143	control	control
605	8	clip	0	143	control	control
618	7	instruction	0	48	narrative	R
625	8	clip	0	48	narrative	R
638	9	instruction	1	57	narrative	F
647	8	clip	1	57	narrative	F
660	7	instruction	0	47	narrative	F
667	8	clip	0	47	narrative	F
680	7	instruction	0	54	narrative	R
687	8	clip	0	54	narrative	R
700	7	instruction	0	53	narrative	F
707	8	clip	0	53	narrative	F
720	7	instruction	1	38	narrative	F
727	8	clip	1	38	narrative	F
740	11	instruction	0	70	narrative	F
751	8	clip	0	70	narrative	F
764	9	instruction	1	60	narrative	R
773	8	clip	1	60	narrative	R
786	9	instruction	1	59	narrative	F
795	8	clip	1	59	narrative	F
808	9	instruction	0	61	narrative	R
817	8	clip	0	61	narrative	R
830	9	instruction	0	62	narrative	R
839	8	clip	0	62	narrative	R
852	7	instruction	1	36	narrative	F
859	8	clip	1	36	narrative	F
