onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	11	instruction	1	157	control	control
23	8	clip	1	157	control	control
36	9	instruction	0	26	narrative	F
45	8	clip	0	26	narrative	F
58	7	instruction	1	5	narrative	F
65	8	clip	1	5	narrative	F
78	7	instruction	0	20	narrative	F
85	8	clip	0	20	narrative	F
98	7	instruction	1	10	narrative	R
105	8	clip	1	10	narrative	R
118	9	instruction	0	29	narrative	R
127	8	clip	0	29	narrative	R
140	11	instruction	1	31	narrative	F
151	8	clip	1	31	narrative	F
164	11	instruction	1	156	control	control
175	8	clip	1	156	control	control
188	7	instruction	0	13	narrative	F
195	8	clip	0	13	narrative	F
208	7	instruction	1	8	narrative	F
215	8	clip	1	8	narrative	F
228	7	instruction	1	3	narrative	R
235	8	clip	1	3	narrative	R
248	11	instruction	0	160	control	control
259	8	clip	0	160	control	control
272	7	instruction	1	7	narrative	F
279	8	clip	1	7	narrative	F
292	9	instruction	1	22	narrative	R
301	8	clip	1	22	narrative	R
314	9	instruction	0	30	narrative	F
323	8	clip	0	30	narrative	F
336	7	instruction	1	4	narrative	F
343	8	clip	1	4	narrative	F
356	7	instruction	0	11	narrative	F
363	8	clip	0	11	narrative	F
376	7	instruction	0	14	narrative	R
383	8	clip	0	14	narrative	R
396	7	instruction	0	16	narrative	R
403	8	clip	0	16	narrative	R
416	7	instruction	1	2	narrative	F
423	8	clip	1	2	narrative	F
436	7	instruction	0	17	narrative	F
443	8	clip	0	17	narrative	F
456	9	instruction	1	24	narrative	F
465	8	clip	1	24	narrative	F
478	11	instruction	0	34	narrative	F
489	8	clip	0	34	narrative	F
502	11	instruction	0	159	control	control
513	8	clip	0	159	control	control
526	9	instruction	1	21	narrative	R
535	8	clip	1	21	narrative	R
548	7	instruction	1	6	narrative	R
555	8	clip	1	6	narrative	R
568	7	instruction	0	12	narrative	F
575	8	clip	0	12	narrative	F
588	9	instruction	1	25	narrative	F
597	8	clip	1	25	narrative	F
610	7	instruction	0	18	narrative	F
617	8	clip	0	18	narrative	F
630	11	instruction	1	158	control	control
641	8	clip	1	158	control	control
654	9	instruction	0	28	narrative	F
663	8	clip	0	28	narrative	F
676	11	instruction	0	33	narrative	X
687	8	clip	0	33	narrative	X
700	7	instruction	0	15	narrative	F
707	8	clip	0	15	narrative	F
720	7	instruction	0	19	narrative	F
727	8	clip	0	19	narrative	F
740	9	instruction	1	23	narrative	R
749	8	clip	1	23	narrative	R
762	11	instruction	0	35	narrative	F
773	8	clip	0	35	narrative	F
786	11	instruction	1	32	narrative	F
797	8	clip	1	32	narrative	F
810	7	instruction	1	9	narrative	F
817	8	clip	1	9	narrative	F
830	9	instruction	0	27	narrative	R
839	8	clip	0	27	narrative	R
852	7	instruction	1	1	narrative	R
859	8	clip	1	1	narrative	R
