onset	duration	trial_type	memorize	clip_id	clip_type	mem_type
12	7	instruction	0	82	narrative	F
19	8	clip	0	82	narrative	F
32	9	instruction	1	94	narrative	R
41	8	clip	1	94	narrative	R
54	7	instruction	0	90	narrative	F
61	8	clip	0	90	narrative	F
74	7	instruction	0	86	narrative	F
81	8	clip	0	86	narrative	F
94	9	instruction	0	99	narrative	F
103	8	clip	0	99	narrative	F
116	7	instruction	1	72	narrative	R
123	8	clip	1	72	narrative	R
136	7	instruction	0	83	narrative	F
143	8	clip	0	83	narrative	F
156	7	instruction	1	75	narrative	F
163	8	clip	1	75	narrative	F
176	7	instruction	0	85	narrative	F
183	8	clip	0	85	narrative	F
196	7	instruction	0	84	narrative	F
203	8	clip	0	84	narrative	F
216	11	instruction	0	104	narrative	F
227	8	clip	0	104	narrative	F
240	7	instruction	0	87	narrative	F
247	8	clip	0	87	narrative	F
260	9	instruction	1	92	narrative	X
269	8	clip	1	92	narrative	X
282	7	instruction	1	74	narrative	R
289	8	clip	1	74	narrative	R
302	9	instruction	0	97	narrative	R
311	8	clip	0	97	narrative	R
324	11	instruction	0	103	narrative	R
335	8	clip	0	103	narrative	R
348	9	instruction	0	100	narrative	F
357	8	clip	0	100	narrative	F
370	9	instruction	1	91	narrative	R
379	8	clip	1	91	narrative	R
392	7	instruction	0	81	narrative	F
399	8	clip	0	81	narrative	F
412	11	instruction	1	148	control	control
423	8	clip	1	148	control	control
436	9	instruction	0	98	narrative	R
445	8	clip	0	98	narrative	R
458	11	instruction	0	105	narrative	R
469	8	clip	0	105	narrative	R
482	7	instruction	1	80	narrative	F
489	8	clip	1	80	narrative	F
502	7	instruction	0	89	narrative	F
509	8	clip	0	89	narrative	F
522	11	instruction	1	146	control	control
533	8	clip	1	146	control	control
546	9	instruction	1	93	narrative	F
555	8	clip	1	93	narrative	F
568	9	instruction	1	95	narrative	R
577	8	clip	1	95	narrative	R
590	11	instruction	0	149	control	control
601	8	clip	0	149	control	control
614	7	instruction	1	78	narrative	F
621	8	clip	1	78	narrative	F
634	7	instruction	1	76	narrative	R
641	8	clip	1	76	narrative	R
654	11	instruction	1	102	narrative	F
665	8	clip	1	102	narrative	F
678	7	instruction	1	79	narrative	R
685	8	clip	1	79	narrative	R
698	11	instruction	1	101	narrative	F
709	8	clip	1	101	narrative	F
722	7	instruction	1	77	narrative	F
729	8	clip	1	77	narrative	F
742	7	instruction	1	71	narrative	F
749	8	clip	1	71	narrative	F
762	11	instruction	0	150	control	control
773	8	clip	0	150	control	control
786	11	instruction	1	147	control	control
797	8	clip	1	147	control	control
810	7	instruction	0	88	narrative	F
817	8	clip	0	88	narrative	F
830	9	instruction	0	96	narrative	F
839	8	clip	0	96	narrative	F
852	7	instruction	1	73	narrative	F
859	8	clip	1	73	narrative	F
