onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
0.0199	1.0	ISI	n/a	n/a	n/a	n/a
1.0199	0.5	DISTRACTOR	1	1	G	Correct Rejection
1.52	1.0	ISI	n/a	n/a	n/a	n/a
2.52	0.5	DISTRACTOR	1	2	C	Correct Rejection
3.02	1.0	ISI	n/a	n/a	n/a	n/a
4.02	0.5	DISTRACTOR	1	3	B	Correct Rejection
4.52	1.0	ISI	n/a	n/a	n/a	n/a
5.52	0.5	DISTRACTOR	1	4	D	Correct Rejection
6.02	1.0	ISI	n/a	n/a	n/a	n/a
7.02	0.5	DISTRACTOR	1	5	J	Correct Rejection
7.52	1.0	ISI	n/a	n/a	n/a	n/a
8.52	0.5	DISTRACTOR	1	6	C	Correct Rejection
9.0201	1.0	ISI	n/a	n/a	n/a	n/a
10.0201	0.5	DISTRACTOR	1	7	B	Correct Rejection
10.5201	1.0	ISI	n/a	n/a	n/a	n/a
11.5201	0.5	TARGET	1	8	B	Hit
11.9011	n/a	RESPONSE	n/a	n/a	n/a	n/a
12.0201	1.0	ISI	n/a	n/a	n/a	n/a
13.0201	0.5	TARGET	1	9	B	Hit
13.5201	1.0	ISI	n/a	n/a	n/a	n/a
13.7086	n/a	RESPONSE	n/a	n/a	n/a	n/a
14.5201	0.5	DISTRACTOR	1	10	C	Correct Rejection
15.0201	1.0	ISI	n/a	n/a	n/a	n/a
16.0201	0.5	DISTRACTOR	1	11	J	Correct Rejection
16.5201	1.0	ISI	n/a	n/a	n/a	n/a
17.5202	0.5	DISTRACTOR	1	12	E	Correct Rejection
18.0202	1.0	ISI	n/a	n/a	n/a	n/a
19.0202	0.5	TARGET	1	13	E	Hit
19.3073	n/a	RESPONSE	n/a	n/a	n/a	n/a
19.5202	1.0	ISI	n/a	n/a	n/a	n/a
20.5202	0.5	DISTRACTOR	1	14	F	Correct Rejection
21.0202	1.0	ISI	n/a	n/a	n/a	n/a
22.0202	0.5	DISTRACTOR	1	15	I	Correct Rejection
22.5202	1.0	ISI	n/a	n/a	n/a	n/a
23.5202	0.5167	DISTRACTOR	1	16	F	Correct Rejection
24.0369	1.0167	ISI	n/a	n/a	n/a	n/a
25.0536	0.5167	TARGET	1	17	F	Hit
25.4338	n/a	RESPONSE	n/a	n/a	n/a	n/a
25.5703	1.0167	ISI	n/a	n/a	n/a	n/a
26.5869	0.5167	DISTRACTOR	1	18	A	Correct Rejection
27.1036	1.0167	ISI	n/a	n/a	n/a	n/a
28.1203	0.5167	TARGET	1	19	A	Hit
28.4251	n/a	RESPONSE	n/a	n/a	n/a	n/a
28.637	1.0167	ISI	n/a	n/a	n/a	n/a
29.6537	0.5167	TARGET	1	20	A	Hit
30.1047	n/a	RESPONSE	n/a	n/a	n/a	n/a
30.1703	1.0167	ISI	n/a	n/a	n/a	n/a
31.187	0.5167	DISTRACTOR	1	21	J	Correct Rejection
31.7037	1.0167	ISI	n/a	n/a	n/a	n/a
32.7204	0.5167	DISTRACTOR	1	22	B	Correct Rejection
