onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0542	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0876	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.6042	1.45	T_INK	1	Incongruent	żółty	yellow	zielony	green	hit	n/a
3.0233	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
3.0543	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.5709	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.5876	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5.1043	1.4334	T_INK	2	Incongruent	czerwony	red	niebieski	blue	hit	n/a
6.5105	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
6.5376	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.0543	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.071	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8.5877	1.5667	T_INK	3	Incongruent	niebieski	blue	zielony	green	hit	n/a
10.1256	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
10.1543	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.671	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.6877	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.2044	0.85	T_INK	4	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
13.0209	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
