onset	duration	trial	event	music_type	valence_rating
14.1274683625415	29.4748638362435	1	Music	tonal	0.47
43.602332198785	64.8722350774697	1	Rating	tonal	0.47
71.9805815627333	29.468617489496	2	Music	discord	0.38
101.449199052229	115.113013213147	2	Rating	discord	0.38
123.218723116446	29.4719148814584	3	Music	atonal	0.47
152.690637997905	162.1518106943	3	Rating	atonal	0.47
170.261942087855	29.4835744882948	4	Music	tonal	0.71
199.745516576149	212.441800310542	4	Rating	tonal	0.71
219.550776257554	29.4687143084229	5	Music	discord	0.38
249.019490565977	265.401423765357	5	Rating	discord	0.38
288.519318705443	29.4721956286121	6	Music	tonal	0.56
317.991514334055	332.372228558143	6	Rating	tonal	0.56
340.489457694704	29.4771275682324	7	Music	atonal	0.54
369.966585262937	393.104759191348	7	Rating	atonal	0.54
401.209627408021	29.4730980698077	8	Music	tonal	0.47
430.682725477829	446.397934400044	8	Rating	tonal	0.47
454.504898233317	29.4710263111665	9	Music	atonal	0.47
483.975924544484	496.171527078644	9	Rating	atonal	0.47
503.277343233091	29.471292077742	10	Music	tonal	0.51
532.748635310832	551.149223770182	10	Rating	tonal	0.51
574.271420633304	29.4847413089774	11	Music	discord	0.26
603.756161942281	619.488059784719	11	Rating	discord	0.26
627.612314812988	29.4700289929715	12	Music	atonal	0.57
657.08234380596	673.965466713013	12	Rating	atonal	0.57
681.07283030582	29.4694394794315	13	Music	discord	0.43
710.542269785252	724.356322234478	13	Rating	discord	0.43
732.476961117351	29.4736143449591	14	Music	atonal	0.28
761.95057546231	774.38000653042	14	Rating	atonal	0.28
782.59958270764	29.4749531648813	15	Music	discord	0.36
812.074535872522	821.818538300486	15	Rating	discord	0.36
