onset	duration	trial	event	music_type	valence_rating
14.128521996623	29.4734390166996	1	Music	atonal	0.44
43.6019610133226	56.8155541136002	1	Rating	atonal	0.44
63.9496394535199	29.4759604701358	2	Music	tonal	0.47
93.4255999236557	110.959316352943	2	Rating	tonal	0.47
118.070913346506	29.4819488180183	3	Music	discord	0.37
147.552862164524	164.202354891589	3	Rating	discord	0.37
172.328056378024	29.4686696441022	4	Music	atonal	0.14
201.796726022127	214.526378997009	4	Rating	atonal	0.14
221.639768666566	29.4801528130083	5	Music	tonal	0.42
251.119921479574	264.284108906595	5	Rating	tonal	0.42
287.421194801074	29.4687570308161	6	Music	discord	0.38
316.88995183189	328.935702243787	6	Rating	discord	0.38
336.053100605412	29.4761757466076	7	Music	tonal	0.5
365.529276352019	378.108834741186	7	Rating	tonal	0.5
386.299605206252	29.4703335980848	8	Music	discord	n/a
415.769938804337	438.442264153666	8	Rating	discord	n/a
445.576896562154	29.4743159354257	9	Music	tonal	0.63
475.051212497579	488.281396866896	9	Rating	tonal	0.63
496.417661603697	29.474759249606	10	Music	atonal	0.43
525.892420853303	543.326395753062	10	Rating	atonal	0.43
565.473246765931	29.4753149181306	11	Music	discord	0.5
594.948561684061	606.677091670328	11	Rating	discord	0.5
613.797916423351	29.4727762647672	12	Music	atonal	0.38
643.270692688118	653.648604989034	12	Rating	atonal	0.38
661.795995580174	29.4802768189147	13	Music	tonal	n/a
691.276272399089	713.980857593782	13	Rating	tonal	n/a
721.11643794004	29.474499031392	14	Music	discord	0.55
750.590936971432	770.810569464531	14	Rating	discord	0.55
778.935475038335	29.4688391465825	15	Music	atonal	0.08
808.404314184918	822.935498896295	15	Rating	atonal	0.08
