onset	duration	trial	value	instruction
9542	5	1	1	rest
14468	2	1	2	ready
16465	6	1	3	task
22461	3	1	4	interval
25887	6	2	1	rest
31395	2	2	2	ready
33044	5	2	3	task
37973	2	2	4	interval
39992	5	3	1	rest
44464	2	3	2	ready
46461	6	3	3	task
52465	3	3	4	interval
54950	5	4	1	rest
59469	2	4	2	ready
61462	6	4	3	task
67463	2	4	4	interval
69823	5	5	1	rest
74470	2	5	2	ready
76462	6	5	3	task
82465	3	5	4	interval
84997	5	6	1	rest
89460	2	6	2	ready
91461	6	6	3	task
97462	2	6	4	interval
99784	5	7	1	rest
104463	2	7	2	ready
106470	6	7	3	task
112466	2	7	4	interval
114781	5	8	1	rest
119472	2	8	2	ready
121459	6	8	3	task
127460	2	8	4	interval
129834	5	9	1	rest
134469	2	9	2	ready
136463	6	9	3	task
142463	2	9	4	interval
144779	5	10	1	rest
149468	2	10	2	ready
151468	6	10	3	task
157458	3	10	4	interval
