onset	duration	response_time	value	stimuli
4689	2500	1510	1	GLOVE.bmp   
10676	2500	1330	1	ASPARAGU.bmp
16680	2500	986 	1	DEER.bmp    
23685	2500	705 	1	FLOWER.bmp  
29689	2500	952 	1	GUITAR.bmp  
35676	2500	910 	1	CORN.bmp    
42681	2500	1801	1	BRAIN.bmp   
49686	2500	931 	0	ACORN.bmp   
56674	2500	950 	1	DRAGONFL.bmp
62678	2500	692 	1	ENVELOPE.bmp
69683	2500	694 	1	AIRPLANE.bmp
76687	2500	878 	1	BELT.bmp    
82675	2500	1993	1	AXE.bmp     
88679	2500	860 	1	BUTTERFL.bmp
95684	2500	1556	1	COW.bmp     
102672	2500	993 	1	EYE.bmp     
109677	2500	875 	1	BEAR.bmp    
116681	2500	720 	1	BICYCLE.bmp 
123686	2500	840 	1	ARTICHOK.bmp
130674	2500	906 	1	BIRDNEST.bmp
136679	2500	800 	1	CANNON.bmp  
143683	2500	803 	1	DOLPHIN.bmp 
150672	2500	746 	1	FLAG.bmp    
157676	2500	798 	1	BOW.bmp     
164681	2500	1010	0	DOGHOUSE.bmp
171670	2500	1022	1	DOORKNOB.bmp
178674	2500	735 	1	RAY.bmp     
184677	2500	866 	1	DRESSER.bmp 
190682	2500	797 	1	CHEESE.bmp  
196669	2500	687 	1	CLOWN.bmp   
202673	2500	1075	1	GARBAGEC.bmp
209678	2500	840 	1	BENCH.bmp   
215682	2500	1110	1	EAGLE.bmp   
221670	2500	959 	1	CATERPIL.bmp
227674	2500	619 	1	CAT.bmp     
233678	2500	731 	1	SCORPION.bmp
239682	2500	790 	1	BROOM.bmp   
245669	2500	1836	1	FRYINGPA.bmp
252674	2500	764 	1	ELEPHANT.bmp
259679	2500	940 	1	frenchcr.bmp
266668	2500	1642	0	ASHTRAY.bmp 
273672	2500	790 	1	CLOUD.bmp   
280677	2500	748 	1	EAR.bmp     
287681	2500	1070	1	DONKEY.bmp  
294669	2500	625 	1	FORK.bmp    
301674	2500	1011	1	CARROT.bmp  
307678	2500	861 	1	ANCHOR.bmp  
314666	2500	739 	1	CROWN.bmp   
320670	2500	885 	1	BOTTLE.bmp  
326674	2500	1506	1	CAP.bmp     
332679	2500	850 	1	ACCORDIO.bmp
338666	2500	748 	1	COMPASS.bmp 
344670	2500	1243	1	DUSTPAN.bmp 
351675	2500	1231	1	GORILLA.bmp 
358680	2500	996 	1	FISH.bmp    
365668	2500	737 	1	FEATHER.bmp 
372673	2500	1078	1	BIRDCAGE.bmp
379678	2500	1507	0	DRESS.bmp   
385665	2500	1021	1	BOX.bmp     
392670	2500	1162	1	BOWL.bmp    
399674	2500	918 	1	FAUCET.bmp  
405678	2500	1473	0	COAT.bmp    
412666	2500	792 	1	FUNNEL.bmp  
418670	2500	1305	1	CHICKEN.bmp 
424674	2500	1085	1	HAMMOCK.bmp 
430663	2500	810 	1	ALLIGATO.bmp
436666	2500	841 	1	CAR.bmp     
442670	2500	1023	1	CRAB.bmp    
448674	2500	990 	1	APPLE.bmp   
454662	2500	860 	1	CUP.bmp     
461667	2500	842 	1	BOOT.bmp    
467671	2500	920 	1	CHIMNEY.bmp 
473675	2500	929 	1	BEE.bmp     
479662	2500	rien	0	FAN.bmp     
