onset	duration	response_time	value	stimuli
4137	2500	1937	1	MOON.bmp    
10140	2500	1039	1	MONKEY.bmp  
17129	2500	886 	1	PICTURE.bmp 
24133	2500	930 	1	CIGARETT.bmp
31138	2500	973 	1	NOSE.bmp    
38127	2500	1002	1	STOOL.bmp   
44131	2500	828 	1	MICROSCO.bmp
51136	2500	708 	1	PALMTREE.bmp
58140	2500	950 	1	RABBIT.bmp  
64128	2500	762 	1	SWAN.bmp    
71133	2500	953 	1	SYRINGE.bmp 
78137	2500	rien	0	KNIFE.bmp   
85126	2500	950 	1	SCREW.bmp   
92130	2500	929 	1	LADDER.bmp  
99134	2500	1120	1	UMBRELLA.bmp
105138	2500	704 	1	WHIP.bmp    
111126	2500	1062	1	ROOSTER.bmp 
117130	2500	889 	1	HAT.bmp     
123134	2500	1350	1	HAMMER.bmp  
130139	2500	813 	1	WATERING.bmp
137127	2500	1070	1	SKIRT.bmp   
143131	2500	815 	1	PANTS.bmp   
149136	2500	1000	1	ROCKET.bmp  
155124	2500	613 	1	GLASS.bmp   
161127	2500	A087	1	HARMONIC.bmp
168132	2500	985 	1	WOLF.bmp    
174136	2500	931 	1	WEATHERV.bmp
180124	2500	916 	1	WINDOW.bmp  
186128	2500	647 	1	PAINTBRU.bmp
193132	2500	1600	1	RAT.bmp     
199136	2500	1224	1	SAW.bmp     
206124	2500	846 	1	VASE.bmp    
212128	2500	757 	1	NAILFILE.bmp
219133	2500	1073	1	WHEEL.bmp   
226122	2500	789 	1	NECKLACE.bmp
233126	2500	993 	1	LIGHTBUL.bmp
239130	2500	848 	1	SHIRT.bmp   
246135	2500	1530	1	TRACTOR.bmp 
252122	2500	659 	1	PELICAN.bmp 
258127	2500	rien	0	RING.bmp    
265131	2500	2000	0	WELL.bmp    
272136	2500	795 	1	TELEPHON.bmp
278124	2500	1202	1	LION.bmp    
285129	2500	725 	1	PIPE.bmp    
291133	2500	917 	1	SHOE.bmp    
298120	2500	600 	1	SQUIRREL.bmp
304124	2500	1563	1	ski.bmp     
310128	2500	875 	1	LEG.bmp     
317133	2500	865 	1	HARP.bmp    
324121	2500	788 	1	TIGER.bmp   
330125	2500	1093	1	PLIERS.bmp  
336129	2500	1230	0	SNAIL.bmp   
342134	2500	621 	1	LAMP.bmp    
349122	2500	583 	1	Scale.bmp   
355126	2500	1055	1	SKULL.bmp   
362131	2500	3045	0	SPIDER.bmp  
368119	2500	675 	1	PEACOCK.bmp 
375123	2500	1160	1	SOCK.bmp    
381127	2500	1095	1	MOTORCYC.bmp
387131	2500	967 	1	PLUG.bmp    
394119	2500	695 	0	SNAKE.bmp   
400124	2500	982 	1	PIANO.bmp   
407128	2500	565 	1	TIE.bmp     
414117	2500	868 	1	POT.bmp     
421120	2500	1587	1	LOCK.bmp    
427125	2500	984 	1	LADYBUG.bmp 
433129	2500	742 	1	NAIL.bmp    
440117	2500	845 	1	TRUMPET.bmp 
446121	2500	731 	1	PEAR.bmp    
452125	2500	859 	1	ZEBRA.bmp   
458129	2500	1031	1	OSTRICH.bmp 
465117	2500	1022	1	MOUNTAIN.bmp
471122	2500	1090	1	RULER.bmp   
478126	2500	607 	1	HYENA.bmp   
