onset	duration	imageid
8	4	487489
12	4	451983
16	4	315939
20	4	212691
24	4	331146
28	4	271025
32	4	337194
36	4	167748
44	4	456009
48	4	372756
52	4	394658
60	4	396765
64	4	543992
68	4	456200
72	4	448868
76	4	148458
80	4	508580
84	4	573484
88	4	280941
92	4	205121
96	4	25195
100	4	509005
104	4	550815
108	4	279780
116	4	372319
120	4	373312
124	4	556653
128	4	131816
132	4	208773
136	4	443397
140	4	355108
144	4	560
148	4	229191
152	4	241161
156	4	280852
160	4	18214
164	4	288171
168	4	9891
172	4	280051
176	4	455267
184	4	561785
188	4	393887
192	4	17959
196	4	426040
200	4	341409
204	4	40569
208	4	239888
216	4	278797
220	4	174679
224	4	317476
228	4	575254
232	4	149918
236	4	507763
240	4	290355
244	4	503424
248	4	262229
252	4	303247
256	4	452979
260	4	363505
264	4	121744
268	4	308
272	4	95069
276	4	7816
280	4	331824
284	4	270683
288	4	288042
292	4	571575
296	4	354045
300	4	21963
304	4	309294
308	4	567416
312	4	326325
320	4	283479
324	4	479394
328	4	174137
332	4	290942
336	4	333738
340	4	268397
344	4	131967
348	4	82846
352	4	498806
356	4	192259
360	4	299325
364	4	415904
368	4	564756
