onset	duration	imageid
12	4	173391
20	4	464903
24	4	395973
28	4	391926
32	4	232275
36	4	188592
40	4	251874
44	4	104097
48	4	52543
52	4	517869
56	4	441255
60	4	211108
64	4	235808
68	4	253971
72	4	570465
80	4	265573
84	4	451909
88	4	214048
92	4	84546
96	4	198205
100	4	242537
104	4	246245
112	4	308263
116	4	520341
120	4	201043
124	4	228293
128	4	260917
132	4	219462
136	4	511963
140	4	403910
144	4	497211
148	4	330681
152	4	445464
156	4	94261
160	4	301546
164	4	320308
168	4	185687
172	4	325040
176	4	445305
180	4	378672
184	4	175047
188	4	335861
192	4	307480
196	4	297304
200	4	123321
204	4	313673
208	4	209246
212	4	271182
216	4	342385
220	4	510260
224	4	6894
228	4	451720
232	4	489470
236	4	556472
240	4	74092
244	4	269827
248	4	509733
252	4	336390
256	4	444764
260	4	426166
264	4	291207
268	4	174188
276	4	337826
280	4	144878
284	4	333954
288	4	167159
292	4	509485
296	4	280008
300	4	266633
304	4	8468
308	4	466913
312	4	377868
316	4	194700
324	4	335631
328	4	451504
332	4	399028
336	4	502792
340	4	226744
344	4	453158
348	4	453762
352	4	280007
356	4	265826
360	4	371176
364	4	501189
368	4	85625
