onset	duration	cueid	targetid
8	4	78	164772
16	4	76	60467
24	4	68	578231
32	4	65	364252
40	4	74	58248
48	4	77	75132
60	4	62	350644
68	4	67	571516
76	4	69	578769
88	4	73	48263
100	4	64	364044
108	4	80	357254
116	4	66	465559
124	4	79	313428
132	4	72	42479
144	4	63	361460
152	4	61	13471
164	4	70	36237
172	4	75	60394
180	4	71	36482
192	4	62	350644
200	4	78	164772
208	4	80	357254
216	4	79	313428
228	4	69	578769
236	4	72	42479
244	4	75	60394
252	4	66	465559
260	4	76	60467
268	4	77	75132
276	4	63	361460
284	4	65	364252
296	4	70	36237
308	4	71	36482
316	4	74	58248
324	4	73	48263
332	4	64	364044
340	4	68	578231
348	4	61	13471
360	4	67	571516
