onset	duration	cueid	targetid
12	4	71	36482
20	4	74	58248
28	4	67	571516
40	4	76	60467
48	4	77	75132
56	4	79	313428
64	4	70	36237
76	4	66	465559
84	4	65	364252
92	4	80	357254
100	4	72	42479
112	4	69	578769
120	4	61	13471
128	4	64	364044
136	4	75	60394
144	4	63	361460
156	4	73	48263
164	4	78	164772
172	4	68	578231
180	4	62	350644
188	4	61	13471
196	4	66	465559
204	4	74	58248
212	4	69	578769
220	4	65	364252
232	4	72	42479
240	4	64	364044
248	4	67	571516
256	4	73	48263
268	4	79	313428
276	4	71	36482
284	4	76	60467
292	4	75	60394
300	4	80	357254
308	4	63	361460
320	4	78	164772
328	4	70	36237
336	4	62	350644
348	4	68	578231
360	4	77	75132
