onset	duration	imageid
8	4	443639
12	4	381998
16	4	483059
20	4	224379
24	4	532610
28	4	265771
32	4	359005
36	4	564151
40	4	180362
44	4	463618
48	4	174889
52	4	372588
56	4	413115
60	4	399655
64	4	303020
68	4	178770
72	4	418297
76	4	193785
80	4	339886
84	4	287974
88	4	282946
92	4	543882
96	4	260439
100	4	146589
104	4	198805
112	4	20059
116	4	361750
120	4	430551
124	4	341714
128	4	432008
132	4	24516
136	4	465855
140	4	199196
144	4	59934
148	4	141518
152	4	303944
156	4	296110
164	4	12667
168	4	297168
172	4	69536
176	4	580406
184	4	531495
188	4	254123
200	4	327026
204	4	290951
208	4	71647
212	4	307033
216	4	482940
220	4	295585
224	4	239616
228	4	336939
232	4	554658
236	4	503104
240	4	254082
248	4	267697
252	4	183990
256	4	559427
260	4	182645
264	4	369058
268	4	178026
272	4	259431
276	4	298658
280	4	200089
284	4	530896
288	4	323592
292	4	450202
296	4	178034
300	4	284510
304	4	210693
308	4	275710
312	4	329734
316	4	239114
320	4	185792
324	4	334431
328	4	467000
332	4	87470
336	4	418260
340	4	4741
344	4	262933
348	4	291827
352	4	403541
356	4	219492
360	4	463151
364	4	384335
368	4	242104
