onset	duration	imageid
8	4	313002
12	4	276768
16	4	165050
24	4	167713
36	4	199594
40	4	405970
44	4	229997
48	4	326350
52	4	537064
56	4	367257
60	4	565500
64	4	286227
68	4	30828
72	4	472030
76	4	418257
80	4	352523
84	4	385342
88	4	560818
92	4	255365
96	4	422314
100	4	357904
104	4	492215
108	4	470588
112	4	363784
116	4	451036
120	4	412693
124	4	451160
128	4	349561
132	4	320911
140	4	575187
144	4	462802
148	4	556458
152	4	512037
156	4	327404
160	4	206137
164	4	340128
168	4	389255
172	4	167920
176	4	9217
180	4	204423
184	4	223739
188	4	330420
192	4	288814
200	4	197854
208	4	453779
212	4	547637
216	4	299871
220	4	453488
224	4	204186
228	4	205677
232	4	358287
236	4	490112
240	4	252535
244	4	439614
248	4	174758
252	4	408167
256	4	141163
260	4	289689
264	4	1424
268	4	150385
272	4	192320
276	4	492974
280	4	195425
284	4	127517
288	4	488812
292	4	308487
296	4	393576
300	4	180351
304	4	379465
308	4	236718
312	4	344096
316	4	571541
320	4	482784
324	4	469301
328	4	396260
332	4	288602
336	4	436843
340	4	280297
344	4	252627
348	4	202037
352	4	169774
356	4	491577
360	4	252699
364	4	516328
368	4	454631
