onset	duration	trial_type	sample	value
606.7450737569216	0.0	Legal_Correct_8	1234429	594
610.8438491178852	0.0	Legal_Incorrect_8	1242768	598
614.6388658539446	0.0	Legal_Incorrect_8	1250489	598
618.8398771274974	0.0	Legal_Correct_8	1259036	594
622.8398572075456	0.0	Illegal_Incorrect_8	1267174	600
626.8442609568884	0.0	Legal_Correct_8	1275321	594
630.739547530295	0.0	Legal_Correct_8	1283246	594
634.9405588038477	0.0	Illegal_Incorrect_8	1291793	600
639.143044633832	0.0	Legal_Correct_8	1300343	594
642.8387745701656	0.0	Illegal_Incorrect_8	1307862	600
646.84465287594	0.0	Legal_Incorrect_8	1316012	598
650.5403828122736	0.0	Legal_Correct_8	1323531	594
654.7433601610684	0.0	Legal_Incorrect_8	1332082	598
658.9379816900843	0.0	Legal_Correct_8	1340616	594
662.6386268145231	0.0	Illegal_Correct_8	1348145	596
666.6415560074345	0.0	Legal_Incorrect_8	1356289	598
670.4419794504097	0.0	Legal_Incorrect_8	1364021	598
674.5437039242365	0.0	Legal_Correct_8	1372366	594
678.3421612919697	0.0	Legal_Incorrect_8	1380094	598
682.2433460911025	0.0	Legal_Correct_8	1388031	594
686.0437695340777	0.0	Legal_Incorrect_8	1395763	598
689.8387862701372	0.0	Legal_Correct_8	1403484	594
693.941493781585	0.0	Legal_Incorrect_8	1411831	598
697.9399993052017	0.0	Legal_Correct_8	1419966	594
702.0427068166495	0.0	Legal_Correct_8	1428313	594
705.8372320338984	0.0	Illegal_Incorrect_8	1436033	600
710.0431584955564	0.0	Legal_Incorrect_8	1444590	598
713.9433602570682	0.0	Legal_Correct_8	1452525	594
717.8435620185799	0.0	Legal_Correct_8	1460460	594
721.6415278675025	0.0	Legal_Incorrect_8	1468187	598
725.4409682728568	0.0	Legal_Correct_8	1475917	594
729.2418832346426	0.0	Legal_Incorrect_8	1483650	598
733.2418633146908	0.0	Legal_Incorrect_8	1491788	598
737.4414000318119	0.0	Illegal_Correct_8	1500332	596
741.339144199271	0.0	Legal_Incorrect_8	1508262	598
745.3371582040771	0.0	Legal_Correct_8	1516396	594
749.0378033285159	0.0	Legal_Incorrect_8	1523925	598
753.1419853963953	0.0	Legal_Correct_8	1532275	594
756.8372238139184	0.0	Legal_Incorrect_8	1539793	598
760.5368859007361	0.0	Legal_Correct_8	1547320	594
764.4370876622479	0.0	Legal_Correct_8	1555255	594
768.1387158243077	0.0	Legal_Incorrect_8	1562786	598
772.340218616671	0.0	Illegal_Incorrect_8	1571334	600
776.0374231094361	0.0	Legal_Correct_8	1578856	594
825.1770161916209	0.0	Legal_Incorrect_9	1678831	608
829.3195367267211	0.0	Legal_Correct_9	1687259	604
833.122417763749	0.0	Legal_Incorrect_9	1694996	608
837.3249035937333	0.0	Legal_Correct_9	1703546	604
841.324392154971	0.0	Legal_Incorrect_9	1711683	608
845.4231675159347	0.0	Legal_Correct_9	1720022	604
849.1188974522681	0.0	Illegal_Incorrect_9	1727541	610
852.9227615269172	0.0	Legal_Correct_9	1735280	604
856.9227416069654	0.0	Legal_Incorrect_9	1743418	608
860.6199460997304	0.0	Legal_Correct_9	1750940	604
864.3191166677377	0.0	Legal_Incorrect_9	1758466	608
868.0187787545555	0.0	Legal_Correct_9	1765993	604
872.0236740227089	0.0	Illegal_Incorrect_9	1774141	610
876.1244154589145	0.0	Legal_Correct_9	1782484	604
879.818179320006	0.0	Legal_Incorrect_9	1789999	608
883.623026432276	0.0	Legal_Correct_9	1797740	604
887.5237197125983	0.0	Legal_Incorrect_9	1805676	608
891.6239696299934	0.0	Legal_Correct_9	1814018	604
895.5236798726947	0.0	Legal_Incorrect_9	1821952	608
899.2184267714072	0.0	Legal_Correct_9	1829469	604
903.1191200517295	0.0	Legal_Correct_9	1837405	604
906.9239671639995	0.0	Legal_Incorrect_9	1845146	608
910.921489649995	0.0	Legal_Correct_9	1853279	604
914.8226744491278	0.0	Illegal_Incorrect_9	1861216	610
918.5184043854614	0.0	Legal_Correct_9	1868735	604
922.4215552598363	0.0	Legal_Incorrect_9	1876676	608
926.321757021348	0.0	Illegal_Incorrect_9	1884611	610
930.5212937384691	0.0	Legal_Correct_9	1893155	604
934.5232398937594	0.0	Legal_Correct_9	1901297	604
938.3236633367347	0.0	Legal_Incorrect_9	1909029	608
942.4219471788879	0.0	Legal_Correct_9	1917367	604
946.1196431904635	0.0	Legal_Incorrect_9	1924890	608
950.2238252583429	0.0	Legal_Incorrect_9	1933240	608
954.0232656636971	0.0	Legal_Correct_9	1940970	604
957.8187739185671	0.0	Legal_Incorrect_9	1948692	608
961.921481430015	0.0	Legal_Correct_9	1957039	604
965.8197171162846	0.0	Legal_Correct_9	1964970	604
970.0226944650794	0.0	Legal_Incorrect_9	1973521	608
974.0221830263171	0.0	Illegal_Incorrect_9	1981658	610
977.7213535943243	0.0	Legal_Correct_9	1989184	604
981.7169100050778	0.0	Legal_Incorrect_9	1997313	608
985.9223449479252	0.0	Legal_Correct_9	2005869	604
989.7208023156584	0.0	Illegal_Incorrect_9	2013597	610
993.7217654333276	0.0	Legal_Correct_9	2021737	604
997.4170038508507	0.0	Legal_Incorrect_9	2029255	608
1001.4209160813831	0.0	Legal_Correct_9	2037401	604
1005.6209443173148	0.0	Legal_Incorrect_9	2045946	608
1009.5162308907212	0.0	Legal_Correct_9	2053871	604
1013.3215695218017	0.0	Legal_Correct_9	2061613	604
1017.2163645763977	0.0	Illegal_Incorrect_9	2069537	610
1021.0212116886677	0.0	Legal_Correct_9	2077278	604
1024.9204304125583	0.0	Legal_Incorrect_9	2085211	608
1028.617143386513	0.0	Legal_Incorrect_9	2092732	608
1032.6205640982348	0.0	Legal_Correct_9	2100877	604
1036.6171035466093	0.0	Legal_Incorrect_9	2109008	608
1040.7207940956782	0.0	Legal_Correct_9	2117357	604
1044.9203308127994	0.0	Legal_Correct_9	2125901	604
1048.7217372933958	0.0	Illegal_Incorrect_9	2133635	610
1052.620464498476	0.0	Legal_Incorrect_9	2141567	608
1056.5216492976087	0.0	Legal_Correct_9	2149504	604
1060.6194416209512	0.0	Legal_Correct_9	2157841	604
1060.6194416209512	0.0	Please Enter a Valid Number	2157841	24576
1064.6154895505153	0.0	Legal_Incorrect_9	2165971	608
1068.3156431561436	0.0	Legal_Correct_9	2173499	604
1072.320538424297	0.0	Legal_Incorrect_9	2181647	608
1076.014793804199	0.0	Legal_Correct_9	2189163	604
1079.918927716195	0.0	Legal_Incorrect_9	2197106	608
1083.7183681215492	0.0	Legal_Correct_9	2204836	604
1087.8196010765655	0.0	Legal_Incorrect_9	2213180	608
1092.0206123501182	0.0	Legal_Correct_9	2221727	604
1096.1203707487027	0.0	Legal_Incorrect_9	2230068	608
1100.220620666098	0.0	Legal_Incorrect_9	2238410	608
1104.419174345598	0.0	Legal_Correct_9	2246952	604
1108.314952437815	0.0	Legal_Correct_9	2254878	604
1112.51792978661	0.0	Legal_Incorrect_9	2263429	608
1116.3188447483958	0.0	Legal_Correct_9	2271162	604
1120.4151625153067	0.0	Illegal_Incorrect_9	2279496	610
1124.6191229017227	0.0	Legal_Correct_9	2288049	604
1128.8191511376542	0.0	Legal_Incorrect_9	2296594	608
1132.8191312177025	0.0	Legal_Correct_9	2304732	604
1136.913974428182	0.0	Illegal_Incorrect_9	2313063	610
1140.615111071431	0.0	Legal_Correct_9	2320593	604
1144.8185799390365	0.0	Illegal_Incorrect_9	2329145	610
1148.9188298564318	0.0	Illegal_Incorrect_9	2337487	610
1152.8190316179434	0.0	Legal_Correct_9	2345422	604
1156.6174889856766	0.0	Illegal_Correct_9	2353150	606
1160.8155511463663	0.0	Legal_Incorrect_9	2361691	608
1165.0190200139716	0.0	Legal_Incorrect_9	2370243	608
1168.8140367500312	0.0	Illegal_Correct_9	2377964	606
1172.918710336721	0.0	Legal_Correct_9	2386315	604
1176.9181988979587	0.0	Legal_Incorrect_9	2394452	608
