onset	duration	trial_type	stim	stimulus_side	sub
3	5	5_acc	c9.jpg	1	103
11.9	5	5_acc	c5.jpg	1	103
20	5	5_acc	c22.jpg	1	103
28.5	5	5_acc	c20.jpg	2	103
39.2	5	1_inacc	c16.jpg	1	103
49.5	5	5_inacc	c4.jpg	1	103
60.6	5	1_inacc	c13.jpg	2	103
67.6	5	5_acc	c24.jpg	2	103
75.4	5	1_miss	c18.jpg	2	103
86.1	5	5_acc	c3.jpg	2	103
95.3	5	1_inacc	c11.jpg	2	103
105.3	5	1_acc	c2.jpg	2	103
114.1	5	1_inacc	c8.jpg	1	103
122.6	5	5_inacc	c14.jpg	2	103
130	5	5_inacc	c7.jpg	2	103
137.1	5	1_inacc	c6.jpg	1	103
145.2	5	1_inacc	c17.jpg	1	103
156.3	5	1_inacc	c1.jpg	2	103
165.9	5	1_inacc	c10.jpg	2	103
173.6	5	5_acc	c12.jpg	2	103
183.6	5	5_miss	c23.jpg	1	103
193.2	5	1_acc	c21.jpg	1	103
200.6	5	5_inacc	c15.jpg	1	103
210.9	5	1_inacc	c19.jpg	1	103
3.09	5	5_acc	c16.jpg	2	107
12.71	5	5_acc	c10.jpg	1	107
21.95	5	5_inacc	c2.jpg	2	107
32.65	5	1_inacc	c20.jpg	1	107
39.7	5	1_acc	c7.jpg	2	107
48.94	5	5_acc	c11.jpg	1	107
56.35	5	1_acc	c4.jpg	2	107
63.77	5	1_inacc	c12.jpg	1	107
73.73	5	5_acc	c18.jpg	1	107
82.6	5	1_inacc	c14.jpg	2	107
93.28	5	5_inacc	c13.jpg	2	107
101.82	5	5_inacc	c1.jpg	1	107
109.61	5	1_inacc	c22.jpg	2	107
118.48	5	5_inacc	c21.jpg	2	107
126.65	5	1_inacc	c3.jpg	1	107
136.26	5	1_acc	c5.jpg	1	107
146.58	5	5_acc	c17.jpg	2	107
157.64	5	1_inacc	c24.jpg	1	107
166.15	5	1_acc	c9.jpg	2	107
174.29	5	1_inacc	c15.jpg	1	107
182.08	5	5_inacc	c19.jpg	1	107
192.07	5	1_inacc	c23.jpg	2	107
203.12	5	5_acc	c6.jpg	1	107
213.46	5	5_inacc	c8.jpg	2	107
3.06	5	5_acc	c4.jpg	2	110
11.94	5	1_inacc	c10.jpg	1	110
22.27	5	1_acc	c13.jpg	2	110
30.8	5	1_inacc	c1.jpg	1	110
41.85	5	1_inacc	c19.jpg	1	110
49.28	5	5_acc	c22.jpg	1	110
57.43	5	5_inacc	c5.jpg	1	110
67.41	5	5_acc	c3.jpg	1	110
76.65	5	5_acc	c12.jpg	2	110
87.34	5	5_inacc	c7.jpg	1	110
98.4	5	5_inacc	c20.jpg	2	110
106.19	5	1_inacc	c21.jpg	2	110
114.36	5	1_inacc	c2.jpg	2	110
123.6	5	5_acc	c14.jpg	1	110
130.65	5	1_acc	c18.jpg	2	110
138.42	5	1_acc	c17.jpg	2	110
148.38	5	1_inacc	c16.jpg	2	110
155.46	5	1_acc	c8.jpg	1	110
166.15	5	5_acc	c15.jpg	2	110
174.69	5	1_inacc	c11.jpg	1	110
184.31	5	1_acc	c6.jpg	1	110
193.19	5	5_inacc	c24.jpg	1	110
