onset	duration	trial_type	response	response_time	stim	sub
3.1	2	1_1	1	1.170182	c3.jpg	105
8.6	2	5_1	1	1.025485	c8.jpg	105
13.4	2	5_1	1	0.8832894	c1.jpg	105
20	2	5_1	1	0.9948022	c18.jpg	105
24	2	5_1	1	0.9003993	c10.jpg	105
28.4	2	5_1	1	0.8926565	c17.jpg	105
34.6	2	5_2	2	0.9139967	c10.jpg	105
38.7	2	5_1	1	1.033538	c16.jpg	105
45.6	2	5_1	1	1.374926	c13.jpg	105
52.6	2	5_3	2	1.041552	c10.jpg	105
56.6	2	1_1	1	0.865107	c24.jpg	105
64.3	2	5_2	2	1.773091	c13.jpg	105
68.7	2	5_1	1	0.9370434	c6.jpg	105
74.6	2	5_1	1	1.850581	c2.jpg	105
81.2	2	5_2	2	1.082159	c2.jpg	105
88.8	2	1_1	1	1.060376	c7.jpg	105
96.9	2	5_1	1	1.117411	c21.jpg	105
104.2	2	5_2	2	1.160571	c8.jpg	105
109.7	2	5_2	2	1.112977	c21.jpg	105
114.1	2	1_1	1	0.9430024	c5.jpg	105
121	2	5_1	1	1.586231	c19.jpg	105
125.4	2	5_2	1	1.396507	c6.jpg	105
131.3	2	5_2	2	1.136863	c18.jpg	105
135.3	2	5_3	2	0.8318725	c8.jpg	105
140.1	2	5_3	2	0.8266753	c18.jpg	105
148.1	2	5_3	2	1.068762	c13.jpg	105
153.2	2	5_3	2	0.7583538	c21.jpg	105
159.1	2	5_2	2	0.9672256	c19.jpg	105
163.1	2	5_2	2	0.7613162	c17.jpg	105
169.7	2	5_3	2	0.9137149	c6.jpg	105
174.5	2	1_1	1	0.9483667	c23.jpg	105
180.3	2	5_4	2	0.748099	c21.jpg	105
187.3	2	5_2	2	1.194758	c16.jpg	105
193.5	2	5_4	2	0.8662964	c13.jpg	105
199	2	5_3	2	0.9828388	c2.jpg	105
206.6	2	5_1	1	1.132089	c11.jpg	105
213.6	2	5_4	2	1.007122	c6.jpg	105
219.1	2	5_3	2	0.8309705	c16.jpg	105
226.4	2	1_1	1	0.8864552	c14.jpg	105
230.4	2	5_2	1	1.338764	c1.jpg	105
238.5	2	5_2	2	1.26727	c11.jpg	105
246.2	2	5_4	2	0.7723803	c8.jpg	105
250.9	2	5_4	2	0.7161826	c18.jpg	105
257.1	2	1_1	1	0.9298041	c12.jpg	105
261.9	2	5_5	2	1.71651	c13.jpg	105
267.8	2	5_4	2	0.7384073	c16.jpg	105
275.1	2	5_3	2	0.6149418	c17.jpg	105
281.6	2	5_5	2	0.8192668	c16.jpg	105
288.6	2	5_4	2	0.6904428	c17.jpg	105
295.2	2	5_4	2	1.151848	c10.jpg	105
302.5	2	1_1	1	1.314061	c22.jpg	105
306.9	2	5_3	2	1.05658	c1.jpg	105
312	2	5_3	2	1.363156	c19.jpg	105
316.4	2	5_5	2	0.8634179	c8.jpg	105
321.9	2	5_5	2	1.466907	c6.jpg	105
327.4	2	5_5	2	1.413759	c18.jpg	105
333.3	2	1_1	1	0.954014	c9.jpg	105
339.9	2	5_4	2	0.8816041	c1.jpg	105
346.1	2	5_4	2	0.9073976	c2.jpg	105
353.8	2	1_1	1	1.077543	c15.jpg	105
358.9	2	1_1	1	0.9274552	c20.jpg	105
366.2	2	5_5	2	0.831798	c21.jpg	105
371	2	5_5	2	0.625352	c1.jpg	105
377.2	2	5_3	2	0.9072254	c11.jpg	105
382.3	2	5_4	2	0.7410204	c11.jpg	105
387.5	2	5_5	2	0.7726846	c17.jpg	105
395.5	2	5_5	2	0.8322068	c2.jpg	105
403.2	2	5_4	2	0.930146	c19.jpg	105
411.2	2	5_5	2	0.6557077	c19.jpg	105
