onset	duration	trial_type	stim	response	response_time	sub
3	6	1	p21.jpg	2	3.935881	103
14.7	6	5	p13.jpg	5	2.51278	103
26.8	6	5	p6.jpg	5	2.873042	103
36.2	6	5	p7.jpg	3	3.098916	103
44.7	6	5	p4.jpg	6	4.982609	103
56.3	6	1	p1.jpg	1	4.426894	103
65.8	6	5	p8.jpg	7	4.257954	103
76.4	6	1	p19.jpg	3	3.726775	103
87.4	6	5	p2.jpg	6	4.017608	103
96.1	6	1	p20.jpg	2	4.533032	103
108.2	6	1	p17.jpg	1	2.310628	103
118.4	6	1	p5.jpg	1	5.328683	103
126.4	6	5	p10.jpg	4	5.161734	103
136.3	6	1	p22.jpg	3	3.198184	103
146.1	6	5	p9.jpg	5	3.807012	103
157.1	6	5	p14.jpg	3	4.398487	103
167.3	6	5	p11.jpg	5	4.694179	103
176.4	6	5	p23.jpg	3	2.965662	103
184.5	6	1	p16.jpg	2	4.690288	103
195.8	6	5	p3.jpg	4	1.976269	103
207.1	6	1	p15.jpg	2	4.063563	103
215.5	6	1	p12.jpg	1	4.058588	103
224.3	6	1	p18.jpg	1	2.545515	103
233.4	6	1	p24.jpg	1	2.023663	103
3.1	6	5	c2.jpg	5	1.826818	105
14.7	6	5	c18.jpg	6	2.405797	105
23.2	6	1	c4.jpg	1	1.968911	105
31.6	6	1	c3.jpg	1	2.846444	105
42.9	6	5	c11.jpg	4	1.974131	105
50.9	6	1	c24.jpg	2	2.590044	105
61.9	6	5	c1.jpg	6	2.40216	105
73.9	6	5	c10.jpg	7	1.392236	105
82.7	6	5	c17.jpg	6	2.025271	105
92.9	6	5	c8.jpg	7	0.8305763	105
103.5	6	1	c20.jpg	1	1.894032	105
111.5	6	5	c21.jpg	6	1.387703	105
120.6	6	1	c12.jpg	1	1.501935	105
130.5	6	1	c7.jpg	1	2.578686	105
141.1	6	5	c6.jpg	6	1.973925	105
152	6	1	c15.jpg	2	1.92457	105
162.2	6	1	c9.jpg	2	2.430788	105
174.3	6	5	c19.jpg	4	2.047457	105
183.8	6	1	c22.jpg	3	2.105719	105
193.3	6	5	c16.jpg	7	1.437361	105
203.1	6	1	c14.jpg	2	2.835496	105
214.8	6	1	c23.jpg	2	2.341515	105
223.9	6	5	c13.jpg	6	1.57424	105
235.2	6	1	c5.jpg	1	2.413873	105
3.03	6	1	c9.jpg	3	2.659531	106
11.8	6	1	c20.jpg	2	2.043885	106
20.2	6	1	c22.jpg	3	2.968435	106
29.69	6	5	c19.jpg	5	1.924337	106
38.46	6	1	c24.jpg	2	1.77064	106
47.58	6	5	c21.jpg	4	2.249905	106
55.62	6	1	c4.jpg	4	2.957396	106
66.19	6	5	c18.jpg	4	1.496932	106
75.69	6	5	c8.jpg	5	1.771788	106
84.09	6	1	c14.jpg	2	1.327437	106
93.96	6	1	c3.jpg	2	1.656501	106
104.17	6	1	c15.jpg	2	2.056905	106
116.21	6	5	c11.jpg	5	2.283171	106
126.07	6	1	c7.jpg	2	1.006566	106
137.02	6	5	c13.jpg	2	1.734473	106
149.07	6	5	c1.jpg	2	2.953455	106
160.75	6	1	c5.jpg	3	2.134741	106
168.79	6	1	c12.jpg	3	2.853062	106
180.1	6	5	c6.jpg	4	2.307802	106
191.04	6	5	c10.jpg	5	1.695537	106
202.35	6	5	c17.jpg	2	1.159399	106
211.49	6	5	c2.jpg	4	1.145734	106
222.06	6	1	c23.jpg	1	1.821039	106
233.75	6	5	c16.jpg	3	1.859112	106
3.03	6	1	p3.jpg	1	2.789442	107
13.27	6	1	p13.jpg	3	2.772193	107
21.68	6	1	p2.jpg	3	2.020866	107
31.19	6	5	p17.jpg	2	4.106375	107
42.5	6	1	p10.jpg	6	1.988811	107
51.63	6	5	p21.jpg	4	2.96767	107
60.39	6	5	p22.jpg	5	2.013663	107
71.34	6	1	p23.jpg	3	3.126746	107
81.93	6	1	p7.jpg	2	3.473535	107
90.7	6	5	p24.jpg	4	1.799619	107
100.92	6	1	p11.jpg	2	2.639855	107
112.24	6	5	p15.jpg	1	3.396364	107
121.37	6	5	p18.jpg	3	2.125466	107
129.41	6	5	p1.jpg	3	2.716176	107
138.9	6	5	p12.jpg	3	1.731579	107
