onset	duration	trial_type	stim	response	response_time	sub
3	6	5	c24.jpg	6	2.816374	103
15	6	1	c6.jpg	1	4.645316	103
23.8	6	1	c2.jpg	2	1.792062	103
32.9	6	1	c19.jpg	1	3.114605	103
43.2	6	5	c22.jpg	5	4.115006	103
54.1	6	5	c4.jpg	3	3.873159	103
63.6	6	1	c17.jpg	1	1.82841	103
71.6	6	5	c7.jpg	4	3.572027	103
81.8	6	5	c14.jpg	4	2.723316	103
90.6	6	5	c12.jpg	4	3.074483	103
101.9	6	1	c16.jpg	1	2.215564	103
113.6	6	1	c13.jpg	2	3.064997	103
123.1	6	5	c15.jpg	4	4.019725	103
131.5	6	1	c1.jpg	3	4.239323	103
143.5	6	1	c11.jpg	2	4.573877	103
154.1	6	1	c10.jpg	1	3.282259	103
165	6	5	c23.jpg	3	5.05792	103
174.2	6	5	c3.jpg	4	3.542782	103
184	6	1	c21.jpg	2	3.114993	103
193.9	6	1	c8.jpg	1	1.765887	103
205.2	6	5	c20.jpg	5	2.600758	103
216.9	6	5	c5.jpg	5	2.272908	103
227.5	6	1	c18.jpg	1	3.57423	103
235.8	6	5	c9.jpg	4	3.033168	103
3	6	5	p15.jpg	6	1.435255	105
12.9	6	1	p9.jpg	2	2.146174	105
20.9	6	5	p12.jpg	6	2.291057	105
29.7	6	1	p7.jpg	1	1.731325	105
39.6	6	1	p10.jpg	1	1.63696	105
50.1	6	1	p23.jpg	1	1.480892	105
58.6	6	5	p19.jpg	5	2.468807	105
70.2	6	1	p4.jpg	4	2.926358	105
79.4	6	1	p6.jpg	4	2.53813	105
90.3	6	5	p22.jpg	7	3.261668	105
98.7	6	1	p14.jpg	2	2.169421	105
108.2	6	1	p2.jpg	1	2.085568	105
118.5	6	5	p17.jpg	6	2.215929	105
128	6	5	p20.jpg	5	1.679824	105
139.3	6	5	p24.jpg	7	1.263354	105
148.4	6	5	p21.jpg	6	1.489218	105
159	6	5	p16.jpg	6	1.512828	105
167	6	1	p8.jpg	3	2.656788	105
178.7	6	5	p5.jpg	7	1.573295	105
188.9	6	5	p1.jpg	5	2.078252	105
201	6	1	p3.jpg	1	1.612992	105
213	6	1	p13.jpg	1	1.401791	105
224.3	6	1	p11.jpg	1	1.430612	105
233.1	6	5	p18.jpg	7	1.576956	105
3.03	6	1	p13.jpg	3	2.53088	106
11.09	6	1	p2.jpg	1	3.713184	106
22.04	6	5	p15.jpg	4	2.174721	106
32.99	6	5	p17.jpg	5	3.961922	106
44.67	6	5	p19.jpg	5	1.277526	106
54.17	6	5	p18.jpg	4	2.380661	106
62.57	6	5	p12.jpg	3	1.878421	106
74.61	6	1	p10.jpg	3	2.194034	106
83.75	6	1	p3.jpg	4	1.897537	106
94.34	6	5	p22.jpg	3	2.403105	106
105.66	6	1	p4.jpg	3	2.026066	106
114.06	6	1	p11.jpg	2	2.020768	106
125.38	6	5	p5.jpg	3	2.761151	106
134.51	6	1	p14.jpg	1	2.083661	106
144	6	5	p1.jpg	3	1.965334	106
154.22	6	1	p9.jpg	3	2.011717	106
165.9	6	1	p6.jpg	3	3.74029	106
177.94	6	5	p16.jpg	3	2.850374	106
187.8	6	5	p21.jpg	3	1.916724	106
198.39	6	5	p24.jpg	5	1.094952	106
206.43	6	5	p20.jpg	2	2.374643	106
215.2	6	1	p23.jpg	3	1.648878	106
225.05	6	1	p8.jpg	2	2.784339	106
233.82	6	1	p7.jpg	1	2.362695	106
3.02	6	1	c15.jpg	3	2.474994	107
14.71	6	5	c11.jpg	4	3.128719	107
23.48	6	1	c7.jpg	2	1.493956	107
32.24	6	5	c8.jpg	6	1.287642	107
41.38	6	5	c1.jpg	2	2.246819	107
53.06	6	1	c3.jpg	3	1.876229	107
63.28	6	5	c2.jpg	3	2.215478	107
71.31	6	1	c4.jpg	2	2.313243	107
81.16	6	5	c19.jpg	5	1.780534	107
93.2	6	1	c24.jpg	1	1.433431	107
104.14	6	1	c5.jpg	2	2.515814	107
112.53	6	1	c23.jpg	2	4.57E-04	107
124.56	6	5	c18.jpg	4	1.885469	107
134.42	6	5	c6.jpg	6	2.540935	107
144.63	6	5	c16.jpg	3	3.644256	107
155.21	6	1	c9.jpg	4	2.002104	107
166.52	6	1	c12.jpg	4	2.401	107
174.56	6	1	c22.jpg	3	1.685789	107
185.15	6	1	c20.jpg	3	1.733419	107
194.63	6	5	c21.jpg	6	2.05349	107
204.12	6	5	c10.jpg	3	2.182143	107
212.51	6	1	c14.jpg	2	2.132109	107
221.63	6	5	c13.jpg	2	4.01E-04	107
232.58	6	5	c17.jpg	4	1.395572	107
3.02	6	1	c6.jpg	2	2.764824	110
12.54	6	1	c2.jpg	2	1.811112	110
20.95	6	5	c15.jpg	3	1.34824	110
30.8	6	1	c13.jpg	2	3.322608	110
42.86	6	5	c3.jpg	2	1.701401	110
51.26	6	5	c7.jpg	3	2.250134	110
60.02	6	1	c8.jpg	2	1.783184	110
