onset	duration	trial_type	response	response_time	stim	sub
3.1	2	5_1	1	1.14659	c3.jpg	103
8.9	2	5_1	1	0.7905036	c20.jpg	103
15.5	2	5_2	2	0.9499121	c20.jpg	103
20.6	2	5_1	1	1.337552	c12.jpg	103
28.7	2	5_2	2	1.120912	c12.jpg	103
36.4	2	5_1	1	1.164484	c24.jpg	103
42.2	2	1_1	1	0.839674	c19.jpg	103
48.1	2	5_1	1	1.133739	c22.jpg	103
52.8	2	5_1	1	1.22196	c14.jpg	103
58.3	2	5_1	1	0.8027249	c9.jpg	103
63.4	2	5_2	2	1.319414	c24.jpg	103
70	2	5_1	1	0.9731309	c15.jpg	103
75.9	2	5_1	1	0.9135938	c7.jpg	103
82.8	2	5_2	2	1.096333	c22.jpg	103
89.8	2	5_3	2	1.794178	c22.jpg	103
97.4	2	5_2	2	1.651374	c15.jpg	103
101.5	2	5_2	2	1.445005	c9.jpg	103
106.6	2	1_1	NA	NA	c1.jpg	103
111.7	2	5_2	2	1.52335	c7.jpg	103
118	2	5_3	1	1.651176	c20.jpg	103
124.5	2	5_3	2	1.262212	c9.jpg	103
132.2	2	5_1	1	0.9980221	c4.jpg	103
136.6	2	5_4	2	1.768692	c9.jpg	103
140.7	2	5_2	NA	NA	c14.jpg	103
144.7	2	5_2	2	1.120013	c4.jpg	103
152.7	2	5_3	2	1.430155	c7.jpg	103
158.9	2	5_3	2	1.108495	c24.jpg	103
165.5	2	5_3	NA	NA	c14.jpg	103
172.1	2	1_1	1	0.7738503	c11.jpg	103
176.9	2	5_2	2	1.805477	c3.jpg	103
182.7	2	5_4	2	1.158237	c7.jpg	103
188.2	2	5_3	2	0.8996066	c15.jpg	103
195.9	2	5_5	2	1.211381	c9.jpg	103
202.1	2	5_1	1	1.183427	c23.jpg	103
209.4	2	5_4	2	1.332686	c22.jpg	103
216.7	2	5_3	2	0.8977316	c3.jpg	103
222.2	2	1_1	1	0.9371226	c16.jpg	103
230.2	2	5_1	1	1.296634	c5.jpg	103
234.3	2	5_4	2	1.170704	c24.jpg	103
240.5	2	5_5	2	1.128629	c24.jpg	103
244.9	2	1_1	1	1.602002	c17.jpg	103
248.9	2	1_1	1	1.076131	c21.jpg	103
253.3	2	1_1	1	0.9423455	c10.jpg	103
259.5	2	5_5	2	0.712605	c7.jpg	103
267.2	2	1_1	1	1.159721	c6.jpg	103
274.1	2	5_3	2	1.313715	c12.jpg	103
278.2	2	1_1	1	1.884498	c8.jpg	103
283.7	2	5_4	2	0.8516102	c15.jpg	103
291.7	2	1_1	1	1.76572	c2.jpg	103
299	2	5_3	2	1.186195	c4.jpg	103
306.3	2	5_4	2	0.8658812	c4.jpg	103
310.7	2	5_2	1	1.161301	c5.jpg	103
316.2	2	5_4	2	1.904484	c3.jpg	103
322.4	2	5_5	2	0.751123	c4.jpg	103
329.7	2	5_4	2	0.7938155	c12.jpg	103
334.1	2	5_5	2	1.392688	c15.jpg	103
339.6	2	5_5	2	0.8386728	c22.jpg	103
344.4	2	5_2	1	1.946382	c23.jpg	103
349.5	2	5_4	2	1.093372	c14.jpg	103
353.9	2	1_1	1	1.059597	c13.jpg	103
360.5	2	5_4	2	1.141355	c20.jpg	103
367.5	2	5_3	2	1.163742	c23.jpg	103
372.6	2	1_1	1	1.051812	c18.jpg	103
380.3	2	5_3	2	1.352045	c5.jpg	103
385	2	5_4	2	1.18136	c5.jpg	103
392.3	2	5_5	2	1.527052	c14.jpg	103
399.3	2	5_5	2	1.015306	c12.jpg	103
407.3	2	5_5	2	0.7817911	c20.jpg	103
413.2	2	5_4	2	0.9117511	c23.jpg	103
421.2	2	5_5	2	1.191696	c3.jpg	103
428.2	2	5_5	2	0.8854192	c23.jpg	103
432.9	2	5_5	2	1.679378	c5.jpg	103
3.06	2	5_1	NA	NA	c21.jpg	107
8.93	2	1_1	1	1.248541	c23.jpg	107
15.53	2	5_1	1	1.133666	c11.jpg	107
21.02	2	5_2	2	1.231943	c21.jpg	107
25.06	2	5_1	1	0.7609764	c6.jpg	107
32.75	2	5_1	1	1.612985	c1.jpg	107
37.14	2	5_2	2	0.8011139	c11.jpg	107
42.29	2	5_1	2	1.450938	c10.jpg	107
49.98	2	5_1	NA	NA	c17.jpg	107
54.39	2	5_1	2	1.477508	c16.jpg	107
60.61	2	5_2	2	0.899234	c1.jpg	107
64.64	2	1_1	2	0.9592558	c9.jpg	107
70.53	2	5_1	2	1.332525	c2.jpg	107
78.57	2	1_1	1	1.878357	c12.jpg	107
86.61	2	5_2	2	1.316373	c16.jpg	107
93.19	2	5_3	2	1.179353	c16.jpg	107
100.13	2	5_3	2	0.7390748	c11.jpg	107
106	2	5_1	1	1.631124	c19.jpg	107
111.14	2	5_1	2	0.8737541	c18.jpg	107
118.1	2	5_3	NA	NA	c1.jpg	107
122.51	2	1_1	2	0.8826837	c20.jpg	107
127.63	2	5_2	2	0.8931899	c17.jpg	107
134.23	2	1_1	1	0.6621757	c5.jpg	107
141.54	2	1_1	1	1.019169	c22.jpg	107
145.94	2	5_2	2	0.7643669	c18.jpg	107
150.71	2	5_4	2	1.643298	c1.jpg	107
156.19	2	5_2	1	1.186018	c10.jpg	107
163.86	2	5_4	2	0.8006913	c11.jpg	107
167.89	2	5_2	2	1.556798	c19.jpg	107
173.38	2	5_3	NA	NA	c19.jpg	107
179.23	2	5_1	1	1.479686	c8.jpg	107
184	2	5_3	2	0.8688466	c18.jpg	107
190.22	2	5_2	2	1.315941	c6.jpg	107
197.55	2	1_1	1	1.579704	c15.jpg	107
202.31	2	5_2	NA	NA	c8.jpg	107
206.34	2	5_3	NA	NA	c17.jpg	107
212.92	2	1_1	1	1.361057	c14.jpg	107
219.14	2	5_3	2	1.159506	c21.jpg	107
227.18	2	5_2	NA	NA	c2.jpg	107
234.5	2	5_1	2	1.342553	c13.jpg	107
241.44	2	5_3	2	1.11934	c10.jpg	107
247.3	2	5_4	2	1.401758	c18.jpg	107
253.52	2	5_4	2	1.809702	c16.jpg	107
260.09	2	5_4	2	0.8261362	c21.jpg	107
268.12	2	5_5	2	0.6787872	c21.jpg	107
276.15	2	5_2	1	0.7454405	c13.jpg	107
280.18	2	5_3	2	0.7722265	c6.jpg	107
286.41	2	5_5	2	1.506511	c18.jpg	107
293.34	2	5_4	2	1.282473	c10.jpg	107
297.74	2	5_4	2	0.7151896	c17.jpg	107
303.23	2	5_3	NA	NA	c8.jpg	107
310.91	2	5_4	2	1.854798	c19.jpg	107
316.39	2	5_5	2	0.8314997	c17.jpg	107
322.24	2	5_5	2	0.739561	c19.jpg	107
329.19	2	1_1	1	1.168444	c4.jpg	107
336.14	2	5_5	2	1.062497	c16.jpg	107
340.92	2	5_3	2	1.765072	c2.jpg	107
346.04	2	5_4	2	1.287155	c8.jpg	107
352.25	2	5_4	2	1.656224	c6.jpg	107
356.66	2	1_1	1	1.332606	c7.jpg	107
360.7	2	1_1	NA	NA	c24.jpg	107
368.38	2	5_4	NA	NA	c2.jpg	107
373.5	2	5_3	2	1.153229	c13.jpg	107
380.81	2	5_5	2	0.8641656	c11.jpg	107
388.12	2	5_5	NA	NA	c10.jpg	107
393.24	2	5_5	NA	NA	c6.jpg	107
400.55	2	5_5	2	1.053988	c8.jpg	107
405.34	2	5_5	2	1.323507	c1.jpg	107
410.1	2	5_4	NA	NA	c13.jpg	107
416.68	2	5_5	2	0.7273886	c13.jpg	107
424.73	2	5_5	NA	NA	c2.jpg	107
432.41	2	1_1	2	1.961085	c3.jpg	107
3.07	2	1_1	1	1.202129	c17.jpg	110
7.85	2	5_1	1	0.9001873	c15.jpg	110
12.65	2	5_1	1	0.7589127	c12.jpg	110
20.69	2	5_1	1	0.6460796	c24.jpg	110
27.64	2	5_1	1	0.5890824	c5.jpg	110
32.06	2	5_1	1	0.6723033	c14.jpg	110
37.9	2	5_1	1	0.721158	c4.jpg	110
45.95	2	5_1	1	0.7102132	c7.jpg	110
52.18	2	5_1	1	0.7201653	c22.jpg	110
60.21	2	5_2	2	1.710135	c5.jpg	110
65.34	2	5_3	2	0.7771918	c5.jpg	110
70.85	2	5_1	1	0.8826624	c23.jpg	110
78.52	2	5_2	2	0.8834495	c4.jpg	110
85.84	2	5_1	1	0.9915909	c3.jpg	110
90.97	2	1_1	1	1.113145	c19.jpg	110
96.46	2	5_3	2	0.6980183	c4.jpg	110
101.22	2	5_2	2	1.733059	c15.jpg	110
106.71	2	5_1	1	0.8071052	c20.jpg	110
114.01	2	5_2	2	0.8847101	c24.jpg	110
118.43	2	5_1	1	1.385334	c9.jpg	110
126.11	2	5_2	1	0.9325281	c9.jpg	110
132.71	2	1_1	1	1.961194	c21.jpg	110
136.75	2	5_2	2	1.516646	c3.jpg	110
142.25	2	1_1	1	1.07112	c8.jpg	110
148.11	2	5_2	1	1.41329	c14.jpg	110
155.06	2	5_2	1	0.8091145	c22.jpg	110
162.75	2	1_1	1	0.680742	c11.jpg	110
167.14	2	5_3	2	0.8378252	c15.jpg	110
171.54	2	5_2	1	0.9620057	c20.jpg	110
175.58	2	5_4	2	0.8235154	c15.jpg	110
182.52	2	5_3	2	0.6561989	c20.jpg	110
189.87	2	1_1	2	1.009289	c2.jpg	110
196.81	2	5_2	1	0.7871176	c23.jpg	110
202.3	2	5_2	2	1.381519	c7.jpg	110
208.52	2	5_4	2	0.9691157	c5.jpg	110
214.01	2	5_4	2	0.7515871	c4.jpg	110
220.59	2	5_2	1	1.297984	c12.jpg	110
226.45	2	5_3	2	0.8142184	c14.jpg	110
230.48	2	5_3	2	1.01823	c9.jpg	110
238.17	2	1_1	1	0.9128429	c6.jpg	110
245.84	2	5_3	2	1.526334	c24.jpg	110
253.87	2	5_4	2	0.6995074	c9.jpg	110
260.82	2	5_3	1	1.270102	c7.jpg	110
266.68	2	5_3	2	1.120794	c3.jpg	110
271.07	2	5_4	2	1.586665	c7.jpg	110
277.65	2	5_4	2	0.9101409	c14.jpg	110
281.7	2	1_1	1	1.336427	c10.jpg	110
286.83	2	5_4	2	1.426379	c20.jpg	110
294.13	2	5_4	2	0.6735229	c24.jpg	110
302.17	2	5_5	2	0.7953146	c15.jpg	110
309.12	2	5_3	2	1.396974	c22.jpg	110
313.54	2	1_1	1	1.290317	c16.jpg	110
321.57	2	5_5	2	0.8414603	c9.jpg	110
326.7	2	5_5	2	0.8103986	c24.jpg	110
331.47	2	5_5	2	1.644854	c7.jpg	110
336.25	2	5_4	NA	NA	c3.jpg	110
341.38	2	5_3	2	0.8232187	c12.jpg	110
346.52	2	5_5	2	0.7915904	c3.jpg	110
350.56	2	5_5	2	0.7465225	c14.jpg	110
356.77	2	5_3	2	1.115228	c23.jpg	110
362.62	2	5_4	NA	NA	c23.jpg	110
